ts,sensor,x,y,z
1782299376786,gyro,0.028893,0.094462,0.027656
1782299376786,accel,0.294317,0.404387,9.895422
1782299376787,gyro,0.078373,0.101792,0.028877
1782299376787,accel,0.196211,0.459422,9.426428
1782299376787,mag,-5.906250,13.856251,-21.712502
1782299376808,mag,-5.512500,12.525001,-23.400002
1782299376808,gyro,0.063712,0.007108,0.035597
1782299376808,accel,0.153141,0.492921,9.304394
1782299376808,mag,-4.556250,10.893750,-23.250000
1782299376808,gyro,0.011178,-0.079635,0.041705
1782299376808,accel,0.141177,0.459422,9.416856
1782299376809,gyro,-0.043189,-0.127893,0.045981
1782299376809,accel,0.181855,0.421137,9.636997
1782299376809,mag,-6.750000,13.275001,-23.081251
1782299376817,accel,0.200997,0.433101,9.787744
1782299376817,gyro,-0.071289,-0.124839,0.048425
1782299376818,mag,-6.243750,12.993751,-24.150002
1782299376832,gyro,-0.063959,-0.093074,0.050258
1782299376832,accel,0.208176,0.442672,9.790137
1782299376832,mag,-4.875000,11.943750,-23.400002
1782299376835,gyro,-0.035859,-0.061919,0.052090
1782299376835,accel,0.217747,0.428315,9.694424
1782299376839,mag,-6.225000,12.543751,-24.450001
1782299376842,gyro,-0.007759,-0.031376,0.051479
1782299376842,accel,0.212961,0.452243,9.610675
1782299376848,mag,-6.543750,11.362500,-22.800001
1782299376852,gyro,0.009345,-0.001444,0.052701
1782299376852,accel,0.191426,0.442672,9.603497
1782299376860,gyro,0.006902,0.023602,0.053923
1782299376860,mag,-5.381250,13.125001,-23.231251
1782299376860,accel,0.179462,0.461815,9.646568
1782299376869,gyro,-0.009592,0.037651,0.055144
1782299376869,accel,0.179462,0.464208,9.665710
1782299376869,mag,-5.212500,12.525001,-23.081251
1782299376877,gyro,-0.037081,0.035208,0.054534
1782299376877,accel,0.172283,0.461815,9.660924
1782299376879,mag,-5.493750,11.943750,-23.100000
1782299376885,gyro,-0.060904,0.018104,0.052701
1782299376885,accel,0.191426,0.440279,9.680068
1782299376888,mag,-5.812500,13.425000,-24.300001
1782299376894,gyro,-0.072511,-0.001444,0.048425
1782299376894,accel,0.222533,0.421137,9.770995
1782299376901,mag,-4.312500,13.106251,-23.231251
1782299376902,gyro,-0.065791,-0.004498,0.045981
1782299376903,accel,0.270389,0.413958,9.888242
1782299376911,mag,-6.131250,13.125001,-23.231251
1782299376911,gyro,-0.047465,0.007108,0.042927
1782299376911,accel,0.313460,0.447458,9.938492
1782299376919,mag,-6.731250,13.725000,-23.681252
1782299376920,gyro,-0.024863,0.022991,0.039873
1782299376920,accel,0.289532,0.468993,9.883457
1782299376933,gyro,-0.009592,0.030932,0.039262
1782299376933,accel,0.270389,0.519243,9.799708
1782299376933,mag,-5.512500,12.975000,-23.381250
1782299376937,gyro,-0.008981,0.029710,0.038651
1782299376937,accel,0.277567,0.571885,9.692031
1782299376938,mag,-5.850000,13.406251,-22.781250
1782299376945,gyro,-0.016922,0.019936,0.040484
1782299376945,accel,0.294317,0.619741,9.605890
1782299376948,mag,-6.112500,13.875001,-24.600000
1782299376954,gyro,-0.031583,0.007719,0.042316
