ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782299376787,0.196211,0.459422,9.426428,0.078373,0.101792,0.028877,-5.90625,13.856251,-21.712502
1782299376808,0.141177,0.459422,9.416856,0.011178,-0.079635,0.041705,-4.55625,10.89375,-23.25
1782299376809,0.181855,0.421137,9.636997,-0.043189,-0.127893,0.045981,-6.75,13.275001,-23.081251
1782299376817,0.200997,0.433101,9.787744,-0.071289,-0.124839,0.048425,-6.75,13.275001,-23.081251
1782299376818,0.200997,0.433101,9.787744,-0.071289,-0.124839,0.048425,-6.24375,12.993751,-24.150002
1782299376832,0.208176,0.442672,9.790137,-0.063959,-0.093074,0.050258,-4.875,11.94375,-23.400002
1782299376835,0.217747,0.428315,9.694424,-0.035859,-0.061919,0.05209,-4.875,11.94375,-23.400002
1782299376839,0.217747,0.428315,9.694424,-0.035859,-0.061919,0.05209,-6.225,12.543751,-24.450001
1782299376842,0.212961,0.452243,9.610675,-0.007759,-0.031376,0.051479,-6.225,12.543751,-24.450001
1782299376848,0.212961,0.452243,9.610675,-0.007759,-0.031376,0.051479,-6.54375,11.3625,-22.800001
1782299376852,0.191426,0.442672,9.603497,0.009345,-0.001444,0.052701,-6.54375,11.3625,-22.800001
1782299376860,0.179462,0.461815,9.646568,0.006902,0.023602,0.053923,-5.38125,13.125001,-23.231251
1782299376869,0.179462,0.464208,9.66571,-0.009592,0.037651,0.055144,-5.2125,12.525001,-23.081251
1782299376877,0.172283,0.461815,9.660924,-0.037081,0.035208,0.054534,-5.2125,12.525001,-23.081251
1782299376879,0.172283,0.461815,9.660924,-0.037081,0.035208,0.054534,-5.49375,11.94375,-23.1
1782299376885,0.191426,0.440279,9.680068,-0.060904,0.018104,0.052701,-5.49375,11.94375,-23.1
1782299376888,0.191426,0.440279,9.680068,-0.060904,0.018104,0.052701,-5.8125,13.425,-24.300001
1782299376894,0.222533,0.421137,9.770995,-0.072511,-0.001444,0.048425,-5.8125,13.425,-24.300001
1782299376901,0.222533,0.421137,9.770995,-0.072511,-0.001444,0.048425,-4.3125,13.106251,-23.231251
