ts,x,y,heading
1782299376872,0.000000,0.114000,north
1782299376972,0.000000,0.228000,north
1782299377072,0.000000,0.342000,north
1782299377172,0.000000,0.457000,north
1782299377272,0.000000,0.571000,north
1782299377372,0.000000,0.685000,north
1782299377472,0.000000,0.799000,north
1782299377572,0.000000,0.913000,north
1782299377672,0.000000,1.027000,north
1782299377772,0.000000,1.142000,north
1782299377872,0.000000,1.256000,north
1782299377972,0.000000,1.370000,north
1782299378072,0.000000,1.484000,north
1782299378172,0.000000,1.598000,north
1782299378272,0.000000,1.712000,north
1782299378372,0.000000,1.827000,north
1782299378472,0.000000,1.941000,north
1782299378572,0.000000,2.055000,north
1782299378672,0.000000,2.169000,north
1782299378772,0.000000,2.283000,north
1782299378872,0.000000,2.397000,north
1782299378972,0.000000,2.512000,north
1782299379072,0.000000,2.626000,north
1782299379172,0.000000,2.740000,north
1782299379272,0.000000,2.854000,north
1782299379372,0.000000,2.968000,north
1782299379472,0.000000,3.082000,north
1782299379572,0.000000,3.197000,north
1782299379672,0.000000,3.311000,north
1782299379772,0.000000,3.425000,north
1782299379872,0.000000,3.539000,north
1782299379972,0.000000,3.653000,north
1782299380072,0.000000,3.767000,north
1782299380172,0.000000,3.882000,north
1782299380272,0.000000,3.996000,north
1782299380372,0.000000,4.110000,north
1782299380472,0.000000,4.224000,north
1782299380572,0.000000,4.338000,north
1782299380672,0.000000,4.452000,north
1782299380772,0.000000,4.567000,north
1782299380872,0.000000,4.681000,north
1782299380972,0.000000,4.795000,north
1782299381072,0.000000,4.909000,north
1782299381172,0.000000,5.023000,north
1782299381272,0.000000,5.137000,north
1782299381372,0.000000,5.252000,north
1782299381472,0.000000,5.366000,north
1782299381572,0.000000,5.480000,north
1782299381672,0.000000,5.594000,north
1782299381772,0.000000,5.708000,north
1782299381872,0.000000,5.822000,north
1782299381972,0.000000,5.937000,north
1782299382072,0.000000,6.051000,north
1782299382172,0.000000,6.165000,north
1782299382272,0.000000,6.279000,north
1782299382372,0.000000,6.393000,north
1782299382472,0.000000,6.507000,north
1782299382572,0.000000,6.622000,north
1782299382672,0.000000,6.736000,north
1782299382772,0.000000,6.850000,north
1782299382872,0.000000,6.964000,north
1782299382972,0.000000,7.078000,north
1782299383072,0.000000,7.192000,north
1782299383172,0.000000,7.307000,north
1782299383272,0.000000,7.421000,north
1782299383372,0.000000,7.535000,north
1782299383472,0.000000,7.649000,north
1782299383572,0.000000,7.763000,north
1782299383672,0.000000,7.877000,north
1782299383772,0.000000,7.992000,north
1782299383872,0.000000,8.106000,north
1782299383972,0.000000,8.220000,north
1782299384072,0.000000,8.334000,north
1782299384172,0.000000,8.448000,north
1782299384272,0.000000,8.562000,north
1782299384372,0.000000,8.677000,north
1782299384472,0.000000,8.791000,north
1782299384572,0.000000,8.905000,north
1782299384672,0.000000,9.019000,north
1782299384772,0.000000,9.133000,north
1782299384872,0.000000,9.247000,north
1782299384972,0.000000,9.362000,north
1782299385072,0.000000,9.476000,north
1782299385172,0.000000,9.590000,north
1782299385272,0.000000,9.704000,north
1782299385372,0.000000,9.818000,north
1782299385472,0.000000,9.932000,north
1782299385572,0.000000,10.047000,north
1782299385672,0.000000,10.161000,north
1782299385772,0.000000,10.275000,north
1782299385872,0.000000,10.389000,north
1782299385972,0.000000,10.503000,north
1782299386072,0.000000,10.617000,north
1782299386172,0.000000,10.732000,north
1782299386272,0.000000,10.846000,north
1782299386372,0.000000,10.960000,north
1782299386472,0.000000,11.074000,north
1782299386572,0.000000,11.188000,north
1782299386672,0.000000,11.302000,north
1782299386772,0.000000,11.417000,north
1782299386872,0.000000,11.531000,north
1782299386972,0.000000,11.645000,north
1782299387072,0.000000,11.759000,north
1782299387172,0.000000,11.873000,north
1782299387272,0.000000,11.987000,north
1782299387372,0.000000,12.102000,north
1782299387472,0.000000,12.216000,north
1782299387572,0.000000,12.330000,north
1782299387672,0.000000,12.444000,north
1782299387772,0.000000,12.558000,north
1782299387872,0.000000,12.672000,north
1782299387972,0.000000,12.787000,north
1782299388072,0.000000,12.901000,north
1782299388172,0.000000,13.015000,north
