scanTs,bssid,ssid,rssi,freq
1782299376787,86:cc:a8:85:eb:67,LU110031,-72,2412
1782299376787,00:08:2f:b1:89:20,NU,-65,2412
1782299376787,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-74,5180
1782299376787,00:08:2f:b1:ea:9c,NU_Devices,-75,5180
1782299376787,00:08:2f:b1:ea:9e,NUGuest,-75,5180
1782299376787,00:08:2f:b1:89:2f,NU,-70,5200
1782299376787,00:08:2f:b1:89:2c,NU_Devices,-65,5200
1782299376787,00:08:2f:b1:89:2e,NUGuest,-69,5200
1782299376787,bc:67:1c:e4:fd:ca,NU_Campus_WiFi,-88,5200
1782299376787,00:08:2f:b1:90:0a,NU_Campus_WiFi,-81,5200
1782299376787,00:08:2f:b1:89:2a,NU_Campus_WiFi,-70,5200
1782299376787,00:08:2f:c3:3b:8e,NUGuest,-83,5220
1782299376787,00:08:2f:c3:3b:8c,NU_Devices,-78,5220
1782299376787,00:08:2f:c3:9c:fe,NUGuest,-85,5240
1782299376787,00:08:2f:c3:9c:fc,NU_Devices,-85,5240
1782299376787,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-85,5240
1782299376787,f8:1a:67:8f:f6:36,Bridge,-73,2427
1782299376787,00:08:2f:c3:3b:80,NU,-77,2437
1782299376787,00:08:2f:c3:3b:81,NUGuest,-77,2437
1782299376787,00:08:2f:c3:3f:50,NU,-64,2462
1782299376787,00:08:2f:c3:3f:51,NUGuest,-63,2462
1782299376787,00:08:2f:c3:3f:53,NU_Devices,-64,2462
1782299376787,00:08:2f:c3:3f:55,NU_Campus_WiFi,-63,2462
1782299376787,00:08:2f:b1:90:00,NU,-78,2462
1782299376787,00:08:2f:b1:89:81,NUGuest,-78,2462
1782299376787,00:08:2f:b1:90:01,NUGuest,-82,2462
1782299376787,6c:99:89:a0:25:02,Hidden Network,-80,2412
1782299376787,1c:de:a7:1a:e6:0d,Hidden Network,-65,5180
1782299376787,1c:de:a7:1a:e6:0f,NU,-66,5180
1782299376787,00:08:2f:c3:36:c1,NUGuest,-61,2412
1782299376787,00:08:2f:b1:90:0c,NU_Devices,-92,5200
1782299376787,00:08:2f:b1:89:8e,NUGuest,-92,5200
1782299376787,00:08:2f:c3:3f:5e,NUGuest,-82,5240
1782299376787,00:08:2f:c3:3f:5c,NU_Devices,-83,5240
