ts,sensor,x,y,z
1782300447782,mag,-0.168750,10.312500,-53.643753
1782300447782,gyro,0.067072,0.079190,-0.040609
1782300447782,accel,0.071785,1.026521,10.038991
1782300447801,gyro,0.100669,0.125005,-0.032667
1782300447801,accel,0.033500,1.117448,9.639390
1782300447801,mag,-0.318750,10.462501,-53.793751
1782300447801,gyro,0.079900,0.095684,-0.022894
1782300447801,accel,-0.059821,1.167697,9.395321
1782300447801,mag,-1.537500,10.331250,-53.643753
1782300447805,gyro,0.022479,0.039484,-0.006400
1782300447805,accel,-0.081356,1.189233,9.385750
1782300447808,mag,-1.106250,10.762501,-53.475002
1782300447814,gyro,-0.030056,-0.003887,0.005817
1782300447814,accel,-0.052642,1.162912,9.603497
1782300447819,mag,-2.137500,8.700001,-51.993752
1782300447823,gyro,-0.057545,-0.022213,0.013758
1782300447823,accel,-0.038285,1.124627,9.782959
1782300447828,mag,-1.968750,8.550000,-52.443752
1782300447831,gyro,-0.053268,-0.010607,0.021700
1782300447831,accel,-0.011964,1.131805,9.842779
1782300447839,mag,-0.300000,7.200000,-51.543751
1782300447840,gyro,-0.033721,0.017493,0.027808
1782300447840,accel,0.021535,1.167697,9.775780
1782300447850,gyro,-0.011730,0.030932,0.033917
1782300447850,accel,0.047856,1.134198,9.651353
1782300447850,mag,-0.600000,9.731251,-54.093754
1782300447857,gyro,0.004153,0.031543,0.041858
1782300447857,accel,0.043071,1.131805,9.574783
1782300447859,mag,-0.956250,9.862500,-52.425003
1782300447867,gyro,0.009651,0.015049,0.049799
1782300447867,accel,0.062213,1.184447,9.565212
1782300447869,mag,-0.956250,9.862500,-52.425003
1782300447875,gyro,0.010261,0.004665,0.055297
1782300447875,accel,0.083749,1.225125,9.579568
1782300447879,mag,-1.200000,9.150001,-53.643753
1782300447884,gyro,0.009651,-0.013661,0.059573
1782300447884,accel,0.093320,1.275374,9.531712
1782300447889,mag,-2.662500,10.462501,-51.506252
1782300447892,gyro,0.004153,-0.029544,0.064460
1782300447892,accel,0.124427,1.328017,9.435999
1782300447899,mag,-1.181250,9.150001,-53.943752
1782300447900,gyro,-0.007454,-0.051535,0.066293
1782300447900,accel,0.124427,1.351945,9.333107
1782300447910,gyro,-0.026390,-0.076580,0.067514
1782300447910,accel,0.155533,1.366302,9.273287
1782300447910,mag,0.206250,8.250000,-53.812504
