ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782300447782,0.071785,1.026521,10.038991,0.067072,0.07919,-0.040609,-0.16875,10.3125,-53.643753
1782300447801,-0.059821,1.167697,9.395321,0.0799,0.095684,-0.022894,-1.5375,10.33125,-53.643753
1782300447805,-0.081356,1.189233,9.38575,0.022479,0.039484,-0.0064,-1.5375,10.33125,-53.643753
1782300447808,-0.081356,1.189233,9.38575,0.022479,0.039484,-0.0064,-1.10625,10.762501,-53.475002
1782300447814,-0.052642,1.162912,9.603497,-0.030056,-0.003887,0.005817,-1.10625,10.762501,-53.475002
1782300447819,-0.052642,1.162912,9.603497,-0.030056,-0.003887,0.005817,-2.1375,8.700001,-51.993752
1782300447823,-0.038285,1.124627,9.782959,-0.057545,-0.022213,0.013758,-2.1375,8.700001,-51.993752
1782300447828,-0.038285,1.124627,9.782959,-0.057545,-0.022213,0.013758,-1.96875,8.55,-52.443752
1782300447831,-0.011964,1.131805,9.842779,-0.053268,-0.010607,0.0217,-1.96875,8.55,-52.443752
1782300447839,-0.011964,1.131805,9.842779,-0.053268,-0.010607,0.0217,-0.3,7.2,-51.543751
1782300447840,0.021535,1.167697,9.77578,-0.033721,0.017493,0.027808,-0.3,7.2,-51.543751
1782300447850,0.047856,1.134198,9.651353,-0.01173,0.030932,0.033917,-0.6,9.731251,-54.093754
1782300447857,0.043071,1.131805,9.574783,0.004153,0.031543,0.041858,-0.6,9.731251,-54.093754
1782300447859,0.043071,1.131805,9.574783,0.004153,0.031543,0.041858,-0.95625,9.8625,-52.425003
1782300447867,0.062213,1.184447,9.565212,0.009651,0.015049,0.049799,-0.95625,9.8625,-52.425003
1782300447869,0.062213,1.184447,9.565212,0.009651,0.015049,0.049799,-0.95625,9.8625,-52.425003
1782300447875,0.083749,1.225125,9.579568,0.010261,0.004665,0.055297,-0.95625,9.8625,-52.425003
1782300447879,0.083749,1.225125,9.579568,0.010261,0.004665,0.055297,-1.2,9.150001,-53.643753
1782300447884,0.09332,1.275374,9.531712,0.009651,-0.013661,0.059573,-1.2,9.150001,-53.643753
1782300447889,0.09332,1.275374,9.531712,0.009651,-0.013661,0.059573,-2.6625,10.462501,-51.506252
1782300447892,0.124427,1.328017,9.435999,0.004153,-0.029544,0.06446,-2.6625,10.462501,-51.506252
1782300447899,0.124427,1.328017,9.435999,0.004153,-0.029544,0.06446,-1.18125,9.150001,-53.943752
1782300447900,0.124427,1.351945,9.333107,-0.007454,-0.051535,0.066293,-1.18125,9.150001,-53.943752
1782300447910,0.155533,1.366302,9.273287,-0.02639,-0.07658,0.067514,0.20625,8.25,-53.812504
1782300447918,0.212961,1.399801,9.223038,-0.050825,-0.100404,0.069347,-1.425,10.762501,-52.725002
1782300447927,0.267996,1.409373,9.254144,-0.076481,-0.113843,0.069347,-1.425,10.762501,-52.725002
1782300447928,0.267996,1.409373,9.254144,-0.076481,-0.113843,0.069347,-0.525,10.3125,-52.425003
1782300447934,0.315853,1.418944,9.349858,-0.09664,-0.113843,0.066293,-0.525,10.3125,-52.425003
1782300447939,0.315853,1.418944,9.349858,-0.09664,-0.113843,0.066293,-1.2,8.85,-53.193752
1782300447943,0.339781,1.428515,9.471892,-0.110079,-0.107123,0.062628,-1.2,8.85,-53.193752
1782300447948,0.339781,1.428515,9.471892,-0.110079,-0.107123,0.062628,-2.775,10.33125,-52.425003
1782300447951,0.339781,1.426122,9.593925,-0.111911,-0.087576,0.057741,-2.775,10.33125,-52.425003
1782300447959,0.339781,1.426122,9.593925,-0.111911,-0.087576,0.057741,-1.18125,8.85,-53.643753
1782300447960,0.342174,1.430908,9.648961,-0.104581,-0.075969,0.054686,-1.18125,8.85,-53.643753
1782300447970,0.361316,1.395016,9.732709,-0.087477,-0.063141,0.049188,-2.04375,9.13125,-51.075001
1782300447977,0.361316,1.363909,9.888242,-0.063653,-0.032598,0.046134,-2.04375,9.13125,-51.075001
1782300447978,0.361316,1.363909,9.888242,-0.063653,-0.032598,0.046134,-0.13125,9.13125,-53.643753
1782300447986,0.320638,1.385444,9.960027,-0.033721,0.010163,0.046745,-0.13125,9.13125,-53.643753
1782300447988,0.320638,1.385444,9.960027,-0.033721,0.010163,0.046745,-1.33125,9.0,-53.793751
1782300447994,0.315853,1.411765,9.96242,-0.007454,0.021158,0.049188,-1.33125,9.0,-53.793751
1782300448000,0.315853,1.411765,9.96242,-0.007454,0.021158,0.049188,-1.575,10.3125,-52.425003
1782300448003,0.287139,1.414158,9.881064,0.012705,0.024823,0.049799,-1.575,10.3125,-52.425003
1782300448008,0.287139,1.414158,9.881064,0.012705,0.024823,0.049799,-2.04375,10.6125,-52.425003
1782300448012,0.232104,1.397408,9.854744,0.018814,0.027267,0.05041,-2.04375,10.6125,-52.425003
1782300448018,0.232104,1.397408,9.854744,0.018814,0.027267,0.05041,-2.325,9.58125,-52.125004
1782300448020,0.224925,1.349552,9.814065,-0.001345,0.016882,0.054686,-2.325,9.58125,-52.125004
1782300448030,0.224925,1.332802,9.804493,-0.036775,0.016882,0.061406,-1.5375,10.6125,-53.643753
1782300448037,0.18664,1.311267,9.890635,-0.081979,-0.00572,0.070569,-1.5375,10.6125,-53.643753
1782300448038,0.18664,1.311267,9.890635,-0.081979,-0.00572,0.070569,-1.51875,9.58125,-53.193752
1782300448046,0.131605,1.289731,10.053347,-0.113133,-0.01977,0.079732,-1.51875,9.58125,-53.193752
1782300448048,0.131605,1.289731,10.053347,-0.113133,-0.01977,0.079732,-0.9,8.83125,-52.893753
1782300448054,0.112463,1.272982,10.170596,-0.121685,-0.027711,0.091949,-0.9,8.83125,-52.893753
1782300448059,0.112463,1.272982,10.170596,-0.121685,-0.027711,0.091949,-2.1375,10.03125,-53.493752
1782300448063,0.12682,1.268196,10.184952,-0.099083,-0.006942,0.107832,-2.1375,10.03125,-53.493752
1782300448068,0.12682,1.268196,10.184952,-0.099083,-0.006942,0.107832,-1.275,9.8625,-52.125004
1782300448071,0.145962,1.299303,10.096418,-0.053268,0.028489,0.121881,-1.275,9.8625,-52.125004
