ts,x,y,heading
1782300447878,8.566000,42.480000,north
1782300447978,8.566000,42.569000,north
1782300448078,8.566000,42.657000,north
1782300448178,8.566000,42.746000,north
1782300448278,8.566000,42.835000,north
1782300448378,8.566000,42.924000,north
1782300448478,8.566000,43.013000,north
1782300448578,8.566000,43.102000,north
1782300448678,8.566000,43.191000,north
1782300448778,8.566000,43.279000,north
1782300448878,8.566000,43.368000,north
1782300448978,8.566000,43.457000,north
1782300449078,8.566000,43.546000,north
1782300449178,8.566000,43.635000,north
1782300449278,8.566000,43.724000,north
1782300449378,8.566000,43.813000,north
1782300449478,8.566000,43.901000,north
1782300449578,8.566000,43.990000,north
1782300449678,8.566000,44.079000,north
1782300449778,8.566000,44.168000,north
1782300449878,8.566000,44.257000,north
1782300449978,8.566000,44.346000,north
1782300450078,8.566000,44.435000,north
1782300450178,8.566000,44.524000,north
1782300450278,8.566000,44.612000,north
1782300450378,8.566000,44.701000,north
1782300450478,8.566000,44.790000,north
1782300450578,8.566000,44.879000,north
1782300450678,8.566000,44.968000,north
1782300450778,8.566000,45.057000,north
1782300450878,8.566000,45.146000,north
1782300450978,8.566000,45.234000,north
1782300451078,8.566000,45.323000,north
1782300451178,8.566000,45.412000,north
1782300451278,8.566000,45.501000,north
1782300451378,8.566000,45.590000,north
1782300451478,8.566000,45.679000,north
1782300451578,8.566000,45.768000,north
1782300451678,8.566000,45.857000,north
1782300451778,8.566000,45.945000,north
1782300451878,8.566000,46.034000,north
1782300451978,8.566000,46.123000,north
1782300452078,8.566000,46.212000,north
1782300452178,8.566000,46.301000,north
1782300452278,8.566000,46.390000,north
1782300452375,8.566000,46.476000,north
1782300452375,8.566000,46.476000,west
1782300452475,8.454000,46.476000,west
1782300452575,8.341000,46.476000,west
1782300452675,8.229000,46.476000,west
1782300452775,8.117000,46.476000,west
1782300452875,8.005000,46.476000,west
1782300452975,7.892000,46.476000,west
1782300453075,7.780000,46.476000,west
1782300453175,7.668000,46.476000,west
1782300453275,7.556000,46.476000,west
1782300453375,7.443000,46.476000,west
1782300453475,7.331000,46.476000,west
1782300453575,7.219000,46.476000,west
1782300453675,7.107000,46.476000,west
1782300453775,6.995000,46.476000,west
1782300453875,6.882000,46.476000,west
1782300453975,6.770000,46.476000,west
1782300454075,6.658000,46.476000,west
1782300454175,6.546000,46.476000,west
1782300454275,6.433000,46.476000,west
1782300454375,6.321000,46.476000,west
1782300454475,6.209000,46.476000,west
1782300454575,6.097000,46.476000,west
1782300454675,5.984000,46.476000,west
1782300454775,5.872000,46.476000,west
1782300454875,5.760000,46.476000,west
1782300454975,5.648000,46.476000,west
1782300455075,5.535000,46.476000,west
1782300455175,5.423000,46.476000,west
1782300455275,5.311000,46.476000,west
1782300455375,5.199000,46.476000,west
1782300455475,5.087000,46.476000,west
1782300455575,4.974000,46.476000,west
1782300455675,4.862000,46.476000,west
1782300455775,4.750000,46.476000,west
1782300455875,4.638000,46.476000,west
1782300455975,4.525000,46.476000,west
1782300456075,4.413000,46.476000,west
1782300456175,4.301000,46.476000,west
1782300456275,4.189000,46.476000,west
1782300456375,4.076000,46.476000,west
1782300456475,3.964000,46.476000,west
1782300456575,3.852000,46.476000,west
1782300456675,3.740000,46.476000,west
1782300456775,3.627000,46.476000,west
1782300456875,3.515000,46.476000,west
1782300456975,3.403000,46.476000,west
1782300457075,3.291000,46.476000,west
1782300457175,3.179000,46.476000,west
1782300457275,3.066000,46.476000,west
1782300457375,2.954000,46.476000,west
1782300457475,2.842000,46.476000,west
1782300457575,2.730000,46.476000,west
1782300457675,2.617000,46.476000,west
1782300457775,2.505000,46.476000,west
1782300457875,2.393000,46.476000,west
1782300457975,2.281000,46.476000,west
1782300458075,2.168000,46.476000,west
1782300458175,2.056000,46.476000,west
1782300458275,1.944000,46.476000,west
1782300458375,1.832000,46.476000,west
1782300458475,1.719000,46.476000,west
1782300458575,1.607000,46.476000,west
1782300458675,1.495000,46.476000,west
1782300458775,1.383000,46.476000,west
1782300458875,1.271000,46.476000,west
1782300458975,1.158000,46.476000,west
1782300459075,1.046000,46.476000,west
1782300459175,0.934000,46.476000,west
1782300459275,0.822000,46.476000,west
1782300459375,0.709000,46.476000,west
1782300459475,0.597000,46.476000,west
1782300459575,0.485000,46.476000,west
1782300459675,0.373000,46.476000,west
1782300459775,0.260000,46.476000,west
1782300459875,0.148000,46.476000,west
1782300459975,0.036000,46.476000,west
1782300460007,0.000000,46.476000,west
1782300460008,0.000000,46.476000,north
1782300460108,0.000000,46.587000,north
1782300460208,0.000000,46.698000,north
1782300460308,0.000000,46.809000,north
1782300460408,0.000000,46.919000,north
1782300460508,0.000000,47.030000,north
1782300460608,0.000000,47.141000,north
1782300460708,0.000000,47.252000,north
1782300460808,0.000000,47.363000,north
1782300460908,0.000000,47.474000,north
1782300461008,0.000000,47.585000,north
1782300461108,0.000000,47.696000,north
1782300461208,0.000000,47.807000,north
1782300461308,0.000000,47.918000,north
1782300461408,0.000000,48.028000,north
1782300461508,0.000000,48.139000,north
