scanTs,bssid,ssid,rssi,freq
1782300447782,1c:de:a7:1a:e6:0d,Hidden Network,-89,5180
1782300447782,00:08:2f:b1:ea:93,NU_Devices,-54,2412
1782300447782,00:08:2f:b1:ea:90,NU,-49,2412
1782300447782,1c:de:a7:1a:e6:0e,NUGuest,-91,5180
1782300447782,00:08:2f:b1:ea:91,NUGuest,-55,2412
1782300447782,00:08:2f:b1:ea:95,NU_Campus_WiFi,-51,2412
1782300447782,00:08:2f:b1:ea:9f,NU,-55,5180
1782300447782,00:08:2f:b1:ea:9e,NUGuest,-55,5180
1782300447782,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-56,5180
1782300447782,00:08:2f:b1:ea:9c,NU_Devices,-55,5180
1782300447782,00:08:2f:b1:89:2f,NU,-68,5200
1782300447782,00:08:2f:b1:89:2d,Hidden Network,-69,5200
1782300447782,00:08:2f:b1:89:8f,NU,-62,5200
1782300447782,00:08:2f:b1:89:8c,NU_Devices,-62,5200
1782300447782,00:08:2f:b1:89:8e,NUGuest,-66,5200
1782300447782,00:08:2f:b1:89:8a,NU_Campus_WiFi,-66,5200
1782300447782,00:08:2f:b1:89:2a,NU_Campus_WiFi,-67,5200
1782300447782,00:08:2f:b1:89:2c,NU_Devices,-67,5200
1782300447782,bc:67:1c:e4:fd:cd,Hidden Network,-91,5200
1782300447782,00:08:2f:b1:89:2e,NUGuest,-68,5200
1782300447782,00:08:2f:c3:3b:8e,NUGuest,-65,5220
1782300447782,00:08:2f:c3:3b:8f,NU,-65,5220
1782300447782,00:08:2f:c3:3b:8c,NU_Devices,-65,5220
1782300447782,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-66,5220
1782300447782,00:08:2f:c3:3f:5f,NU,-68,5240
1782300447782,00:08:2f:c3:3f:5c,NU_Devices,-67,5240
1782300447782,00:08:2f:c3:3f:5e,NUGuest,-68,5240
1782300447782,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-67,5240
1782300447782,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-87,5240
1782300447782,00:08:2f:c3:9c:fc,NU_Devices,-86,5240
1782300447782,00:08:2f:c3:9c:fe,NUGuest,-86,5240
1782300447782,00:08:2f:c3:3f:5d,Hidden Network,-68,5240
1782300447782,00:08:2f:c3:9c:ff,NU,-87,5240
1782300447782,48:22:54:f8:91:97,IoTlab_Public,-80,2427
1782300447782,00:08:2f:c3:3b:81,NUGuest,-62,2437
1782300447782,00:08:2f:c3:3b:80,NU,-62,2437
1782300447782,00:08:2f:c3:3b:83,NU_Devices,-62,2437
1782300447782,00:08:2f:c3:3b:85,NU_Campus_WiFi,-62,2437
1782300447782,00:08:2f:c3:3f:51,NUGuest,-74,2462
1782300447782,00:08:2f:c3:3f:53,NU_Devices,-73,2462
1782300447782,00:08:2f:c3:3f:55,NU_Campus_WiFi,-75,2462
1782300447782,00:08:2f:b1:89:81,NUGuest,-76,2462
1782300447782,00:08:2f:c3:3f:50,NU,-75,2462
1782300447782,00:08:2f:c3:96:2e,NUGuest,-91,5300
1782300447782,00:08:2f:c3:96:2c,NU_Devices,-90,5300
1782300447782,00:08:2f:c3:96:2a,NU_Campus_WiFi,-90,5300
1782300447782,00:08:2f:c3:96:2f,NU,-93,5300
1782300452800,00:08:2f:b1:ea:92,Hidden Network,-61,2412
1782300452800,00:08:2f:b1:89:20,NU,-39,2412
1782300452800,1c:de:a7:1a:e6:0f,NU,-88,5180
1782300452800,00:08:2f:b1:ea:9d,Hidden Network,-56,5180
1782300452800,00:08:2f:b1:89:21,NUGuest,-39,2412
1782300452800,00:08:2f:b1:89:23,NU_Devices,-39,2412
1782300452800,00:08:2f:b1:89:25,NU_Campus_WiFi,-39,2412
1782300452800,00:08:2f:b1:ea:90,NU,-60,2412
1782300452800,00:08:2f:b1:ea:9c,NU_Devices,-56,5180
1782300452800,00:08:2f:b1:ea:9e,NUGuest,-55,5180
1782300452800,00:08:2f:b1:ea:9f,NU,-56,5180
1782300452800,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-56,5180
1782300452800,1c:de:a7:1a:e6:0e,NUGuest,-88,5180
1782300452800,1c:de:a7:1a:e6:0c,NU_Devices,-88,5180
1782300452800,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-89,5180
1782300452800,bc:67:1c:e4:fd:cc,NU_Devices,-84,5200
1782300452800,00:08:2f:b1:89:2f,NU,-48,5200
1782300452800,00:08:2f:b1:89:2c,NU_Devices,-47,5200
1782300452800,00:08:2f:b1:89:2e,NUGuest,-48,5200
1782300452800,00:08:2f:b1:89:2a,NU_Campus_WiFi,-48,5200
1782300452800,00:08:2f:b1:89:8f,NU,-68,5200
1782300452800,00:08:2f:b1:89:8c,NU_Devices,-68,5200
1782300452800,00:08:2f:b1:89:8e,NUGuest,-68,5200
1782300452800,00:08:2f:b1:89:8a,NU_Campus_WiFi,-68,5200
1782300452800,00:08:2f:b1:89:8d,Hidden Network,-68,5200
1782300452800,00:08:2f:c3:3b:8f,NU,-85,5220
1782300452800,00:08:2f:c3:3b:8c,NU_Devices,-85,5220
1782300452800,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-86,5220
1782300452800,00:08:2f:c3:3b:8d,Hidden Network,-86,5220
1782300452800,1c:de:a7:1b:0b:be,NUGuest,-91,5220
1782300452800,00:08:2f:c3:3b:8e,NUGuest,-86,5220
1782300452800,00:08:2f:c3:9c:fe,NUGuest,-77,5240
1782300452800,00:08:2f:c3:9c:ff,NU,-77,5240
1782300452800,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-78,5240
1782300452800,00:08:2f:c3:3f:5e,NUGuest,-82,5240
1782300452800,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-83,5240
1782300452800,00:08:2f:c3:3f:5c,NU_Devices,-83,5240
1782300452800,00:08:2f:c3:9c:fc,NU_Devices,-78,5240
1782300452800,20:4c:9e:bb:85:40,NU,-80,2437
1782300452800,bc:67:1c:e4:fd:c0,NU,-79,2437
1782300452800,00:08:2f:c3:3b:80,NU,-80,2437
1782300452800,00:08:2f:c3:3b:81,NUGuest,-78,2437
1782300452800,00:08:2f:c3:96:2a,NU_Campus_WiFi,-91,5300
1782300452800,00:08:2f:c3:96:2f,NU,-91,5300
1782300452800,00:08:2f:c3:3f:53,NU_Devices,-74,2462
1782300452800,00:08:2f:b1:89:80,NU,-72,2462
1782300452800,00:08:2f:b1:89:83,NU_Devices,-71,2462
1782300452800,00:08:2f:b1:89:85,NU_Campus_WiFi,-71,2462
1782300452800,00:08:2f:c3:96:2d,Hidden Network,-92,5300
1782300452800,00:08:2f:b1:89:82,Hidden Network,-72,2462
1782300452800,00:08:2f:c3:96:2c,NU_Devices,-92,5300
1782300452800,00:16:78:66:c1:ea,ESP-07S,-75,2472
1782300452800,00:08:2f:c3:3e:fd,Hidden Network,-91,5320
1782300452800,00:08:2f:c3:3e:fe,NUGuest,-91,5320
1782300457791,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-88,5180
1782300457791,00:08:2f:b1:ea:92,Hidden Network,-51,2412
1782300457791,00:08:2f:b1:89:23,NU_Devices,-62,2412
1782300457791,1c:de:a7:1a:e6:0f,NU,-88,5180
1782300457791,00:08:2f:c3:9c:f0,NU,-76,2412
1782300457791,00:08:2f:b1:ea:9d,Hidden Network,-56,5180
1782300457791,00:08:2f:b1:89:20,NU,-60,2412
1782300457791,00:08:2f:b1:89:21,NUGuest,-60,2412
1782300457791,00:08:2f:b1:ea:9f,NU,-56,5180
1782300457791,00:08:2f:b1:ea:9e,NUGuest,-56,5180
1782300457791,00:08:2f:b1:ea:9c,NU_Devices,-56,5180
1782300457791,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-56,5180
1782300457791,00:08:2f:c3:36:ca,NU_Campus_WiFi,-89,5200
1782300457791,00:08:2f:b1:89:8f,NU,-64,5200
1782300457791,00:08:2f:b1:89:8a,NU_Campus_WiFi,-61,5200
1782300457791,00:08:2f:b1:89:2a,NU_Campus_WiFi,-65,5200
1782300457791,00:08:2f:b1:89:2f,NU,-66,5200
1782300457791,00:08:2f:c3:3b:8f,NU,-60,5220
1782300457791,00:08:2f:c3:3b:8c,NU_Devices,-60,5220
1782300457791,00:08:2f:c3:3b:8e,NUGuest,-60,5220
1782300457791,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-60,5220
1782300457791,00:08:2f:c3:3b:8d,Hidden Network,-60,5220
1782300457791,00:08:2f:c3:3f:5f,NU,-69,5240
1782300457791,00:08:2f:c3:3f:5e,NUGuest,-68,5240
1782300457791,00:08:2f:c3:3f:5c,NU_Devices,-69,5240
1782300457791,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-71,5240
1782300457791,00:08:2f:c3:9c:fe,NUGuest,-84,5240
1782300457791,00:08:2f:c3:9c:fc,NU_Devices,-83,5240
1782300457791,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-83,5240
1782300457791,00:08:2f:c3:3b:83,NU_Devices,-61,2437
1782300457791,00:08:2f:c3:3b:85,NU_Campus_WiFi,-61,2437
1782300457791,00:08:2f:c3:3b:80,NU,-62,2437
1782300457791,00:08:2f:c3:3b:81,NUGuest,-61,2437
1782300457791,00:08:2f:c3:96:2c,NU_Devices,-89,5300
1782300457791,00:08:2f:c3:96:2a,NU_Campus_WiFi,-88,5300
1782300457791,00:08:2f:c3:96:2f,NU,-90,5300
1782300457791,00:08:2f:c3:3f:50,NU,-74,2462
1782300457791,00:08:2f:c3:3f:55,NU_Campus_WiFi,-74,2462
1782300457791,00:08:2f:b1:89:81,NUGuest,-70,2462
1782300457791,00:08:2f:b1:89:83,NU_Devices,-71,2462
1782300457791,00:08:2f:b1:89:85,NU_Campus_WiFi,-68,2462
1782300457791,00:08:2f:c3:96:2d,Hidden Network,-92,5300
1782300457791,00:08:2f:c3:96:2e,NUGuest,-90,5300
1782300457791,34:b8:83:b6:c6:af,NU_Devices,-91,5320
1782300457791,34:b8:83:b6:c6:ae,NU,-91,5320
1782300457791,34:b8:83:b6:c6:ac,NUGuest,-91,5320
1782300457791,34:b8:83:b6:c6:ab,NU_Campus_WiFi,-91,5320
1782300462785,00:08:2f:b1:ea:9c,NU_Devices,-77,5180
1782300462785,00:08:2f:b1:ea:9e,NUGuest,-77,5180
1782300462785,00:08:2f:b1:ea:9f,NU,-79,5180
1782300462785,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-78,5180
1782300462785,1c:de:a7:1a:e6:0c,NU_Devices,-83,5180
1782300462785,1c:de:a7:1a:e6:0e,NUGuest,-83,5180
1782300462785,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-83,5180
1782300462785,00:08:2f:b1:ea:92,Hidden Network,-75,2412
1782300462785,00:08:2f:b1:89:21,NUGuest,-73,2412
1782300462785,00:08:2f:c3:36:ce,NUGuest,-84,5200
1782300462785,00:08:2f:c3:36:ca,NU_Campus_WiFi,-84,5200
1782300462785,bc:67:1c:e4:fd:ce,NUGuest,-90,5200
1782300462785,00:08:2f:b1:89:23,NU_Devices,-72,2412
1782300462785,00:08:2f:c3:36:cc,NU_Devices,-85,5200
1782300462785,00:08:2f:b1:89:8a,NU_Campus_WiFi,-88,5200
1782300462785,00:08:2f:b1:89:25,NU_Campus_WiFi,-73,2412
1782300462785,00:08:2f:b1:89:20,NU,-72,2412
1782300462785,00:08:2f:b1:89:2e,NUGuest,-80,5200
1782300462785,00:08:2f:b1:89:2f,NU,-81,5200
1782300462785,00:08:2f:b1:89:2c,NU_Devices,-80,5200
1782300462785,00:08:2f:b1:89:2a,NU_Campus_WiFi,-80,5200
1782300462785,00:08:2f:b1:89:8f,NU,-87,5200
1782300462785,bc:67:1c:e4:fd:cc,NU_Devices,-92,5200
1782300462785,1c:de:a7:1b:0b:bd,Hidden Network,-87,5220
1782300462785,00:08:2f:c3:3b:8e,NUGuest,-55,5220
1782300462785,00:08:2f:c3:3b:8f,NU,-55,5220
1782300462785,00:08:2f:c3:3b:8c,NU_Devices,-55,5220
1782300462785,1c:de:a7:1b:0b:bc,NU_Devices,-89,5220
1782300462785,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-55,5220
1782300462785,1c:de:a7:1b:0b:be,NUGuest,-89,5220
1782300462785,1c:de:a7:1b:0b:ba,NU_Campus_WiFi,-89,5220
1782300462785,00:08:2f:c3:3b:8d,Hidden Network,-55,5220
1782300462785,00:08:2f:c3:9c:fd,Hidden Network,-83,5240
1782300462785,00:08:2f:c3:9c:fc,NU_Devices,-80,5240
1782300462785,00:08:2f:c3:3f:5f,NU,-52,5240
1782300462785,00:08:2f:c3:3f:5e,NUGuest,-51,5240
1782300462785,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-51,5240
1782300462785,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-79,5240
1782300462785,00:08:2f:c3:9c:fe,NUGuest,-81,5240
1782300462785,00:08:2f:c3:3f:5c,NU_Devices,-52,5240
1782300462785,00:08:2f:c3:3b:80,NU,-55,2437
1782300462785,00:08:2f:c3:3b:85,NU_Campus_WiFi,-55,2437
1782300462785,00:08:2f:c3:3b:81,NUGuest,-54,2437
1782300462785,00:08:2f:c3:3b:83,NU_Devices,-55,2437
1782300462785,00:08:2f:c3:3f:55,NU_Campus_WiFi,-60,2462
1782300462785,d4:c9:3c:db:34:00,NUGuest,-72,2462
1782300462785,34:b8:83:b6:c6:af,NU_Devices,-93,5320
1782300462785,34:b8:83:b6:c6:ae,NU,-92,5320
1782300462785,34:b8:83:b6:c6:ac,NUGuest,-92,5320
1782300467787,00:08:2f:b1:ea:9e,NUGuest,-76,5180
1782300467787,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-76,5180
1782300467787,00:08:2f:b1:ea:9c,NU_Devices,-75,5180
1782300467787,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-79,5180
