ts,sensor,x,y,z
1782298951509,mag,12.037500,-16.593750,-53.943752
1782298951511,mag,10.968750,-16.593750,-53.625004
1782298951511,gyro,0.015301,0.081634,0.004901
1782298951511,accel,-0.057428,-0.059821,9.976778
1782298951534,gyro,0.050120,0.128059,-0.003651
1782298951534,gyro,0.026908,0.083466,-0.001208
1782298951534,gyro,-0.021351,0.032154,0.009788
1782298951534,accel,-0.035892,0.165105,9.524534
1782298951534,mag,11.343750,-14.531251,-53.006252
1782298951534,accel,-0.052642,0.351745,9.409678
1782298951534,mag,12.206250,-16.293751,-54.843754
1782298951534,accel,0.019143,0.425922,9.696817
1782298951537,gyro,-0.064722,0.037041,0.022616
1782298951537,accel,0.088534,0.397209,10.041383
1782298951538,mag,10.987500,-16.143751,-54.393753
1782298951545,gyro,-0.091600,0.079801,0.040942
1782298951545,accel,0.112463,0.346959,10.086847
1782298951549,mag,10.312500,-14.962501,-53.775002
1782298951553,gyro,-0.108094,0.113399,0.058046
1782298951553,accel,0.117248,0.301496,9.845171
1782298951559,mag,10.406250,-14.381250,-52.556252
1782298951562,gyro,-0.118478,0.102403,0.071485
1782298951562,accel,0.105284,0.282353,9.577176
1782298951569,mag,12.918751,-14.981251,-54.525002
1782298951571,gyro,-0.125198,0.062086,0.077594
1782298951571,accel,0.102891,0.267996,9.517355
1782298951587,accel,0.078963,0.227318,9.603497
1782298951587,mag,12.693750,-16.743752,-55.293751
1782298951587,gyro,-0.121533,0.028489,0.079426
1782298951589,gyro,-0.101374,0.014439,0.077594
1782298951590,mag,13.500001,-14.700001,-54.375004
1782298951590,accel,0.038285,0.212961,9.692031
1782298951597,gyro,-0.078772,0.014439,0.075150
1782298951597,accel,0.031107,0.227318,9.715959
1782298951598,mag,12.037500,-15.112500,-55.143753
1782298951605,gyro,-0.067166,0.009552,0.072707
1782298951605,accel,0.021535,0.277567,9.668103
1782298951609,mag,12.056251,-15.843751,-55.143753
1782298951614,gyro,-0.072053,0.011995,0.074539
1782298951614,accel,-0.016750,0.327817,9.625032
1782298951621,mag,11.418751,-15.262501,-54.525002
1782298951622,gyro,-0.095876,0.016271,0.087368
1782298951622,accel,-0.009571,0.349352,9.620246
1782298951631,mag,11.850000,-16.012501,-53.475002
1782298951631,gyro,-0.125198,0.016882,0.107526
1782298951631,accel,-0.045464,0.385244,9.622639
1782298951640,gyro,-0.145967,0.007719,0.133182
1782298951640,accel,-0.107677,0.390030,9.641782
1782298951640,mag,9.675000,-14.062501,-53.606251
1782298951650,accel,-0.124427,0.351745,9.625032
1782298951650,gyro,-0.153298,-0.009385,0.155784
1782298951650,mag,11.550000,-15.412500,-53.925003
1782298951657,gyro,-0.152076,-0.045426,0.171056
1782298951657,accel,-0.076570,0.366102,9.648961
1782298951658,mag,11.550000,-15.412500,-53.925003
1782298951665,accel,-0.186640,0.253639,9.651353
1782298951665,gyro,-0.141691,-0.093074,0.183273
1782298951669,mag,13.950001,-15.000001,-54.075001
1782298951674,gyro,-0.128252,-0.121784,0.191825
1782298951674,accel,-0.239282,0.248854,9.560426
1782298951691,mag,11.512501,-15.862500,-52.556252
1782298951691,gyro,-0.114202,-0.144386,0.196101
1782298951691,accel,-0.282353,0.267996,9.488641
1782298951691,mag,11.250000,-15.112500,-54.375004
1782298951691,gyro,-0.098320,-0.155993,0.197934
1782298951691,accel,-0.277567,0.244068,9.491034
1782298951698,mag,10.668751,-15.993751,-54.075001
1782298951699,gyro,-0.071442,-0.152938,0.200988
1782298951700,accel,-0.318245,0.212961,9.519748
1782298951709,gyro,-0.039066,-0.127282,0.204654
1782298951709,accel,-0.394816,0.382852,9.550854
1782298951709,mag,10.350000,-14.212501,-55.275002
1782298951717,gyro,-0.005468,-0.106513,0.213206
1782298951717,accel,-0.488136,0.612563,9.500605
1782298951719,mag,11.531250,-15.862500,-52.875004
1782298951725,gyro,0.021410,-0.115676,0.218093
1782298951726,accel,-0.504886,0.763310,9.369000
1782298951729,mag,11.043751,-13.200001,-54.506252
1782298951734,gyro,0.040347,-0.134612,0.218093
1782298951734,accel,-0.552742,0.835095,9.316358
1782298951740,mag,9.393750,-15.093751,-52.856251
1782298951742,gyro,0.047677,-0.141943,0.215649
1782298951743,accel,-0.547956,0.851845,9.328322
1782298951749,mag,11.100000,-14.512501,-55.275002
1782298951751,gyro,0.044012,-0.151717,0.207097
1782298951751,accel,-0.485743,0.806381,9.438392
1782298951759,mag,11.006250,-15.825001,-55.443752
1782298951759,gyro,0.026908,-0.146830,0.196101
1782298951761,accel,-0.452243,0.760918,9.670496
1782298951771,gyro,-0.010355,-0.117508,0.185717
1782298951771,accel,-0.346959,0.693919,9.881064
1782298951771,mag,8.831250,-14.493751,-54.825001
1782298951777,gyro,-0.067166,-0.060087,0.177165
1782298951792,accel,-0.244068,0.586242,10.060525
1782298951793,mag,8.962501,-16.125000,-52.575001
1782298951793,gyro,-0.142302,0.010163,0.177165
1782298951793,accel,-0.303888,0.284746,10.292630
1782298951793,mag,10.556251,-15.825001,-55.443752
1782298951795,gyro,-0.217438,0.079190,0.193047
1782298951795,accel,-0.253639,0.083749,10.563018
1782298951799,mag,10.368751,-15.243751,-54.825001
1782298951803,gyro,-0.271194,0.140888,0.205264
1782298951803,accel,-0.232104,-0.047856,10.862121
1782298951808,mag,10.856251,-13.650001,-52.837502
1782298951813,gyro,-0.283412,0.191589,0.216871
1782298951813,accel,-0.224925,-0.038285,11.039191
1782298951819,mag,10.143750,-13.331250,-54.656254
1782298951820,gyro,-0.258977,0.228852,0.220536
1782298951820,accel,-0.301496,0.011964,10.974584
1782298951830,gyro,-0.211941,0.211748,0.213817
1782298951831,mag,10.368751,-16.275002,-54.093754
1782298951831,accel,-0.464208,0.004786,10.692231
1782298951839,gyro,-0.161850,0.139666,0.193047
1782298951839,accel,-0.583849,-0.050249,10.388342
1782298951839,mag,11.250000,-14.062501,-55.425003
1782298951847,gyro,-0.116646,0.058421,0.164947
1782298951847,accel,-0.562313,-0.081356,10.153846
1782298951849,mag,10.575001,-12.750001,-54.506252
1782298951857,gyro,-0.078161,0.004665,0.130739
1782298951857,accel,-0.418744,-0.014357,10.058133
1782298951861,mag,9.206250,-14.212501,-53.006252
1782298951871,gyro,-0.053727,-0.007553,0.092254
1782298951871,accel,-0.265603,0.090927,9.983956
1782298951871,mag,10.350000,-14.212501,-55.275002
1782298951874,gyro,-0.058003,0.013217,0.061711
1782298951874,accel,-0.165105,0.241675,9.670496
1782298951880,gyro,-0.095265,0.023602,0.037887
1782298951880,mag,10.931251,-14.362500,-54.375004
1782298951880,accel,-0.177069,0.363709,9.656139
1782298951896,accel,-0.203390,0.545564,9.725531
1782298951896,gyro,-0.112370,0.018715,0.028725
1782298951896,mag,10.293751,-14.212501,-53.456253
1782298951897,gyro,-0.097709,0.032765,0.026281
1782298951897,accel,-0.198604,0.650848,9.672888
1782298951898,mag,8.812500,-14.193750,-54.525002
1782298951906,gyro,-0.065333,0.060253,0.026281
1782298951906,accel,-0.208176,0.691526,9.479070
1782298951908,mag,10.893750,-14.081250,-53.906254
1782298951914,gyro,-0.025016,0.069416,0.031168
1782298951914,accel,-0.224925,0.772882,9.318751
1782298951920,mag,8.343750,-13.593751,-54.675003
1782298951923,gyro,0.023242,0.060253,0.038498
1782298951923,accel,-0.253639,0.863809,9.246966
1782298951929,mag,9.206250,-13.462501,-53.756252
1782298951931,gyro,0.073944,0.049869,0.043996
1782298951932,accel,-0.258425,0.916451,9.175182
1782298951939,mag,9.356251,-14.062501,-53.156254
1782298951940,gyro,0.121592,0.036430,0.048883
1782298951940,accel,-0.227318,0.935594,9.156039
1782298951949,gyro,0.158854,0.019326,0.050105
1782298951949,accel,-0.162712,0.957129,9.146468
1782298951949,mag,11.550000,-14.081250,-55.425003
1782298951957,gyro,0.174126,0.002221,0.048883
1782298951957,accel,-0.090927,0.966700,9.227824
1782298951958,mag,8.906250,-14.062501,-53.156254
1782298951965,accel,-0.038285,0.978664,9.366607
1782298951965,gyro,0.169850,-0.008163,0.047050
1782298951968,mag,10.481251,-14.662500,-54.675003
1782298951974,gyro,0.143583,-0.009385,0.047050
1782298951974,accel,0.028714,0.959522,9.471892
1782298951979,mag,9.675000,-13.331250,-54.356251
1782298951982,gyro,0.096546,-0.011829,0.048272
1782298951982,accel,0.052642,0.928415,9.593925
1782298951999,mag,10.125000,-14.062501,-53.606251
1782298951999,gyro,0.042179,-0.012439,0.052548
1782298951999,accel,0.040678,0.894916,9.715959
1782298951999,mag,10.275001,-13.781251,-53.756252
1782298952000,gyro,-0.006690,-0.013050,0.061100
1782298952000,accel,0.026321,0.847059,9.847564
1782298952009,gyro,-0.036622,-0.014272,0.069652
1782298952010,accel,-0.062213,0.746561,9.986349
1782298952010,mag,8.625000,-14.343751,-53.156254
1782298952017,gyro,-0.045785,-0.016105,0.078205
1782298952017,accel,-0.145962,0.653241,10.055740
1782298952019,mag,10.143750,-13.631250,-54.356251
1782298952026,gyro,-0.038455,-0.025268,0.075150
1782298952026,accel,-0.222533,0.638884,10.070097
1782298952029,mag,9.975000,-13.481251,-53.756252
1782298952034,gyro,-0.018907,-0.049702,0.065987
1782298952035,accel,-0.291924,0.655633,9.998313
1782298952040,mag,10.162500,-13.331250,-55.125004
1782298952043,gyro,-0.003636,-0.075359,0.052548
1782298952043,accel,-0.339781,0.715454,9.950456
1782298952049,mag,8.718750,-13.181251,-52.987503
1782298952051,gyro,0.009192,-0.094295,0.034833
1782298952053,accel,-0.363709,0.756132,9.950456
1782298952059,mag,11.437500,-12.918751,-53.137501
1782298952060,gyro,0.015912,-0.106513,0.014064
1782298952061,accel,-0.361316,0.765703,9.969598
1782298952071,gyro,0.016523,-0.105902,-0.006095
1782298952071,mag,8.118751,-15.656251,-55.293751
1782298952071,accel,-0.337388,0.765703,9.979170
1782298952078,accel,-0.339781,0.770489,9.983956
1782298952078,gyro,0.018355,-0.088798,-0.020756
1782298952079,mag,8.025001,-13.743751,-54.056252
1782298952086,gyro,0.028129,-0.071693,-0.032362
1782298952086,accel,-0.349352,0.813560,9.969598
1782298952089,mag,9.693750,-14.062501,-53.906254
1782298952109,accel,-0.351745,0.851845,9.916956
1782298952109,gyro,0.050120,-0.057033,-0.041525
1782298952110,mag,10.162500,-15.393750,-53.156254
1782298952110,gyro,0.084329,-0.039317,-0.050077
1782298952110,accel,-0.368495,0.897308,9.842779
1782298952110,mag,8.287500,-14.062501,-52.537502
1782298952112,gyro,0.122813,-0.033209,-0.058629
1782298952112,accel,-0.382852,0.937986,9.780566
1782298952119,mag,8.287500,-14.062501,-52.537502
1782298952120,gyro,0.157022,-0.036263,-0.069014
1782298952120,accel,-0.373280,0.959522,9.708781
1782298952129,gyro,0.180235,-0.043594,-0.075733
1782298952130,accel,-0.323031,1.002593,9.665710
1782298952130,mag,8.812500,-14.493751,-54.525002
1782298952137,accel,-0.267996,1.062413,9.651353
1782298952137,gyro,0.196728,-0.038096,-0.081231
1782298952139,mag,9.375000,-12.881250,-54.656254
1782298952146,gyro,0.205891,-0.029544,-0.086118
1782298952146,accel,-0.263211,1.091127,9.627425
1782298952149,mag,8.343750,-14.343751,-53.906254
1782298952155,accel,-0.279960,1.079163,9.663317
1782298952156,gyro,0.208334,-0.022824,-0.095281
1782298952160,mag,9.562500,-14.943750,-53.775002
1782298952163,gyro,0.202837,-0.023435,-0.105055
1782298952164,accel,-0.275175,1.071985,9.689639
1782298952169,mag,9.375000,-14.062501,-53.606251
1782298952172,gyro,0.191230,-0.020992,-0.115440
1782298952172,accel,-0.203390,1.062413,9.684853
1782298952179,mag,6.375000,-15.056251,-53.156254
1782298952180,gyro,0.178402,-0.011829,-0.122159
1782298952180,accel,-0.160319,1.091127,9.648961
1782298952189,mag,8.531250,-15.225000,-54.525002
1782298952190,gyro,0.164352,-0.016105,-0.125213
1782298952190,accel,-0.162712,1.076770,9.663317
1782298952207,gyro,0.147859,-0.032598,-0.120326
1782298952207,accel,-0.224925,1.040878,9.768602
1782298952207,mag,8.400001,-15.375001,-54.675003
1782298952208,gyro,0.132587,-0.046037,-0.108109
1782298952208,accel,-0.193819,1.038485,9.919349
1782298952209,mag,7.800000,-16.256250,-54.093754
1782298952214,gyro,0.121592,-0.040539,-0.099557
1782298952215,accel,-0.174676,1.024128,10.048562
1782298952220,mag,6.243750,-15.206250,-53.475002
1782298952224,accel,-0.212961,1.040878,10.029419
1782298952224,gyro,0.117316,-0.028322,-0.092227
1782298952229,mag,8.812500,-14.943750,-53.775002
1782298952232,gyro,0.112429,-0.025268,-0.082453
1782298952232,accel,-0.256032,1.019342,9.981563
1782298952239,mag,8.756250,-14.943750,-52.256252
1782298952241,gyro,0.109985,-0.033820,-0.069625
1782298952241,accel,-0.248854,0.993021,9.986349
1782298952251,accel,-0.284746,0.966700,10.115561
1782298952251,gyro,0.113039,-0.048480,-0.058629
1782298952251,mag,7.575000,-14.625001,-53.606251
1782298952258,gyro,0.122813,-0.058254,-0.049466
1782298952258,accel,-0.342174,0.949951,10.273488
1782298952259,mag,7.031250,-15.656251,-54.075001
1782298952267,accel,-0.397209,0.926022,10.335701
1782298952267,gyro,0.133809,-0.064363,-0.045190
1782298952269,mag,8.662500,-14.643750,-54.375004
1782298952275,gyro,0.139307,-0.068028,-0.042136
1782298952275,accel,-0.401994,0.885344,10.371593
1782298952280,mag,8.006250,-16.087502,-55.743752
1782298952284,gyro,0.136863,-0.070472,-0.040914
1782298952284,accel,-0.394816,0.782453,10.417057
1782298952289,mag,9.018750,-16.106251,-54.693752
1782298952291,gyro,0.133809,-0.073526,-0.039081
1782298952292,accel,-0.399601,0.660419,10.563018
1782298952303,mag,8.025001,-15.675000,-52.256252
1782298952303,gyro,0.140528,-0.067417,-0.039692
1782298952303,accel,-0.409173,0.622134,10.756837
1782298952309,gyro,0.165574,-0.044815,-0.047023
1782298952310,mag,6.975000,-15.206250,-53.006252
1782298952310,accel,-0.423530,0.612563,10.866908
1782298952317,gyro,0.201615,-0.025878,-0.064127
1782298952318,accel,-0.440279,0.650848,10.804694
1782298952319,mag,6.993750,-14.906251,-54.075001
1782298952326,gyro,0.237045,-0.030765,-0.091616
1782298952327,accel,-0.473779,0.643669,10.649160
1782298952329,mag,7.575000,-14.325001,-53.606251
1782298952335,accel,-0.507278,0.593420,10.558233
1782298952335,gyro,0.263312,-0.052146,-0.122159
1782298952340,mag,6.356250,-14.625001,-53.156254
1782298952345,gyro,0.283471,-0.075359,-0.151481
1782298952345,accel,-0.490529,0.500100,10.584554
