ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782298951511,-0.057428,-0.059821,9.976778,0.015301,0.081634,0.004901,10.96875,-16.59375,-53.625004
1782298951534,0.019143,0.425922,9.696817,-0.021351,0.032154,0.009788,12.20625,-16.293751,-54.843754
1782298951537,0.088534,0.397209,10.041383,-0.064722,0.037041,0.022616,12.20625,-16.293751,-54.843754
1782298951538,0.088534,0.397209,10.041383,-0.064722,0.037041,0.022616,10.9875,-16.143751,-54.393753
1782298951545,0.112463,0.346959,10.086847,-0.0916,0.079801,0.040942,10.9875,-16.143751,-54.393753
1782298951549,0.112463,0.346959,10.086847,-0.0916,0.079801,0.040942,10.3125,-14.962501,-53.775002
1782298951553,0.117248,0.301496,9.845171,-0.108094,0.113399,0.058046,10.3125,-14.962501,-53.775002
1782298951559,0.117248,0.301496,9.845171,-0.108094,0.113399,0.058046,10.40625,-14.38125,-52.556252
1782298951562,0.105284,0.282353,9.577176,-0.118478,0.102403,0.071485,10.40625,-14.38125,-52.556252
1782298951569,0.105284,0.282353,9.577176,-0.118478,0.102403,0.071485,12.918751,-14.981251,-54.525002
1782298951571,0.102891,0.267996,9.517355,-0.125198,0.062086,0.077594,12.918751,-14.981251,-54.525002
1782298951587,0.078963,0.227318,9.603497,-0.121533,0.028489,0.079426,12.69375,-16.743752,-55.293751
1782298951589,0.078963,0.227318,9.603497,-0.101374,0.014439,0.077594,12.69375,-16.743752,-55.293751
1782298951590,0.038285,0.212961,9.692031,-0.101374,0.014439,0.077594,13.500001,-14.700001,-54.375004
1782298951597,0.031107,0.227318,9.715959,-0.078772,0.014439,0.07515,13.500001,-14.700001,-54.375004
1782298951598,0.031107,0.227318,9.715959,-0.078772,0.014439,0.07515,12.0375,-15.1125,-55.143753
1782298951605,0.021535,0.277567,9.668103,-0.067166,0.009552,0.072707,12.0375,-15.1125,-55.143753
1782298951609,0.021535,0.277567,9.668103,-0.067166,0.009552,0.072707,12.056251,-15.843751,-55.143753
1782298951614,-0.01675,0.327817,9.625032,-0.072053,0.011995,0.074539,12.056251,-15.843751,-55.143753
1782298951621,-0.01675,0.327817,9.625032,-0.072053,0.011995,0.074539,11.418751,-15.262501,-54.525002
1782298951622,-0.009571,0.349352,9.620246,-0.095876,0.016271,0.087368,11.418751,-15.262501,-54.525002
1782298951631,-0.045464,0.385244,9.622639,-0.125198,0.016882,0.107526,11.85,-16.012501,-53.475002
1782298951640,-0.107677,0.39003,9.641782,-0.145967,0.007719,0.133182,9.675,-14.062501,-53.606251
1782298951650,-0.124427,0.351745,9.625032,-0.153298,-0.009385,0.155784,11.55,-15.4125,-53.925003
1782298951657,-0.07657,0.366102,9.648961,-0.152076,-0.045426,0.171056,11.55,-15.4125,-53.925003
1782298951658,-0.07657,0.366102,9.648961,-0.152076,-0.045426,0.171056,11.55,-15.4125,-53.925003
1782298951665,-0.18664,0.253639,9.651353,-0.141691,-0.093074,0.183273,11.55,-15.4125,-53.925003
1782298951669,-0.18664,0.253639,9.651353,-0.141691,-0.093074,0.183273,13.950001,-15.000001,-54.075001
1782298951674,-0.239282,0.248854,9.560426,-0.128252,-0.121784,0.191825,13.950001,-15.000001,-54.075001
1782298951691,-0.277567,0.244068,9.491034,-0.09832,-0.155993,0.197934,11.25,-15.1125,-54.375004
1782298951698,-0.277567,0.244068,9.491034,-0.09832,-0.155993,0.197934,10.668751,-15.993751,-54.075001
1782298951699,-0.277567,0.244068,9.491034,-0.071442,-0.152938,0.200988,10.668751,-15.993751,-54.075001
1782298951700,-0.318245,0.212961,9.519748,-0.071442,-0.152938,0.200988,10.668751,-15.993751,-54.075001
1782298951709,-0.394816,0.382852,9.550854,-0.039066,-0.127282,0.204654,10.35,-14.212501,-55.275002
1782298951717,-0.488136,0.612563,9.500605,-0.005468,-0.106513,0.213206,10.35,-14.212501,-55.275002
1782298951719,-0.488136,0.612563,9.500605,-0.005468,-0.106513,0.213206,11.53125,-15.8625,-52.875004
1782298951725,-0.488136,0.612563,9.500605,0.02141,-0.115676,0.218093,11.53125,-15.8625,-52.875004
1782298951726,-0.504886,0.76331,9.369,0.02141,-0.115676,0.218093,11.53125,-15.8625,-52.875004
1782298951729,-0.504886,0.76331,9.369,0.02141,-0.115676,0.218093,11.043751,-13.200001,-54.506252
1782298951734,-0.552742,0.835095,9.316358,0.040347,-0.134612,0.218093,11.043751,-13.200001,-54.506252
1782298951740,-0.552742,0.835095,9.316358,0.040347,-0.134612,0.218093,9.39375,-15.093751,-52.856251
1782298951742,-0.552742,0.835095,9.316358,0.047677,-0.141943,0.215649,9.39375,-15.093751,-52.856251
1782298951743,-0.547956,0.851845,9.328322,0.047677,-0.141943,0.215649,9.39375,-15.093751,-52.856251
1782298951749,-0.547956,0.851845,9.328322,0.047677,-0.141943,0.215649,11.1,-14.512501,-55.275002
1782298951751,-0.485743,0.806381,9.438392,0.044012,-0.151717,0.207097,11.1,-14.512501,-55.275002
1782298951759,-0.485743,0.806381,9.438392,0.026908,-0.14683,0.196101,11.00625,-15.825001,-55.443752
1782298951761,-0.452243,0.760918,9.670496,0.026908,-0.14683,0.196101,11.00625,-15.825001,-55.443752
1782298951771,-0.346959,0.693919,9.881064,-0.010355,-0.117508,0.185717,8.83125,-14.493751,-54.825001
1782298951777,-0.346959,0.693919,9.881064,-0.067166,-0.060087,0.177165,8.83125,-14.493751,-54.825001
1782298951792,-0.244068,0.586242,10.060525,-0.067166,-0.060087,0.177165,8.83125,-14.493751,-54.825001
1782298951793,-0.303888,0.284746,10.29263,-0.142302,0.010163,0.177165,10.556251,-15.825001,-55.443752
1782298951795,-0.253639,0.083749,10.563018,-0.217438,0.07919,0.193047,10.556251,-15.825001,-55.443752
1782298951799,-0.253639,0.083749,10.563018,-0.217438,0.07919,0.193047,10.368751,-15.243751,-54.825001
1782298951803,-0.232104,-0.047856,10.862121,-0.271194,0.140888,0.205264,10.368751,-15.243751,-54.825001
1782298951808,-0.232104,-0.047856,10.862121,-0.271194,0.140888,0.205264,10.856251,-13.650001,-52.837502
1782298951813,-0.224925,-0.038285,11.039191,-0.283412,0.191589,0.216871,10.856251,-13.650001,-52.837502
1782298951819,-0.224925,-0.038285,11.039191,-0.283412,0.191589,0.216871,10.14375,-13.33125,-54.656254
1782298951820,-0.301496,0.011964,10.974584,-0.258977,0.228852,0.220536,10.14375,-13.33125,-54.656254
1782298951830,-0.301496,0.011964,10.974584,-0.211941,0.211748,0.213817,10.14375,-13.33125,-54.656254
1782298951831,-0.464208,0.004786,10.692231,-0.211941,0.211748,0.213817,10.368751,-16.275002,-54.093754
1782298951839,-0.583849,-0.050249,10.388342,-0.16185,0.139666,0.193047,11.25,-14.062501,-55.425003
1782298951847,-0.562313,-0.081356,10.153846,-0.116646,0.058421,0.164947,11.25,-14.062501,-55.425003
1782298951849,-0.562313,-0.081356,10.153846,-0.116646,0.058421,0.164947,10.575001,-12.750001,-54.506252
1782298951857,-0.418744,-0.014357,10.058133,-0.078161,0.004665,0.130739,10.575001,-12.750001,-54.506252
1782298951861,-0.418744,-0.014357,10.058133,-0.078161,0.004665,0.130739,9.20625,-14.212501,-53.006252
1782298951871,-0.265603,0.090927,9.983956,-0.053727,-0.007553,0.092254,10.35,-14.212501,-55.275002
1782298951874,-0.165105,0.241675,9.670496,-0.058003,0.013217,0.061711,10.35,-14.212501,-55.275002
1782298951880,-0.177069,0.363709,9.656139,-0.095265,0.023602,0.037887,10.931251,-14.3625,-54.375004
1782298951896,-0.20339,0.545564,9.725531,-0.11237,0.018715,0.028725,10.293751,-14.212501,-53.456253
1782298951897,-0.198604,0.650848,9.672888,-0.097709,0.032765,0.026281,10.293751,-14.212501,-53.456253
1782298951898,-0.198604,0.650848,9.672888,-0.097709,0.032765,0.026281,8.8125,-14.19375,-54.525002
1782298951906,-0.208176,0.691526,9.47907,-0.065333,0.060253,0.026281,8.8125,-14.19375,-54.525002
1782298951908,-0.208176,0.691526,9.47907,-0.065333,0.060253,0.026281,10.89375,-14.08125,-53.906254
1782298951914,-0.224925,0.772882,9.318751,-0.025016,0.069416,0.031168,10.89375,-14.08125,-53.906254
1782298951920,-0.224925,0.772882,9.318751,-0.025016,0.069416,0.031168,8.34375,-13.593751,-54.675003
1782298951923,-0.253639,0.863809,9.246966,0.023242,0.060253,0.038498,8.34375,-13.593751,-54.675003
1782298951929,-0.253639,0.863809,9.246966,0.023242,0.060253,0.038498,9.20625,-13.462501,-53.756252
1782298951931,-0.253639,0.863809,9.246966,0.073944,0.049869,0.043996,9.20625,-13.462501,-53.756252
1782298951932,-0.258425,0.916451,9.175182,0.073944,0.049869,0.043996,9.20625,-13.462501,-53.756252
1782298951939,-0.258425,0.916451,9.175182,0.073944,0.049869,0.043996,9.356251,-14.062501,-53.156254
1782298951940,-0.227318,0.935594,9.156039,0.121592,0.03643,0.048883,9.356251,-14.062501,-53.156254
