ts,x,y,heading
1782298951598,8.566000,61.272000,south
1782298951698,8.566000,61.168000,south
1782298951798,8.566000,61.063000,south
1782298951898,8.566000,60.959000,south
1782298951998,8.566000,60.855000,south
1782298952098,8.566000,60.750000,south
1782298952198,8.566000,60.646000,south
1782298952298,8.566000,60.542000,south
1782298952398,8.566000,60.437000,south
1782298952498,8.566000,60.333000,south
1782298952598,8.566000,60.229000,south
1782298952698,8.566000,60.124000,south
1782298952798,8.566000,60.020000,south
1782298952898,8.566000,59.916000,south
1782298952998,8.566000,59.811000,south
1782298953098,8.566000,59.707000,south
1782298953198,8.566000,59.603000,south
1782298953298,8.566000,59.498000,south
1782298953398,8.566000,59.394000,south
1782298953498,8.566000,59.290000,south
1782298953598,8.566000,59.185000,south
1782298953698,8.566000,59.081000,south
1782298953798,8.566000,58.977000,south
1782298953898,8.566000,58.872000,south
1782298953998,8.566000,58.768000,south
1782298954098,8.566000,58.664000,south
1782298954198,8.566000,58.559000,south
1782298954298,8.566000,58.455000,south
1782298954398,8.566000,58.351000,south
1782298954498,8.566000,58.246000,south
1782298954598,8.566000,58.142000,south
1782298954698,8.566000,58.038000,south
1782298954798,8.566000,57.933000,south
1782298954898,8.566000,57.829000,south
1782298954998,8.566000,57.725000,south
1782298955098,8.566000,57.620000,south
1782298955198,8.566000,57.516000,south
1782298955298,8.566000,57.412000,south
1782298955398,8.566000,57.307000,south
1782298955498,8.566000,57.203000,south
1782298955598,8.566000,57.099000,south
1782298955698,8.566000,56.994000,south
1782298955798,8.566000,56.890000,south
1782298955898,8.566000,56.786000,south
1782298955998,8.566000,56.681000,south
1782298956098,8.566000,56.577000,south
1782298956198,8.566000,56.473000,south
1782298956298,8.566000,56.368000,south
1782298956398,8.566000,56.264000,south
1782298956498,8.566000,56.160000,south
1782298956598,8.566000,56.055000,south
1782298956698,8.566000,55.951000,south
1782298956798,8.566000,55.846000,south
1782298956898,8.566000,55.742000,south
1782298956998,8.566000,55.638000,south
1782298957098,8.566000,55.533000,south
1782298957198,8.566000,55.429000,south
1782298957298,8.566000,55.325000,south
1782298957398,8.566000,55.220000,south
1782298957498,8.566000,55.116000,south
1782298957598,8.566000,55.012000,south
1782298957698,8.566000,54.907000,south
1782298957798,8.566000,54.803000,south
1782298957898,8.566000,54.699000,south
1782298957998,8.566000,54.594000,south
