ts,sensor,x,y,z
1782299596432,gyro,-0.051283,0.057199,0.042164
1782299596432,mag,2.981250,-38.812500,-48.806252
1782299596432,accel,0.270389,1.134198,9.160824
1782299596432,gyro,-0.115424,-0.015494,0.049494
1782299596432,mag,4.068750,-37.050003,-51.675003
1782299596432,accel,0.339781,1.162912,9.560426
1782299596432,gyro,-0.158795,-0.032598,0.054381
1782299596432,mag,3.225000,-40.425003,-50.043751
1782299596433,accel,0.363709,1.172483,9.912171
1782299596437,gyro,-0.159406,-0.009996,0.055603
1782299596437,accel,0.334995,1.150948,9.912171
1782299596439,mag,2.231250,-37.762501,-49.856251
1782299596443,gyro,-0.141691,-0.003276,0.054992
1782299596443,accel,0.275175,1.079163,9.715959
1782299596449,mag,4.425000,-39.712502,-50.793751
1782299596452,gyro,-0.119700,-0.016105,0.054381
1782299596452,accel,0.248854,1.067199,9.723138
1782299596458,mag,3.937500,-37.931252,-51.525002
1782299596460,gyro,-0.089157,-0.024046,0.053770
1782299596460,accel,0.224925,1.088734,9.914564
1782299596469,gyro,-0.048229,-0.022824,0.056213
1782299596469,mag,2.831250,-38.231251,-49.256252
1782299596470,accel,0.227318,1.138984,10.017455
1782299596479,accel,0.267996,1.194018,9.907385
1782299596479,gyro,-0.014020,-0.022213,0.067820
1782299596479,mag,2.737500,-38.793751,-50.943752
1782299596487,gyro,0.006749,-0.032598,0.083702
1782299596487,accel,0.275175,1.213161,9.778173
1782299596489,mag,2.775000,-39.825001,-50.643753
1782299596495,accel,0.275175,1.237089,9.689639
1782299596495,gyro,0.025686,-0.049091,0.097141
1782299596500,mag,2.550000,-37.462502,-51.075001
1782299596505,gyro,0.043401,-0.061309,0.105083
1782299596507,accel,0.287139,1.342373,9.627425
1782299596509,mag,3.618750,-38.962502,-50.025002
1782299596513,gyro,0.042790,-0.074137,0.110580
1782299596513,accel,0.323031,1.356730,9.510177
1782299596519,mag,2.268750,-38.362503,-50.625004
1782299596524,gyro,0.020799,-0.099182,0.116689
1782299596524,accel,0.349352,1.359123,9.443178
1782299596532,gyro,-0.017686,-0.111400,0.121576
1782299596532,accel,0.346959,1.337588,9.455142
1782299596532,mag,1.237500,-38.775002,-50.943752
1782299596541,gyro,-0.051283,-0.105902,0.122798
1782299596541,accel,0.327817,1.347159,9.517355
1782299596541,mag,2.831250,-38.962502,-48.656254
1782299596548,accel,0.344566,1.411765,9.605890
1782299596548,gyro,-0.073274,-0.083911,0.124019
1782299596548,mag,3.768750,-38.381252,-50.625004
1782299596555,gyro,-0.092211,-0.061309,0.128906
1782299596555,accel,0.346959,1.411765,9.550854
1782299596559,mag,2.268750,-39.093750,-49.875004
1782299596564,gyro,-0.106261,-0.056422,0.137458
1782299596564,accel,0.378066,1.418944,9.426428
1782299596569,mag,1.500000,-38.343750,-50.175003
1782299596574,gyro,-0.114813,-0.053978,0.144178
1782299596574,accel,0.409173,1.430908,9.364214
1782299596579,mag,2.587500,-38.943752,-50.793751
1782299596581,gyro,-0.114202,-0.049702,0.151508
1782299596581,accel,0.442672,1.416551,9.335500
1782299596588,mag,0.825000,-37.762501,-48.806252
1782299596589,gyro,-0.103207,-0.044204,0.153952
1782299596589,accel,0.416351,1.368695,9.290037
1782299596599,gyro,-0.075718,-0.064974,0.148454
1782299596599,mag,2.718750,-37.762501,-50.925003
1782299596599,accel,0.330210,1.311267,9.342680
1782299596606,gyro,-0.032957,-0.085132,0.139902
1782299596607,accel,0.236889,1.280160,9.469499
1782299596608,mag,0.262500,-37.893753,-49.706253
1782299596616,gyro,0.016523,-0.092463,0.131961
1782299596616,accel,0.181855,1.275374,9.538890
1782299596619,mag,0.581250,-37.893753,-50.475002
1782299596624,gyro,0.061727,-0.077191,0.124630
1782299596624,accel,0.191426,1.323231,9.605890
1782299596631,mag,-0.375000,-36.562500,-49.856251
1782299596633,gyro,0.095324,-0.037485,0.119743
1782299596633,accel,0.153141,1.452443,9.603497
1782299596640,mag,2.250000,-38.362503,-50.175003
1782299596641,gyro,0.109374,0.022380,0.114856
1782299596642,accel,0.145962,1.576870,9.424035
1782299596649,mag,1.031250,-38.193752,-50.025002
1782299596650,gyro,0.092881,0.073082,0.114246
1782299596650,accel,0.177069,1.718047,9.115361
1782299596660,gyro,0.037292,0.110344,0.114246
1782299596660,accel,0.229711,1.825724,8.854543
1782299596660,mag,1.293750,-37.912502,-48.956253
1782299596667,gyro,-0.039677,0.107290,0.119743
1782299596667,accel,0.258425,1.911865,8.785151
1782299596669,mag,1.293750,-37.162502,-50.006252
1782299596678,gyro,-0.117867,0.070638,0.128906
1782299596678,accel,0.265603,1.926222,8.971792
1782299596679,mag,1.481250,-38.362503,-49.575001
1782299596684,gyro,-0.177121,0.026045,0.138680
1782299596684,accel,0.220140,1.864009,9.316358
1782299596689,mag,0.525000,-38.943752,-47.456253
1782299596692,accel,0.112463,1.775474,9.668103
1782299596692,gyro,-0.209497,-0.003887,0.148454
1782299596698,mag,0.525000,-38.943752,-47.456253
1782299596701,gyro,-0.199112,-0.014883,0.150897
1782299596701,accel,0.004786,1.708475,9.912171
1782299596708,mag,1.762500,-38.212502,-48.956253
1782299596710,accel,-0.093320,1.658226,10.029419
1782299596710,gyro,-0.157574,-0.016715,0.142956
1782299596719,gyro,-0.101985,-0.002055,0.135626
1782299596720,accel,-0.131605,1.670190,10.053347
1782299596721,mag,-0.525000,-38.643753,-47.906250
1782299596728,accel,-0.026321,1.701297,10.041383
1782299596728,gyro,-0.054337,0.032765,0.133793
1782299596729,mag,-0.525000,-38.643753,-47.906250
1782299596736,gyro,-0.029292,0.089575,0.135015
1782299596736,accel,0.117248,1.730011,10.041383
1782299596739,mag,0.843750,-37.312500,-49.856251
1782299596744,gyro,-0.029903,0.159214,0.142345
1782299596744,accel,0.244068,1.765903,10.000705
1782299596749,mag,0.337500,-37.312500,-48.037502
