ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782299596432,0.339781,1.162912,9.560426,-0.158795,-0.032598,0.054381,3.225,-40.425003,-50.043751
1782299596433,0.363709,1.172483,9.912171,-0.158795,-0.032598,0.054381,3.225,-40.425003,-50.043751
1782299596437,0.334995,1.150948,9.912171,-0.159406,-0.009996,0.055603,3.225,-40.425003,-50.043751
1782299596439,0.334995,1.150948,9.912171,-0.159406,-0.009996,0.055603,2.23125,-37.762501,-49.856251
1782299596443,0.275175,1.079163,9.715959,-0.141691,-0.003276,0.054992,2.23125,-37.762501,-49.856251
1782299596449,0.275175,1.079163,9.715959,-0.141691,-0.003276,0.054992,4.425,-39.712502,-50.793751
1782299596452,0.248854,1.067199,9.723138,-0.1197,-0.016105,0.054381,4.425,-39.712502,-50.793751
1782299596458,0.248854,1.067199,9.723138,-0.1197,-0.016105,0.054381,3.9375,-37.931252,-51.525002
1782299596460,0.224925,1.088734,9.914564,-0.089157,-0.024046,0.05377,3.9375,-37.931252,-51.525002
1782299596469,0.224925,1.088734,9.914564,-0.048229,-0.022824,0.056213,2.83125,-38.231251,-49.256252
1782299596470,0.227318,1.138984,10.017455,-0.048229,-0.022824,0.056213,2.83125,-38.231251,-49.256252
1782299596479,0.267996,1.194018,9.907385,-0.01402,-0.022213,0.06782,2.7375,-38.793751,-50.943752
1782299596487,0.275175,1.213161,9.778173,0.006749,-0.032598,0.083702,2.7375,-38.793751,-50.943752
1782299596489,0.275175,1.213161,9.778173,0.006749,-0.032598,0.083702,2.775,-39.825001,-50.643753
1782299596495,0.275175,1.237089,9.689639,0.025686,-0.049091,0.097141,2.775,-39.825001,-50.643753
1782299596500,0.275175,1.237089,9.689639,0.025686,-0.049091,0.097141,2.55,-37.462502,-51.075001
1782299596505,0.275175,1.237089,9.689639,0.043401,-0.061309,0.105083,2.55,-37.462502,-51.075001
1782299596507,0.287139,1.342373,9.627425,0.043401,-0.061309,0.105083,2.55,-37.462502,-51.075001
1782299596509,0.287139,1.342373,9.627425,0.043401,-0.061309,0.105083,3.61875,-38.962502,-50.025002
1782299596513,0.323031,1.35673,9.510177,0.04279,-0.074137,0.11058,3.61875,-38.962502,-50.025002
1782299596519,0.323031,1.35673,9.510177,0.04279,-0.074137,0.11058,2.26875,-38.362503,-50.625004
1782299596524,0.349352,1.359123,9.443178,0.020799,-0.099182,0.116689,2.26875,-38.362503,-50.625004
1782299596532,0.346959,1.337588,9.455142,-0.017686,-0.1114,0.121576,1.2375,-38.775002,-50.943752
1782299596541,0.327817,1.347159,9.517355,-0.051283,-0.105902,0.122798,2.83125,-38.962502,-48.656254
1782299596548,0.344566,1.411765,9.60589,-0.073274,-0.083911,0.124019,3.76875,-38.381252,-50.625004
1782299596555,0.346959,1.411765,9.550854,-0.092211,-0.061309,0.128906,3.76875,-38.381252,-50.625004
1782299596559,0.346959,1.411765,9.550854,-0.092211,-0.061309,0.128906,2.26875,-39.09375,-49.875004
1782299596564,0.378066,1.418944,9.426428,-0.106261,-0.056422,0.137458,2.26875,-39.09375,-49.875004
1782299596569,0.378066,1.418944,9.426428,-0.106261,-0.056422,0.137458,1.5,-38.34375,-50.175003
1782299596574,0.409173,1.430908,9.364214,-0.114813,-0.053978,0.144178,1.5,-38.34375,-50.175003
1782299596579,0.409173,1.430908,9.364214,-0.114813,-0.053978,0.144178,2.5875,-38.943752,-50.793751
1782299596581,0.442672,1.416551,9.3355,-0.114202,-0.049702,0.151508,2.5875,-38.943752,-50.793751
1782299596588,0.442672,1.416551,9.3355,-0.114202,-0.049702,0.151508,0.825,-37.762501,-48.806252
1782299596589,0.416351,1.368695,9.290037,-0.103207,-0.044204,0.153952,0.825,-37.762501,-48.806252
1782299596599,0.33021,1.311267,9.34268,-0.075718,-0.064974,0.148454,2.71875,-37.762501,-50.925003
1782299596606,0.33021,1.311267,9.34268,-0.032957,-0.085132,0.139902,2.71875,-37.762501,-50.925003
1782299596607,0.236889,1.28016,9.469499,-0.032957,-0.085132,0.139902,2.71875,-37.762501,-50.925003
1782299596608,0.236889,1.28016,9.469499,-0.032957,-0.085132,0.139902,0.2625,-37.893753,-49.706253
1782299596616,0.181855,1.275374,9.53889,0.016523,-0.092463,0.131961,0.2625,-37.893753,-49.706253
1782299596619,0.181855,1.275374,9.53889,0.016523,-0.092463,0.131961,0.58125,-37.893753,-50.475002
1782299596624,0.191426,1.323231,9.60589,0.061727,-0.077191,0.12463,0.58125,-37.893753,-50.475002
1782299596631,0.191426,1.323231,9.60589,0.061727,-0.077191,0.12463,-0.375,-36.5625,-49.856251
1782299596633,0.153141,1.452443,9.603497,0.095324,-0.037485,0.119743,-0.375,-36.5625,-49.856251
1782299596640,0.153141,1.452443,9.603497,0.095324,-0.037485,0.119743,2.25,-38.362503,-50.175003
1782299596641,0.153141,1.452443,9.603497,0.109374,0.02238,0.114856,2.25,-38.362503,-50.175003
1782299596642,0.145962,1.57687,9.424035,0.109374,0.02238,0.114856,2.25,-38.362503,-50.175003
1782299596649,0.145962,1.57687,9.424035,0.109374,0.02238,0.114856,1.03125,-38.193752,-50.025002
1782299596650,0.177069,1.718047,9.115361,0.092881,0.073082,0.114246,1.03125,-38.193752,-50.025002
1782299596660,0.229711,1.825724,8.854543,0.037292,0.110344,0.114246,1.29375,-37.912502,-48.956253
1782299596667,0.258425,1.911865,8.785151,-0.039677,0.10729,0.119743,1.29375,-37.912502,-48.956253
1782299596669,0.258425,1.911865,8.785151,-0.039677,0.10729,0.119743,1.29375,-37.162502,-50.006252
1782299596678,0.265603,1.926222,8.971792,-0.117867,0.070638,0.128906,1.29375,-37.162502,-50.006252
1782299596679,0.265603,1.926222,8.971792,-0.117867,0.070638,0.128906,1.48125,-38.362503,-49.575001
1782299596684,0.22014,1.864009,9.316358,-0.177121,0.026045,0.13868,1.48125,-38.362503,-49.575001
1782299596689,0.22014,1.864009,9.316358,-0.177121,0.026045,0.13868,0.525,-38.943752,-47.456253
1782299596692,0.112463,1.775474,9.668103,-0.209497,-0.003887,0.148454,0.525,-38.943752,-47.456253
1782299596698,0.112463,1.775474,9.668103,-0.209497,-0.003887,0.148454,0.525,-38.943752,-47.456253
1782299596701,0.004786,1.708475,9.912171,-0.199112,-0.014883,0.150897,0.525,-38.943752,-47.456253
1782299596708,0.004786,1.708475,9.912171,-0.199112,-0.014883,0.150897,1.7625,-38.212502,-48.956253
1782299596710,-0.09332,1.658226,10.029419,-0.157574,-0.016715,0.142956,1.7625,-38.212502,-48.956253
1782299596719,-0.09332,1.658226,10.029419,-0.101985,-0.002055,0.135626,1.7625,-38.212502,-48.956253
1782299596720,-0.131605,1.67019,10.053347,-0.101985,-0.002055,0.135626,1.7625,-38.212502,-48.956253
1782299596721,-0.131605,1.67019,10.053347,-0.101985,-0.002055,0.135626,-0.525,-38.643753,-47.90625
1782299596728,-0.026321,1.701297,10.041383,-0.054337,0.032765,0.133793,-0.525,-38.643753,-47.90625
1782299596729,-0.026321,1.701297,10.041383,-0.054337,0.032765,0.133793,-0.525,-38.643753,-47.90625
1782299596736,0.117248,1.730011,10.041383,-0.029292,0.089575,0.135015,-0.525,-38.643753,-47.90625
1782299596739,0.117248,1.730011,10.041383,-0.029292,0.089575,0.135015,0.84375,-37.3125,-49.856251
1782299596744,0.244068,1.765903,10.000705,-0.029903,0.159214,0.142345,0.84375,-37.3125,-49.856251
1782299596749,0.244068,1.765903,10.000705,-0.029903,0.159214,0.142345,0.3375,-37.3125,-48.037502
1782299596752,0.244068,1.765903,10.000705,-0.055559,0.219689,0.149676,0.3375,-37.3125,-48.037502
1782299596753,0.334995,1.823331,9.878671,-0.055559,0.219689,0.149676,0.3375,-37.3125,-48.037502
1782299596758,0.334995,1.823331,9.878671,-0.055559,0.219689,0.149676,1.96875,-39.09375,-49.875004
1782299596761,0.418744,1.828117,9.826029,-0.100152,0.2484,0.157617,1.96875,-39.09375,-49.875004
1782299596769,0.418744,1.828117,9.826029,-0.100152,0.2484,0.157617,1.85625,-37.050003,-48.337502
1782299596770,0.42353,1.804188,9.890635,-0.148411,0.250232,0.163726,1.85625,-37.050003,-48.337502
1782299596784,0.334995,1.713261,10.094025,-0.185063,0.228241,0.163726,1.125,-37.03125,-49.106251
1782299596787,0.334995,1.713261,10.094025,-0.203388,0.176929,0.152119,1.125,-37.03125,-49.106251
1782299596788,0.239282,1.631905,10.19931,-0.203388,0.176929,0.152119,1.78125,-38.662502,-49.256252
1782299596795,0.239282,1.631905,10.19931,-0.203388,0.105457,0.131961,1.78125,-38.662502,-49.256252
1782299596797,0.141177,1.581656,10.242381,-0.203388,0.105457,0.131961,1.78125,-38.662502,-49.256252
1782299596798,0.141177,1.581656,10.242381,-0.203388,0.105457,0.131961,1.40625,-37.03125,-48.787502
1782299596805,0.12682,1.598405,10.249559,-0.18323,0.027267,0.10997,1.40625,-37.03125,-48.787502
1782299596810,0.12682,1.598405,10.249559,-0.18323,0.027267,0.10997,1.9125,-38.362503,-49.106251
1782299596814,0.131605,1.660619,10.170596,-0.145356,-0.030155,0.091644,1.9125,-38.362503,-49.106251
1782299596818,0.131605,1.660619,10.170596,-0.145356,-0.030155,0.091644,1.7625,-38.212502,-48.956253
