ts,x,y,heading
1782299596505,0.000000,61.256000,south
1782299596605,0.000000,61.144000,south
1782299596705,0.000000,61.032000,south
1782299596805,0.000000,60.920000,south
1782299596905,0.000000,60.809000,south
1782299597005,0.000000,60.697000,south
1782299597105,0.000000,60.585000,south
1782299597205,0.000000,60.473000,south
1782299597305,0.000000,60.362000,south
1782299597405,0.000000,60.250000,south
1782299597505,0.000000,60.138000,south
1782299597605,0.000000,60.026000,south
1782299597705,0.000000,59.915000,south
1782299597805,0.000000,59.803000,south
1782299597905,0.000000,59.691000,south
1782299598005,0.000000,59.579000,south
1782299598105,0.000000,59.468000,south
1782299598205,0.000000,59.356000,south
1782299598305,0.000000,59.244000,south
1782299598405,0.000000,59.132000,south
1782299598505,0.000000,59.021000,south
1782299598605,0.000000,58.909000,south
1782299598705,0.000000,58.797000,south
1782299598805,0.000000,58.685000,south
1782299598905,0.000000,58.573000,south
1782299599005,0.000000,58.462000,south
1782299599105,0.000000,58.350000,south
1782299599205,0.000000,58.238000,south
1782299599305,0.000000,58.126000,south
1782299599405,0.000000,58.015000,south
1782299599505,0.000000,57.903000,south
1782299599605,0.000000,57.791000,south
1782299599705,0.000000,57.679000,south
1782299599805,0.000000,57.568000,south
1782299599905,0.000000,57.456000,south
1782299600005,0.000000,57.344000,south
1782299600105,0.000000,57.232000,south
1782299600205,0.000000,57.121000,south
1782299600305,0.000000,57.009000,south
1782299600405,0.000000,56.897000,south
1782299600505,0.000000,56.785000,south
1782299600605,0.000000,56.674000,south
1782299600705,0.000000,56.562000,south
1782299600805,0.000000,56.450000,south
1782299600905,0.000000,56.338000,south
1782299601005,0.000000,56.227000,south
1782299601105,0.000000,56.115000,south
1782299601205,0.000000,56.003000,south
1782299601305,0.000000,55.891000,south
1782299601405,0.000000,55.780000,south
1782299601505,0.000000,55.668000,south
1782299601605,0.000000,55.556000,south
1782299601705,0.000000,55.444000,south
1782299601805,0.000000,55.333000,south
1782299601905,0.000000,55.221000,south
1782299602005,0.000000,55.109000,south
1782299602105,0.000000,54.997000,south
1782299602205,0.000000,54.886000,south
1782299602305,0.000000,54.774000,south
1782299602405,0.000000,54.662000,south
1782299602505,0.000000,54.550000,south
1782299602605,0.000000,54.439000,south
1782299602705,0.000000,54.327000,south
1782299602805,0.000000,54.215000,south
1782299602905,0.000000,54.103000,south
1782299603005,0.000000,53.991000,south
1782299603105,0.000000,53.880000,south
1782299603205,0.000000,53.768000,south
1782299603305,0.000000,53.656000,south
1782299603405,0.000000,53.544000,south
1782299603505,0.000000,53.433000,south
1782299603605,0.000000,53.321000,south
1782299603705,0.000000,53.209000,south
1782299603805,0.000000,53.097000,south
1782299603905,0.000000,52.986000,south
1782299604005,0.000000,52.874000,south
1782299604105,0.000000,52.762000,south
1782299604205,0.000000,52.650000,south
1782299604305,0.000000,52.539000,south
1782299604405,0.000000,52.427000,south
1782299604505,0.000000,52.315000,south
1782299604605,0.000000,52.203000,south
1782299604705,0.000000,52.092000,south
1782299604805,0.000000,51.980000,south
1782299604905,0.000000,51.868000,south
1782299605005,0.000000,51.756000,south
1782299605105,0.000000,51.645000,south
1782299605205,0.000000,51.533000,south
1782299605305,0.000000,51.421000,south
1782299605405,0.000000,51.309000,south
1782299605505,0.000000,51.198000,south
1782299605605,0.000000,51.086000,south
1782299605705,0.000000,50.974000,south
1782299605805,0.000000,50.862000,south
1782299605905,0.000000,50.751000,south
1782299606005,0.000000,50.639000,south
1782299606105,0.000000,50.527000,south
1782299606205,0.000000,50.415000,south
1782299606305,0.000000,50.304000,south
1782299606405,0.000000,50.192000,south
