ts,sensor,x,y,z
1782299685791,gyro,0.061421,-0.047717,-0.017243
1782299685793,accel,0.212961,0.923630,9.677674
1782299685826,gyro,0.062643,-0.045273,-0.013578
1782299685826,accel,0.303888,0.952343,9.534105
1782299685826,mag,-21.168751,-8.512501,-44.081253
1782299685826,gyro,0.038209,-0.023282,-0.005026
1782299685826,accel,0.421137,0.981057,9.502998
1782299685826,mag,-19.950001,-7.650000,-45.300003
1782299685826,gyro,0.003389,0.025587,0.004137
1782299685826,accel,0.524028,1.002593,9.498212
1782299685826,mag,-20.812500,-8.512501,-45.900002
1782299685826,gyro,-0.028987,0.076900,0.009635
1782299685826,accel,0.591027,0.969093,9.546069
1782299685830,mag,-20.587502,-7.500000,-44.831253
1782299685833,accel,0.497707,1.064806,9.596319
1782299685833,gyro,-0.052199,0.112330,0.015744
1782299685839,mag,-21.206251,-8.531250,-43.331253
1782299685842,accel,0.457029,1.091127,9.641782
1782299685842,gyro,-0.068693,0.136153,0.023685
1782299685848,mag,-19.106251,-7.968750,-43.012501
1782299685851,gyro,-0.080299,0.125769,0.024907
1782299685851,accel,0.385244,1.088734,9.694424
1782299685866,gyro,-0.087630,0.102556,0.027350
1782299685866,mag,-19.650002,-8.831250,-44.550003
1782299685866,accel,0.363709,1.069592,9.761423
1782299685869,gyro,-0.093127,0.062239,0.029183
1782299685869,accel,0.291924,1.076770,9.778173
1782299685869,mag,-20.681252,-8.062500,-45.750000
1782299685877,gyro,-0.083354,0.029863,0.041400
1782299685877,accel,0.241675,1.205983,9.816458
1782299685878,mag,-20.587502,-7.931250,-44.381252
1782299685887,gyro,-0.054643,0.023754,0.058504
1782299685887,accel,0.246461,1.196411,9.878671
1782299685890,mag,-19.800001,-8.231251,-45.150002
1782299685893,gyro,-0.016158,0.034750,0.074998
1782299685893,accel,0.208176,1.167697,9.869100
1782299685899,mag,-20.118752,-7.931250,-44.831253
1782299685902,gyro,0.011331,0.057352,0.090880
1782299685902,accel,0.181855,1.194018,9.732709
1782299685908,mag,-22.706251,-7.912500,-44.381252
1782299685910,gyro,0.021104,0.072013,0.106152
1782299685910,accel,0.155533,1.227518,9.598712
1782299685919,gyro,0.011331,0.062239,0.118369
1782299685919,accel,0.098106,1.275374,9.550854
1782299685919,mag,-20.250000,-8.081250,-45.000000
1782299685929,gyro,-0.008828,0.046356,0.130586
1782299685929,mag,-20.718750,-8.381250,-44.231251
1782299685930,accel,0.107677,1.318445,9.543676
1782299685937,gyro,-0.038150,0.029863,0.140971
1782299685937,accel,0.093320,1.323231,9.517355
1782299685938,mag,-20.287500,-8.831250,-43.181252
1782299685945,gyro,-0.074801,0.006650,0.150134
1782299685945,accel,0.086142,1.277767,9.517355
1782299685949,mag,-20.550001,-8.231251,-44.850002
1782299685954,gyro,-0.113286,-0.017784,0.159908
1782299685954,accel,0.069392,1.203590,9.603497
1782299685972,mag,-18.731251,-7.237500,-41.493752
1782299685972,gyro,-0.138942,-0.038554,0.167849
1782299685972,accel,0.057428,1.146162,9.770995
1782299685972,mag,-18.731251,-7.237500,-41.493752
1782299685972,gyro,-0.135277,-0.045884,0.175790
1782299685972,accel,0.047856,1.067199,9.962420
1782299685979,gyro,-0.101679,-0.039776,0.178234
1782299685979,accel,0.045464,1.009771,10.046169
1782299685980,mag,-19.856251,-8.550000,-43.031250
1782299685989,gyro,-0.057086,-0.029391,0.175179
1782299685989,accel,0.050249,0.959522,10.005491
1782299685989,mag,-20.587502,-7.500000,-44.831253
1782299685997,gyro,-0.017380,-0.026337,0.167849
1782299685997,accel,0.066999,0.918844,9.919349
1782299685998,mag,-20.306252,-6.900000,-44.531250
1782299686006,gyro,0.006444,-0.036721,0.158686
1782299686006,accel,0.064606,0.885344,9.883457
1782299686012,mag,-21.056252,-7.631250,-44.231251
1782299686014,gyro,0.018661,-0.054436,0.144636
1782299686015,accel,0.052642,0.873380,9.936100
1782299686019,mag,-19.893751,-6.768750,-43.612503
1782299686023,gyro,0.023548,-0.070930,0.133641
1782299686023,accel,0.050249,0.851845,9.969598
1782299686030,mag,-20.925001,-8.531250,-42.562500
1782299686031,gyro,0.029656,-0.094753,0.123867
1782299686032,accel,0.016750,0.839881,9.950456
1782299686039,gyro,0.043706,-0.126518,0.120202
1782299686040,accel,0.009571,0.868595,9.900207
1782299686040,mag,-20.925001,-6.750000,-44.062500
1782299686049,gyro,0.071195,-0.152175,0.123256
1782299686049,mag,-20.756250,-7.350000,-44.231251
1782299686049,accel,0.035892,0.926022,9.866707
1782299686056,gyro,0.113345,-0.154618,0.128143
1782299686057,accel,0.122034,1.069592,9.830815
1782299686059,mag,-20.625000,-7.500000,-43.312500
1782299686065,gyro,0.163436,-0.128351,0.133030
1782299686065,accel,0.131605,1.251446,9.713566
1782299686069,mag,-19.987501,-8.100000,-43.931252
1782299686073,gyro,0.206807,-0.077038,0.138527
1782299686074,accel,0.083749,1.416551,9.445570
1782299686079,mag,-20.868752,-7.481250,-45.131252
1782299686082,gyro,0.227577,-0.016563,0.144025
1782299686082,accel,-0.009571,1.545763,9.191931
1782299686088,mag,-19.706251,-7.368750,-44.231251
1782299686091,gyro,0.215970,0.038415,0.148301
1782299686091,accel,-0.093320,1.648655,9.036397
1782299686100,gyro,0.176264,0.070791,0.150745
1782299686103,accel,-0.186640,1.694118,9.036397
1782299686103,mag,-21.018751,-8.812500,-44.250000
1782299686113,gyro,0.116399,0.075678,0.152577
1782299686113,mag,-21.412500,-10.575001,-44.250000
1782299686113,accel,-0.301496,1.674976,9.170396
1782299686117,accel,-0.380459,1.622334,9.404892
1782299686117,gyro,0.047372,0.053687,0.153188
1782299686121,mag,-20.925001,-8.531250,-42.562500
1782299686126,gyro,-0.016769,0.023143,0.155632
1782299686126,accel,-0.457029,1.521835,9.682460
1782299686130,mag,-22.406250,-8.512501,-43.631252
1782299686135,accel,-0.471386,1.414158,9.931313
1782299686135,gyro,-0.069915,-0.011676,0.158686
1782299686139,mag,-19.668751,-8.100000,-44.531250
1782299686144,gyro,-0.109621,-0.037332,0.167238
1782299686144,accel,-0.435494,1.342373,10.062919
1782299686149,mag,-20.081251,-6.637500,-42.693752
1782299686153,gyro,-0.138942,-0.051993,0.176401
1782299686153,accel,-0.387637,1.275374,10.153846
1782299686162,gyro,-0.154214,-0.059323,0.188618
1782299686162,accel,-0.332602,1.251446,10.182560
1782299686163,mag,-20.887501,-8.231251,-44.081253
1782299686181,gyro,-0.159712,-0.056880,0.200836
1782299686181,mag,-22.556252,-7.612500,-44.231251
1782299686181,accel,-0.291924,1.227518,10.146668
1782299686181,gyro,-0.157268,-0.044052,0.209999
1782299686182,mag,-20.043751,-6.918750,-43.462502
1782299686182,accel,-0.236889,1.210768,10.022241
1782299686186,gyro,-0.155436,-0.037332,0.214275
1782299686186,accel,-0.234497,1.186840,9.895422
1782299686188,mag,-22.387501,-8.212501,-44.081253
1782299686194,accel,-0.203390,1.198804,9.778173
1782299686194,gyro,-0.163988,-0.039165,0.217329
1782299686199,mag,-21.956251,-6.731250,-45.131252
1782299686202,gyro,-0.179870,-0.057491,0.214886
1782299686203,accel,-0.143569,1.239482,9.768602
1782299686209,mag,-21.187500,-6.750000,-45.581253
1782299686211,gyro,-0.185979,-0.099030,0.202668
1782299686211,accel,-0.133998,1.330409,9.849958
1782299686220,mag,-22.593750,-6.581250,-43.912502
1782299686220,gyro,-0.170707,-0.149731,0.183121
1782299686220,accel,-0.150748,1.478764,9.904993
1782299686230,gyro,-0.134055,-0.196157,0.159297
1782299686230,mag,-21.806252,-8.081250,-43.931252
1782299686230,accel,-0.138784,1.598405,9.830815
1782299686237,gyro,-0.088240,-0.224257,0.134251
1782299686237,accel,-0.069392,1.701297,9.608283
1782299686241,mag,-21.581251,-6.618750,-42.693752
1782299686245,gyro,-0.047313,-0.234031,0.107984
1782299686245,accel,0.035892,1.799403,9.318751
1782299686248,mag,-21.656250,-8.531250,-43.031250
1782299686254,gyro,-0.014937,-0.236474,0.081717
1782299686254,accel,0.090927,1.902294,9.029219
1782299686260,mag,-22.781250,-5.700000,-44.062500
1782299686262,gyro,0.005222,-0.221813,0.058504
1782299686263,accel,0.114855,2.000400,8.804294
1782299686276,mag,-23.156250,-7.162500,-44.831253
1782299686276,gyro,0.011331,-0.182107,0.042622
1782299686276,accel,0.141177,2.060220,8.639189
1782299686280,mag,-22.462502,-7.481250,-42.562500
1782299686280,gyro,0.009498,-0.118577,0.029794
1782299686280,accel,0.217747,2.108077,8.588940
1782299686290,gyro,0.001557,-0.042219,0.019409
1782299686290,mag,-22.012501,-7.200000,-43.012501
1782299686290,accel,0.265603,2.148755,8.703796
1782299686297,gyro,0.001557,0.035361,0.012689
1782299686297,accel,0.282353,2.148755,8.919150
1782299686298,mag,-22.518751,-5.718750,-42.543751
1782299686306,gyro,0.010720,0.104388,0.010246
1782299686306,accel,0.294317,2.103291,9.158432
1782299686317,mag,-22.612501,-7.631250,-42.412502
1782299686317,gyro,0.025991,0.158145,0.009024
1782299686317,accel,0.253639,2.036292,9.390536
1782299686319,mag,-22.275002,-7.331250,-44.231251
1782299686322,gyro,0.052869,0.187466,0.012078
1782299686322,accel,0.236889,1.976472,9.632210
1782299686328,mag,-22.575001,-6.881250,-44.231251
1782299686331,accel,0.172283,1.897508,9.854744
1782299686331,gyro,0.083413,0.203959,0.018187
1782299686339,mag,-22.725000,-5.981250,-45.581253
1782299686339,gyro,0.113345,0.205181,0.026739
1782299686340,accel,0.112463,1.840081,10.000705
1782299686350,gyro,0.137780,0.197851,0.034680
1782299686351,mag,-22.668751,-6.300000,-42.393753
1782299686351,accel,0.078963,1.761117,10.046169
1782299686357,gyro,0.149997,0.177081,0.043233
1782299686357,accel,0.045464,1.756332,10.036598
1782299686359,mag,-22.518751,-6.468750,-41.793751
1782299686365,gyro,0.151219,0.140429,0.050563
1782299686366,accel,-0.014357,1.744368,9.988741
1782299686380,mag,-22.575001,-6.881250,-44.531250
1782299686380,gyro,0.139612,0.104388,0.054839
1782299686380,accel,-0.009571,1.715654,9.900207
1782299686380,mag,-21.806252,-6.581250,-44.981251
1782299686383,gyro,0.120675,0.070791,0.056061
1782299686383,accel,-0.043071,1.696511,9.842779
1782299686389,mag,-22.443750,-6.000000,-44.812500
1782299686391,gyro,0.097462,0.040859,0.054228
1782299686391,accel,-0.035892,1.691726,9.809280
1782299686399,mag,-22.537500,-6.018750,-41.793751
1782299686400,accel,-0.047856,1.696511,9.732709
1782299686400,gyro,0.079136,0.012148,0.048119
1782299686410,gyro,0.077304,-0.009232,0.036513
1782299686410,accel,-0.078963,1.710868,9.720745
1782299686410,mag,-22.462502,-6.450000,-43.612503
1782299686417,gyro,0.095019,-0.025726,0.019409
1782299686417,accel,-0.119641,1.761117,9.727924
1782299686418,mag,-21.825001,-8.081250,-43.162502
1782299686425,gyro,0.126173,-0.021450,-0.001361
1782299686425,accel,-0.133998,1.844866,9.620246
1782299686428,mag,-22.406250,-7.181250,-44.831253
1782299686435,gyro,0.159160,-0.009232,-0.025795
1782299686435,accel,-0.153141,1.919044,9.416856
1782299686440,mag,-22.443750,-7.481250,-43.312500
1782299686443,accel,-0.145962,1.966900,9.211073
1782299686443,gyro,0.179318,0.004207,-0.050230
1782299686449,mag,-22.443750,-7.481250,-43.312500
1782299686451,gyro,0.179318,0.019478,-0.074053
1782299686452,accel,-0.126820,2.017149,9.053148
1782299686460,mag,-22.743752,-7.912500,-43.012501
1782299686461,gyro,0.160992,0.029863,-0.096045
1782299686461,accel,-0.098106,2.021935,9.036397
1782299686470,accel,-0.064606,1.981257,9.129718
1782299686470,gyro,0.128617,0.037193,-0.116814
1782299686470,mag,-23.156250,-7.912500,-44.081253
1782299686486,accel,-0.064606,1.938186,9.337893
1782299686486,gyro,0.093186,0.044524,-0.135751
1782299686486,mag,-23.156250,-7.912500,-44.081253
1782299686486,accel,-0.083749,1.861616,9.634603
1782299686486,gyro,0.072417,0.046356,-0.151022
1782299686488,mag,-22.856251,-8.362500,-43.931252
1782299686494,gyro,0.079136,0.064071,-0.159575
1782299686494,accel,-0.069392,1.785046,9.979170
1782299686499,mag,-21.862501,-7.350000,-42.712502
1782299686503,gyro,0.117010,0.101945,-0.160796
1782299686503,accel,-0.014357,1.713261,10.295023
1782299686509,mag,-21.168751,-7.931250,-44.831253
1782299686512,gyro,0.181762,0.138597,-0.160796
1782299686513,accel,0.035892,1.641476,10.450556
1782299686519,mag,-21.993752,-8.231251,-42.562500
1782299686520,gyro,0.258120,0.170362,-0.163240
1782299686520,accel,0.059821,1.581656,10.548662
1782299686529,gyro,0.322261,0.197851,-0.163851
1782299686530,mag,-21.543751,-8.081250,-42.712502
1782299686530,accel,0.086142,1.596013,10.543876
1782299686538,gyro,0.360745,0.213122,-0.162018
1782299686538,accel,0.129212,1.653440,10.539091
1782299686539,mag,-23.981251,-7.462500,-42.562500
1782299686546,gyro,0.371741,0.208235,-0.157131
1782299686546,accel,0.172283,1.713261,10.541483
