ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782299685826,0.591027,0.969093,9.546069,-0.028987,0.0769,0.009635,-20.8125,-8.512501,-45.900002
1782299685830,0.591027,0.969093,9.546069,-0.028987,0.0769,0.009635,-20.587502,-7.5,-44.831253
1782299685833,0.497707,1.064806,9.596319,-0.052199,0.11233,0.015744,-20.587502,-7.5,-44.831253
1782299685839,0.497707,1.064806,9.596319,-0.052199,0.11233,0.015744,-21.206251,-8.53125,-43.331253
1782299685842,0.457029,1.091127,9.641782,-0.068693,0.136153,0.023685,-21.206251,-8.53125,-43.331253
1782299685848,0.457029,1.091127,9.641782,-0.068693,0.136153,0.023685,-19.106251,-7.96875,-43.012501
1782299685851,0.385244,1.088734,9.694424,-0.080299,0.125769,0.024907,-19.106251,-7.96875,-43.012501
1782299685866,0.363709,1.069592,9.761423,-0.08763,0.102556,0.02735,-19.650002,-8.83125,-44.550003
1782299685869,0.291924,1.07677,9.778173,-0.093127,0.062239,0.029183,-20.681252,-8.0625,-45.75
1782299685877,0.241675,1.205983,9.816458,-0.083354,0.029863,0.0414,-20.681252,-8.0625,-45.75
1782299685878,0.241675,1.205983,9.816458,-0.083354,0.029863,0.0414,-20.587502,-7.93125,-44.381252
1782299685887,0.246461,1.196411,9.878671,-0.054643,0.023754,0.058504,-20.587502,-7.93125,-44.381252
1782299685890,0.246461,1.196411,9.878671,-0.054643,0.023754,0.058504,-19.800001,-8.231251,-45.150002
1782299685893,0.208176,1.167697,9.8691,-0.016158,0.03475,0.074998,-19.800001,-8.231251,-45.150002
1782299685899,0.208176,1.167697,9.8691,-0.016158,0.03475,0.074998,-20.118752,-7.93125,-44.831253
1782299685902,0.181855,1.194018,9.732709,0.011331,0.057352,0.09088,-20.118752,-7.93125,-44.831253
1782299685908,0.181855,1.194018,9.732709,0.011331,0.057352,0.09088,-22.706251,-7.9125,-44.381252
1782299685910,0.155533,1.227518,9.598712,0.021104,0.072013,0.106152,-22.706251,-7.9125,-44.381252
1782299685919,0.098106,1.275374,9.550854,0.011331,0.062239,0.118369,-20.25,-8.08125,-45.0
1782299685929,0.098106,1.275374,9.550854,-0.008828,0.046356,0.130586,-20.71875,-8.38125,-44.231251
1782299685930,0.107677,1.318445,9.543676,-0.008828,0.046356,0.130586,-20.71875,-8.38125,-44.231251
1782299685937,0.09332,1.323231,9.517355,-0.03815,0.029863,0.140971,-20.71875,-8.38125,-44.231251
1782299685938,0.09332,1.323231,9.517355,-0.03815,0.029863,0.140971,-20.2875,-8.83125,-43.181252
1782299685945,0.086142,1.277767,9.517355,-0.074801,0.00665,0.150134,-20.2875,-8.83125,-43.181252
1782299685949,0.086142,1.277767,9.517355,-0.074801,0.00665,0.150134,-20.550001,-8.231251,-44.850002
1782299685954,0.069392,1.20359,9.603497,-0.113286,-0.017784,0.159908,-20.550001,-8.231251,-44.850002
1782299685972,0.047856,1.067199,9.96242,-0.135277,-0.045884,0.17579,-18.731251,-7.2375,-41.493752
1782299685979,0.045464,1.009771,10.046169,-0.101679,-0.039776,0.178234,-18.731251,-7.2375,-41.493752
1782299685980,0.045464,1.009771,10.046169,-0.101679,-0.039776,0.178234,-19.856251,-8.55,-43.03125
1782299685989,0.050249,0.959522,10.005491,-0.057086,-0.029391,0.175179,-20.587502,-7.5,-44.831253
1782299685997,0.066999,0.918844,9.919349,-0.01738,-0.026337,0.167849,-20.587502,-7.5,-44.831253
1782299685998,0.066999,0.918844,9.919349,-0.01738,-0.026337,0.167849,-20.306252,-6.9,-44.53125
1782299686006,0.064606,0.885344,9.883457,0.006444,-0.036721,0.158686,-20.306252,-6.9,-44.53125
1782299686012,0.064606,0.885344,9.883457,0.006444,-0.036721,0.158686,-21.056252,-7.63125,-44.231251
1782299686014,0.064606,0.885344,9.883457,0.018661,-0.054436,0.144636,-21.056252,-7.63125,-44.231251
1782299686015,0.052642,0.87338,9.9361,0.018661,-0.054436,0.144636,-21.056252,-7.63125,-44.231251
1782299686019,0.052642,0.87338,9.9361,0.018661,-0.054436,0.144636,-19.893751,-6.76875,-43.612503
1782299686023,0.050249,0.851845,9.969598,0.023548,-0.07093,0.133641,-19.893751,-6.76875,-43.612503
1782299686030,0.050249,0.851845,9.969598,0.023548,-0.07093,0.133641,-20.925001,-8.53125,-42.5625
1782299686031,0.050249,0.851845,9.969598,0.029656,-0.094753,0.123867,-20.925001,-8.53125,-42.5625
1782299686032,0.01675,0.839881,9.950456,0.029656,-0.094753,0.123867,-20.925001,-8.53125,-42.5625
1782299686039,0.01675,0.839881,9.950456,0.043706,-0.126518,0.120202,-20.925001,-8.53125,-42.5625
1782299686040,0.009571,0.868595,9.900207,0.043706,-0.126518,0.120202,-20.925001,-6.75,-44.0625
1782299686049,0.035892,0.926022,9.866707,0.071195,-0.152175,0.123256,-20.75625,-7.35,-44.231251
1782299686056,0.035892,0.926022,9.866707,0.113345,-0.154618,0.128143,-20.75625,-7.35,-44.231251
1782299686057,0.122034,1.069592,9.830815,0.113345,-0.154618,0.128143,-20.75625,-7.35,-44.231251
1782299686059,0.122034,1.069592,9.830815,0.113345,-0.154618,0.128143,-20.625,-7.5,-43.3125
1782299686065,0.131605,1.251446,9.713566,0.163436,-0.128351,0.13303,-20.625,-7.5,-43.3125
1782299686069,0.131605,1.251446,9.713566,0.163436,-0.128351,0.13303,-19.987501,-8.1,-43.931252
1782299686073,0.131605,1.251446,9.713566,0.206807,-0.077038,0.138527,-19.987501,-8.1,-43.931252
1782299686074,0.083749,1.416551,9.44557,0.206807,-0.077038,0.138527,-19.987501,-8.1,-43.931252
1782299686079,0.083749,1.416551,9.44557,0.206807,-0.077038,0.138527,-20.868752,-7.48125,-45.131252
1782299686082,-0.009571,1.545763,9.191931,0.227577,-0.016563,0.144025,-20.868752,-7.48125,-45.131252
1782299686088,-0.009571,1.545763,9.191931,0.227577,-0.016563,0.144025,-19.706251,-7.36875,-44.231251
1782299686091,-0.09332,1.648655,9.036397,0.21597,0.038415,0.148301,-19.706251,-7.36875,-44.231251
1782299686100,-0.09332,1.648655,9.036397,0.176264,0.070791,0.150745,-19.706251,-7.36875,-44.231251
1782299686103,-0.18664,1.694118,9.036397,0.176264,0.070791,0.150745,-21.018751,-8.8125,-44.25
1782299686113,-0.301496,1.674976,9.170396,0.116399,0.075678,0.152577,-21.4125,-10.575001,-44.25
1782299686117,-0.380459,1.622334,9.404892,0.047372,0.053687,0.153188,-21.4125,-10.575001,-44.25
1782299686121,-0.380459,1.622334,9.404892,0.047372,0.053687,0.153188,-20.925001,-8.53125,-42.5625
1782299686126,-0.457029,1.521835,9.68246,-0.016769,0.023143,0.155632,-20.925001,-8.53125,-42.5625
1782299686130,-0.457029,1.521835,9.68246,-0.016769,0.023143,0.155632,-22.40625,-8.512501,-43.631252
1782299686135,-0.471386,1.414158,9.931313,-0.069915,-0.011676,0.158686,-22.40625,-8.512501,-43.631252
1782299686139,-0.471386,1.414158,9.931313,-0.069915,-0.011676,0.158686,-19.668751,-8.1,-44.53125
1782299686144,-0.435494,1.342373,10.062919,-0.109621,-0.037332,0.167238,-19.668751,-8.1,-44.53125
1782299686149,-0.435494,1.342373,10.062919,-0.109621,-0.037332,0.167238,-20.081251,-6.6375,-42.693752
1782299686153,-0.387637,1.275374,10.153846,-0.138942,-0.051993,0.176401,-20.081251,-6.6375,-42.693752
1782299686162,-0.332602,1.251446,10.18256,-0.154214,-0.059323,0.188618,-20.081251,-6.6375,-42.693752
1782299686163,-0.332602,1.251446,10.18256,-0.154214,-0.059323,0.188618,-20.887501,-8.231251,-44.081253
1782299686181,-0.291924,1.227518,10.146668,-0.157268,-0.044052,0.209999,-22.556252,-7.6125,-44.231251
1782299686182,-0.236889,1.210768,10.022241,-0.157268,-0.044052,0.209999,-20.043751,-6.91875,-43.462502
1782299686186,-0.234497,1.18684,9.895422,-0.155436,-0.037332,0.214275,-20.043751,-6.91875,-43.462502
1782299686188,-0.234497,1.18684,9.895422,-0.155436,-0.037332,0.214275,-22.387501,-8.212501,-44.081253
1782299686194,-0.20339,1.198804,9.778173,-0.163988,-0.039165,0.217329,-22.387501,-8.212501,-44.081253
1782299686199,-0.20339,1.198804,9.778173,-0.163988,-0.039165,0.217329,-21.956251,-6.73125,-45.131252
1782299686202,-0.20339,1.198804,9.778173,-0.17987,-0.057491,0.214886,-21.956251,-6.73125,-45.131252
