ts,x,y,heading
1782299685890,-21.616000,46.476000,east
1782299685990,-21.509000,46.476000,east
1782299686090,-21.402000,46.476000,east
1782299686190,-21.295000,46.476000,east
1782299686290,-21.188000,46.476000,east
1782299686390,-21.081000,46.476000,east
1782299686490,-20.974000,46.476000,east
1782299686590,-20.867000,46.476000,east
1782299686690,-20.760000,46.476000,east
1782299686790,-20.653000,46.476000,east
1782299686890,-20.546000,46.476000,east
1782299686990,-20.439000,46.476000,east
1782299687090,-20.332000,46.476000,east
1782299687190,-20.225000,46.476000,east
1782299687290,-20.118000,46.476000,east
1782299687390,-20.011000,46.476000,east
1782299687490,-19.904000,46.476000,east
1782299687590,-19.797000,46.476000,east
1782299687690,-19.690000,46.476000,east
1782299687790,-19.582000,46.476000,east
1782299687890,-19.475000,46.476000,east
1782299687990,-19.368000,46.476000,east
1782299688090,-19.261000,46.476000,east
1782299688190,-19.154000,46.476000,east
1782299688290,-19.047000,46.476000,east
1782299688390,-18.940000,46.476000,east
1782299688490,-18.833000,46.476000,east
1782299688590,-18.726000,46.476000,east
1782299688690,-18.619000,46.476000,east
1782299688790,-18.512000,46.476000,east
1782299688890,-18.405000,46.476000,east
1782299688990,-18.298000,46.476000,east
1782299689090,-18.191000,46.476000,east
1782299689190,-18.084000,46.476000,east
1782299689290,-17.977000,46.476000,east
1782299689390,-17.870000,46.476000,east
1782299689490,-17.763000,46.476000,east
1782299689590,-17.656000,46.476000,east
1782299689690,-17.549000,46.476000,east
1782299689790,-17.442000,46.476000,east
1782299689890,-17.335000,46.476000,east
1782299689990,-17.228000,46.476000,east
1782299690090,-17.121000,46.476000,east
1782299690190,-17.014000,46.476000,east
1782299690290,-16.907000,46.476000,east
1782299690390,-16.800000,46.476000,east
1782299690490,-16.693000,46.476000,east
1782299690590,-16.586000,46.476000,east
1782299690690,-16.479000,46.476000,east
1782299690790,-16.372000,46.476000,east
1782299690890,-16.265000,46.476000,east
1782299690990,-16.158000,46.476000,east
1782299691090,-16.051000,46.476000,east
1782299691190,-15.944000,46.476000,east
1782299691290,-15.837000,46.476000,east
1782299691390,-15.730000,46.476000,east
1782299691490,-15.623000,46.476000,east
1782299691590,-15.516000,46.476000,east
1782299691690,-15.408000,46.476000,east
1782299691790,-15.301000,46.476000,east
1782299691890,-15.194000,46.476000,east
1782299691990,-15.087000,46.476000,east
1782299692090,-14.980000,46.476000,east
1782299692190,-14.873000,46.476000,east
1782299692290,-14.766000,46.476000,east
1782299692390,-14.659000,46.476000,east
1782299692490,-14.552000,46.476000,east
1782299692590,-14.445000,46.476000,east
1782299692690,-14.338000,46.476000,east
1782299692790,-14.231000,46.476000,east
1782299692890,-14.124000,46.476000,east
1782299692990,-14.017000,46.476000,east
1782299693090,-13.910000,46.476000,east
1782299693190,-13.803000,46.476000,east
1782299693290,-13.696000,46.476000,east
1782299693390,-13.589000,46.476000,east
1782299693490,-13.482000,46.476000,east
1782299693590,-13.375000,46.476000,east
1782299693690,-13.268000,46.476000,east
1782299693790,-13.161000,46.476000,east
1782299693890,-13.054000,46.476000,east
1782299693990,-12.947000,46.476000,east
1782299694090,-12.840000,46.476000,east
1782299694190,-12.733000,46.476000,east
1782299694290,-12.626000,46.476000,east
