ts,sensor,x,y,z
1782299775697,gyro,-0.003636,0.002832,0.061100
1782299775697,accel,0.468993,1.067199,8.969399
1782299775715,mag,21.018751,-2.850000,-55.181252
1782299775716,gyro,-0.042120,-0.088798,0.064155
1782299775716,accel,0.490529,1.129412,9.072290
1782299775716,mag,21.018751,-2.850000,-55.181252
1782299775716,gyro,-0.084270,-0.155382,0.069652
1782299775716,accel,0.557528,1.141376,9.467106
1782299775718,mag,20.100000,-2.981250,-54.562504
1782299775722,gyro,-0.101985,-0.160269,0.072096
1782299775722,accel,0.614955,1.174876,9.526927
1782299775729,gyro,-0.108704,-0.147441,0.070263
1782299775729,accel,0.593420,1.172483,9.361822
1782299775729,mag,20.718750,-2.831250,-55.481251
1782299775739,gyro,-0.111759,-0.149884,0.069042
1782299775739,accel,0.543171,1.194018,9.392929
1782299775739,mag,20.831251,-2.700000,-54.262501
1782299775746,gyro,-0.097709,-0.140110,0.069652
1782299775746,accel,0.519243,1.222732,9.491034
1782299775749,mag,19.762501,-1.500000,-55.012501
1782299775755,gyro,-0.079994,-0.103458,0.070874
1782299775755,accel,0.579063,1.227518,9.467106
1782299775759,mag,22.068750,-2.850000,-55.181252
1782299775769,gyro,-0.079994,-0.068639,0.070263
1782299775769,accel,0.607777,1.253839,9.378571
1782299775769,mag,20.812500,-1.518750,-54.562504
1782299775776,gyro,-0.094655,-0.054589,0.072707
1782299775776,accel,0.588634,1.270589,9.366607
1782299775779,mag,21.318750,-3.581250,-54.431252
1782299775780,gyro,-0.114202,-0.053978,0.072096
1782299775780,accel,0.629312,1.244268,9.507783
1782299775789,mag,20.850000,-1.950000,-55.312504
1782299775789,gyro,-0.133139,-0.041150,0.070263
1782299775789,accel,0.626920,1.244268,9.665710
1782299775799,gyro,-0.149632,-0.027100,0.070874
1782299775799,accel,0.624527,1.201197,9.727924
1782299775799,mag,20.981251,-2.400000,-54.412502
1782299775807,gyro,-0.164293,-0.025878,0.073318
1782299775807,accel,0.610170,1.141376,9.787744
1782299775809,mag,22.893751,-1.556250,-53.943752
1782299775815,gyro,-0.175900,-0.027711,0.076983
1782299775815,accel,0.600598,1.155733,9.897814
1782299775820,mag,21.150002,-1.218750,-56.062504
1782299775823,accel,0.564706,1.112663,9.974384
1782299775823,gyro,-0.179565,-0.037485,0.086757
1782299775829,mag,21.975000,0.093750,-54.843754
1782299775832,gyro,-0.185063,-0.049091,0.097141
1782299775832,accel,0.514457,1.021735,10.000705
1782299775838,mag,20.812500,-1.218750,-55.012501
1782299775840,gyro,-0.200945,-0.065585,0.108748
