ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782299775715,0.468993,1.067199,8.969399,-0.003636,0.002832,0.0611,21.018751,-2.85,-55.181252
1782299775716,0.557528,1.141376,9.467106,-0.08427,-0.155382,0.069652,21.018751,-2.85,-55.181252
1782299775718,0.557528,1.141376,9.467106,-0.08427,-0.155382,0.069652,20.1,-2.98125,-54.562504
1782299775722,0.614955,1.174876,9.526927,-0.101985,-0.160269,0.072096,20.1,-2.98125,-54.562504
1782299775729,0.59342,1.172483,9.361822,-0.108704,-0.147441,0.070263,20.71875,-2.83125,-55.481251
1782299775739,0.543171,1.194018,9.392929,-0.111759,-0.149884,0.069042,20.831251,-2.7,-54.262501
1782299775746,0.519243,1.222732,9.491034,-0.097709,-0.14011,0.069652,20.831251,-2.7,-54.262501
1782299775749,0.519243,1.222732,9.491034,-0.097709,-0.14011,0.069652,19.762501,-1.5,-55.012501
1782299775755,0.579063,1.227518,9.467106,-0.079994,-0.103458,0.070874,19.762501,-1.5,-55.012501
1782299775759,0.579063,1.227518,9.467106,-0.079994,-0.103458,0.070874,22.06875,-2.85,-55.181252
1782299775769,0.607777,1.253839,9.378571,-0.079994,-0.068639,0.070263,20.8125,-1.51875,-54.562504
1782299775776,0.588634,1.270589,9.366607,-0.094655,-0.054589,0.072707,20.8125,-1.51875,-54.562504
1782299775779,0.588634,1.270589,9.366607,-0.094655,-0.054589,0.072707,21.31875,-3.58125,-54.431252
1782299775780,0.629312,1.244268,9.507783,-0.114202,-0.053978,0.072096,21.31875,-3.58125,-54.431252
1782299775789,0.62692,1.244268,9.66571,-0.133139,-0.04115,0.070263,20.85,-1.95,-55.312504
1782299775799,0.624527,1.201197,9.727924,-0.149632,-0.0271,0.070874,20.981251,-2.4,-54.412502
1782299775807,0.61017,1.141376,9.787744,-0.164293,-0.025878,0.073318,20.981251,-2.4,-54.412502
1782299775809,0.61017,1.141376,9.787744,-0.164293,-0.025878,0.073318,22.893751,-1.55625,-53.943752
1782299775815,0.600598,1.155733,9.897814,-0.1759,-0.027711,0.076983,22.893751,-1.55625,-53.943752
1782299775820,0.600598,1.155733,9.897814,-0.1759,-0.027711,0.076983,21.150002,-1.21875,-56.062504
1782299775823,0.564706,1.112663,9.974384,-0.179565,-0.037485,0.086757,21.150002,-1.21875,-56.062504
1782299775829,0.564706,1.112663,9.974384,-0.179565,-0.037485,0.086757,21.975,0.09375,-54.843754
1782299775832,0.514457,1.021735,10.000705,-0.185063,-0.049091,0.097141,21.975,0.09375,-54.843754
1782299775838,0.514457,1.021735,10.000705,-0.185063,-0.049091,0.097141,20.8125,-1.21875,-55.012501
1782299775840,0.459422,0.928415,10.010276,-0.200945,-0.065585,0.108748,20.8125,-1.21875,-55.012501
1782299775849,0.401994,0.803988,10.067705,-0.219882,-0.082078,0.113635,20.38125,-1.2,-55.762501
1782299775859,0.325424,0.667598,10.170596,-0.223547,-0.091241,0.114246,20.38125,-1.2,-55.762501
1782299775860,0.325424,0.667598,10.170596,-0.223547,-0.091241,0.114246,18.731251,-2.08125,-55.462502
1782299775869,0.208176,0.555135,10.278273,-0.193615,-0.087576,0.111802,20.38125,-0.76875,-56.062504
1782299775875,0.122034,0.5001,10.273488,-0.120311,-0.06925,0.108137,20.38125,-0.76875,-56.062504
1782299775880,0.122034,0.5001,10.273488,-0.120311,-0.06925,0.108137,19.856251,-0.61875,-54.393753
1782299775883,0.09332,0.567099,10.103597,-0.01402,-0.035041,0.102028,19.856251,-0.61875,-54.393753
1782299775889,0.09332,0.567099,10.103597,-0.01402,-0.035041,0.102028,21.13125,-0.46875,-56.362503
1782299775892,0.047856,0.739382,9.770995,0.105709,0.013828,0.100196,21.13125,-0.46875,-56.362503
1782299775898,0.047856,0.739382,9.770995,0.105709,0.013828,0.100196,20.15625,0.1125,-54.843754
1782299775901,0.050249,0.978664,9.333107,0.208334,0.066973,0.101417,20.15625,0.1125,-54.843754
1782299775910,0.050249,1.268196,8.926328,0.267588,0.113399,0.102639,20.362501,-1.5,-55.012501
1782299775919,0.066999,1.543371,8.62244,0.271864,0.141498,0.10997,19.987501,-1.63125,-57.431252
1782299775926,0.066999,1.543371,8.62244,0.21933,0.151272,0.119743,19.987501,-1.63125,-57.431252
1782299775927,0.078963,1.720439,8.450157,0.21933,0.151272,0.119743,19.987501,-1.63125,-57.431252
1782299775929,0.078963,1.720439,8.450157,0.21933,0.151272,0.119743,19.1625,-1.05,-55.912502
1782299775935,0.07657,1.837688,8.447763,0.121592,0.148829,0.130739,19.1625,-1.05,-55.912502
1782299775939,0.07657,1.837688,8.447763,0.121592,0.148829,0.130739,18.225,-0.45,-54.993752
1782299775943,0.105284,1.844866,8.62244,0.00064,0.136612,0.1454,18.225,-0.45,-54.993752
1782299775949,0.105284,1.844866,8.62244,0.00064,0.136612,0.1454,19.800001,-1.93125,-56.081253
1782299775952,0.11007,1.725225,8.935899,-0.128863,0.12134,0.155784,19.800001,-1.93125,-56.081253
1782299775959,0.11007,1.725225,8.935899,-0.128863,0.12134,0.155784,22.06875,-1.66875,-55.912502
1782299775960,0.11007,1.725225,8.935899,-0.254701,0.106679,0.167391,22.06875,-1.66875,-55.912502
1782299775961,0.052642,1.550549,9.330715,-0.254701,0.106679,0.167391,22.06875,-1.66875,-55.912502
1782299775970,0.047856,1.361516,9.675281,-0.373209,0.100571,0.178997,22.331251,-1.2375,-55.312504
1782299775980,0.040678,1.136591,9.998313,-0.477667,0.098127,0.191825,21.46875,0.525,-53.925003
1782299775988,0.009571,0.899701,10.354843,-0.552803,0.092629,0.204043,21.46875,0.525,-53.925003
1782299775989,0.009571,0.899701,10.354843,-0.552803,0.092629,0.204043,20.8125,-0.76875,-55.312504
1782299775997,-0.002393,0.713061,10.704196,-0.578459,0.079801,0.209541,20.8125,-0.76875,-55.312504
1782299776000,-0.002393,0.713061,10.704196,-0.578459,0.079801,0.209541,20.175001,-0.3375,-54.843754
1782299776005,-0.01675,0.602991,10.943477,-0.549138,0.07186,0.210151,20.175001,-0.3375,-54.843754
1782299776009,-0.01675,0.602991,10.943477,-0.549138,0.07186,0.210151,21.09375,-1.2375,-54.243752
1782299776013,-0.071785,0.552742,10.965013,-0.479499,0.068195,0.204043,21.09375,-1.2375,-54.243752
1782299776019,-0.071785,0.552742,10.965013,-0.479499,0.068195,0.204043,21.28125,0.1125,-56.662502
1782299776022,-0.112463,0.540778,10.871693,-0.392757,0.060253,0.19488,21.28125,0.1125,-56.662502
1782299776030,-0.100499,0.591027,10.656339,-0.302349,0.057199,0.183273,22.275002,-0.50625,-54.543751
1782299776039,-0.100499,0.591027,10.656339,-0.220493,0.051701,0.168002,21.768751,1.70625,-54.525002
1782299776040,-0.066999,0.775275,10.333308,-0.220493,0.051701,0.168002,21.768751,1.70625,-54.525002
1782299776046,-0.004786,0.961915,9.967206,-0.148411,0.030932,0.147232,21.768751,1.70625,-54.525002
1782299776048,-0.004786,0.961915,9.967206,-0.148411,0.030932,0.147232,20.081251,-0.16875,-57.112503
