ts,sensor,x,y,z
1782299864616,gyro,-0.028376,-0.000069,0.029794
1782299864616,accel,0.669990,1.050449,9.720745
1782299864620,mag,-5.212500,-17.756250,-40.012501
1782299864622,gyro,-0.036928,0.006039,0.036513
1782299864622,accel,0.667598,1.031307,9.622639
1782299864628,mag,-6.637500,-15.375001,-40.143753
1782299864630,accel,0.641276,1.009771,9.574783
1782299864630,gyro,-0.042426,0.003596,0.043233
1782299864640,accel,0.636491,0.995414,9.634603
1782299864640,gyro,-0.043036,0.007872,0.046898
1782299864640,mag,-4.481250,-16.293751,-40.762501
1782299864650,gyro,-0.038760,0.017035,0.049952
1782299864650,accel,0.643669,0.997807,9.625032
1782299864650,mag,-6.318750,-15.975000,-40.312500
1782299864658,accel,0.653241,1.036092,9.593925
1782299864658,gyro,-0.033873,0.022533,0.050563
1782299864658,mag,-6.000000,-16.275002,-40.312500
1782299864665,gyro,-0.033873,0.027419,0.049952
1782299864667,accel,0.674776,1.060020,9.577176
1782299864669,mag,-5.531250,-15.675000,-41.812500
1782299864675,accel,0.658026,1.071985,9.567605
1782299864675,gyro,-0.037539,0.023754,0.049341
1782299864679,mag,-5.400000,-15.393750,-41.212502
1782299864697,accel,0.634098,1.086342,9.538890
1782299864697,gyro,-0.044869,0.018257,0.046898
1782299864697,mag,-5.550000,-15.675000,-40.762501
1782299864697,accel,0.636491,1.086342,9.541283
1782299864697,gyro,-0.041204,0.020089,0.047509
1782299864701,mag,-5.906250,-14.062501,-41.193752
1782299864701,gyro,-0.047313,0.021922,0.046287
1782299864701,accel,0.638884,1.098306,9.567605
1782299864709,gyro,-0.049145,0.020700,0.048119
1782299864709,accel,0.634098,1.105484,9.608283
1782299864709,mag,-6.881250,-15.806251,-41.662502
1782299864717,gyro,-0.046702,0.017035,0.050563
1782299864717,accel,0.617348,1.095913,9.687246
1782299864718,mag,-5.081250,-16.575001,-40.462502
1782299864725,accel,0.614955,1.091127,9.759030
1782299864725,gyro,-0.042426,0.009704,0.053006
1782299864729,mag,-6.112500,-16.556252,-41.231251
1782299864734,gyro,-0.036928,-0.003735,0.054228
1782299864734,accel,0.607777,1.067199,9.828422
1782299864740,mag,-6.000000,-15.675000,-41.062500
1782299864743,gyro,-0.036928,-0.011065,0.056061
1782299864743,accel,0.636491,1.057628,9.826029
1782299864750,mag,-5.118750,-15.093751,-41.212502
1782299864751,gyro,-0.041204,-0.022061,0.058504
1782299864751,accel,0.638884,1.048056,9.809280
1782299864760,accel,0.641276,1.045663,9.845171
1782299864760,mag,-5.812500,-15.806251,-42.281250
1782299864760,gyro,-0.041815,-0.028169,0.061559
1782299864769,gyro,-0.035706,-0.030002,0.064002
1782299864770,accel,0.629312,1.012164,9.849958
1782299864770,mag,-4.950000,-15.693750,-40.762501
1782299864777,gyro,-0.024711,-0.025726,0.068278
1782299864777,accel,0.629312,1.016950,9.845171
1782299864778,mag,-5.400000,-14.793751,-41.962502
1782299864791,gyro,-0.009439,-0.013508,0.071332
1782299864791,accel,0.629312,1.016950,9.854744
1782299864791,mag,-6.093750,-16.106251,-42.731251
