ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782299864620,0.66999,1.050449,9.720745,-0.028376,-6.9e-05,0.029794,-5.2125,-17.75625,-40.012501
1782299864622,0.667598,1.031307,9.622639,-0.036928,0.006039,0.036513,-5.2125,-17.75625,-40.012501
1782299864628,0.667598,1.031307,9.622639,-0.036928,0.006039,0.036513,-6.6375,-15.375001,-40.143753
1782299864630,0.641276,1.009771,9.574783,-0.042426,0.003596,0.043233,-6.6375,-15.375001,-40.143753
1782299864640,0.636491,0.995414,9.634603,-0.043036,0.007872,0.046898,-4.48125,-16.293751,-40.762501
1782299864650,0.643669,0.997807,9.625032,-0.03876,0.017035,0.049952,-6.31875,-15.975,-40.3125
1782299864658,0.653241,1.036092,9.593925,-0.033873,0.022533,0.050563,-6.0,-16.275002,-40.3125
1782299864665,0.653241,1.036092,9.593925,-0.033873,0.027419,0.049952,-6.0,-16.275002,-40.3125
1782299864667,0.674776,1.06002,9.577176,-0.033873,0.027419,0.049952,-6.0,-16.275002,-40.3125
1782299864669,0.674776,1.06002,9.577176,-0.033873,0.027419,0.049952,-5.53125,-15.675,-41.8125
1782299864675,0.658026,1.071985,9.567605,-0.037539,0.023754,0.049341,-5.53125,-15.675,-41.8125
1782299864679,0.658026,1.071985,9.567605,-0.037539,0.023754,0.049341,-5.4,-15.39375,-41.212502
1782299864697,0.636491,1.086342,9.541283,-0.041204,0.020089,0.047509,-5.55,-15.675,-40.762501
1782299864701,0.638884,1.098306,9.567605,-0.047313,0.021922,0.046287,-5.90625,-14.062501,-41.193752
1782299864709,0.634098,1.105484,9.608283,-0.049145,0.0207,0.048119,-6.88125,-15.806251,-41.662502
1782299864717,0.617348,1.095913,9.687246,-0.046702,0.017035,0.050563,-6.88125,-15.806251,-41.662502
1782299864718,0.617348,1.095913,9.687246,-0.046702,0.017035,0.050563,-5.08125,-16.575001,-40.462502
1782299864725,0.614955,1.091127,9.75903,-0.042426,0.009704,0.053006,-5.08125,-16.575001,-40.462502
1782299864729,0.614955,1.091127,9.75903,-0.042426,0.009704,0.053006,-6.1125,-16.556252,-41.231251
1782299864734,0.607777,1.067199,9.828422,-0.036928,-0.003735,0.054228,-6.1125,-16.556252,-41.231251
1782299864740,0.607777,1.067199,9.828422,-0.036928,-0.003735,0.054228,-6.0,-15.675,-41.0625
1782299864743,0.636491,1.057628,9.826029,-0.036928,-0.011065,0.056061,-6.0,-15.675,-41.0625
1782299864750,0.636491,1.057628,9.826029,-0.036928,-0.011065,0.056061,-5.11875,-15.093751,-41.212502
1782299864751,0.638884,1.048056,9.80928,-0.041204,-0.022061,0.058504,-5.11875,-15.093751,-41.212502
1782299864760,0.641276,1.045663,9.845171,-0.041815,-0.028169,0.061559,-5.8125,-15.806251,-42.28125
1782299864769,0.641276,1.045663,9.845171,-0.035706,-0.030002,0.064002,-5.8125,-15.806251,-42.28125
1782299864770,0.629312,1.012164,9.849958,-0.035706,-0.030002,0.064002,-4.95,-15.69375,-40.762501
1782299864777,0.629312,1.01695,9.845171,-0.024711,-0.025726,0.068278,-4.95,-15.69375,-40.762501
1782299864778,0.629312,1.01695,9.845171,-0.024711,-0.025726,0.068278,-5.4,-14.793751,-41.962502
1782299864791,0.629312,1.01695,9.854744,-0.009439,-0.013508,0.071332,-6.09375,-16.106251,-42.731251
1782299864794,0.631705,1.014557,9.780566,0.004611,0.002374,0.074998,-6.09375,-16.106251,-42.731251
1782299864807,0.631705,1.014557,9.780566,0.004611,0.002374,0.074998,-6.20625,-14.343751,-40.443752
1782299864808,0.607777,1.0002,9.708781,0.013163,0.017035,0.079274,-6.20625,-14.343751,-40.443752
1782299864810,0.607777,1.0002,9.708781,0.013163,0.017035,0.079274,-5.90625,-14.062501,-41.193752
1782299864811,0.586242,1.002593,9.651353,0.013774,0.024365,0.082328,-5.90625,-14.062501,-41.193752
1782299864819,0.586242,1.002593,9.651353,0.005222,0.026198,0.085382,-5.90625,-14.062501,-41.193752
1782299864820,0.581456,1.004985,9.703995,0.005222,0.026198,0.085382,-6.16875,-15.093751,-40.912502
1782299864829,0.552742,1.019342,9.749459,-0.008217,0.022533,0.088437,-5.19375,-16.706251,-41.831253
1782299864837,0.526421,0.997807,9.782959,-0.018602,0.011537,0.093323,-5.19375,-16.706251,-41.831253
1782299864838,0.526421,0.997807,9.782959,-0.018602,0.011537,0.093323,-6.16875,-15.375001,-40.912502
1782299864845,0.514457,0.978664,9.847564,-0.022267,0.001763,0.095767,-6.16875,-15.375001,-40.912502
1782299864849,0.514457,0.978664,9.847564,-0.022267,0.001763,0.095767,-5.85,-16.575001,-40.162502
1782299864854,0.502493,0.947558,9.897814,-0.017991,-0.005567,0.099432,-5.85,-16.575001,-40.162502
1782299864860,0.502493,0.947558,9.897814,-0.017991,-0.005567,0.099432,-6.3,-16.25625,-40.762501
1782299864863,0.495314,0.940379,9.873886,-0.004552,-0.005567,0.104319,-6.3,-16.25625,-40.762501
1782299864869,0.495314,0.940379,9.873886,-0.004552,-0.005567,0.104319,-6.3,-16.25625,-40.762501
1782299864871,0.490529,0.964308,9.799708,0.006444,-0.005567,0.109817,-6.3,-16.25625,-40.762501
1782299864879,0.473779,0.969093,9.69921,0.010109,-0.0074,0.116536,-6.675,-14.343751,-40.143753
1782299864890,0.488136,0.933201,9.680068,0.003389,-0.009232,0.122645,-5.86875,-14.793751,-41.662502
