ts,x,y,heading
1782299864711,8.566000,42.297000,south
1782299864811,8.566000,42.203000,south
1782299864911,8.566000,42.109000,south
1782299865011,8.566000,42.015000,south
1782299865111,8.566000,41.922000,south
1782299865211,8.566000,41.828000,south
1782299865311,8.566000,41.734000,south
1782299865411,8.566000,41.640000,south
1782299865511,8.566000,41.546000,south
1782299865611,8.566000,41.453000,south
1782299865711,8.566000,41.359000,south
1782299865811,8.566000,41.265000,south
1782299865911,8.566000,41.171000,south
1782299866011,8.566000,41.077000,south
1782299866111,8.566000,40.983000,south
1782299866211,8.566000,40.890000,south
1782299866311,8.566000,40.796000,south
1782299866411,8.566000,40.702000,south
1782299866511,8.566000,40.608000,south
1782299866611,8.566000,40.514000,south
1782299866711,8.566000,40.420000,south
1782299866811,8.566000,40.327000,south
1782299866911,8.566000,40.233000,south
1782299867011,8.566000,40.139000,south
1782299867111,8.566000,40.045000,south
1782299867211,8.566000,39.951000,south
1782299867311,8.566000,39.857000,south
1782299867411,8.566000,39.764000,south
1782299867511,8.566000,39.670000,south
1782299867611,8.566000,39.576000,south
1782299867711,8.566000,39.482000,south
1782299867811,8.566000,39.388000,south
1782299867911,8.566000,39.294000,south
1782299868011,8.566000,39.201000,south
1782299868111,8.566000,39.107000,south
1782299868211,8.566000,39.013000,south
1782299868311,8.566000,38.919000,south
1782299868411,8.566000,38.825000,south
1782299868511,8.566000,38.731000,south
1782299868611,8.566000,38.638000,south
1782299868711,8.566000,38.544000,south
1782299868811,8.566000,38.450000,south
1782299868911,8.566000,38.356000,south
1782299869011,8.566000,38.262000,south
1782299869111,8.566000,38.169000,south
1782299869211,8.566000,38.075000,south
1782299869311,8.566000,37.981000,south
1782299869326,8.566000,37.967000,south
1782299869326,8.566000,37.967000,west
1782299869426,8.463000,37.967000,west
1782299869526,8.360000,37.967000,west
1782299869626,8.257000,37.967000,west
1782299869726,8.154000,37.967000,west
1782299869826,8.051000,37.967000,west
1782299869926,7.948000,37.967000,west
1782299870026,7.845000,37.967000,west
1782299870126,7.742000,37.967000,west
1782299870226,7.639000,37.967000,west
1782299870326,7.536000,37.967000,west
1782299870426,7.433000,37.967000,west
1782299870526,7.330000,37.967000,west
