ts,sensor,x,y,z
1782300052340,mag,-17.306252,-6.487500,-18.581251
1782300052340,gyro,-0.033873,0.025587,0.040789
1782300052340,accel,0.363709,1.234697,9.050755
1782300052340,mag,-15.937501,-6.356250,-19.181252
1782300052340,gyro,-0.080910,-0.034889,0.059115
1782300052340,accel,0.411565,1.332802,9.254144
1782300052340,mag,-16.256250,-4.725000,-19.762501
1782300052340,gyro,-0.128558,-0.045273,0.078052
1782300052340,accel,0.457029,1.318445,9.558033
1782300052349,gyro,-0.164599,-0.012287,0.094545
1782300052349,accel,0.440279,1.265803,9.653746
1782300052349,mag,-18.168751,-5.868750,-20.700001
1782300052357,gyro,-0.184757,-0.001291,0.107984
1782300052357,accel,0.354138,1.213161,9.605890
1782300052359,mag,-18.300001,-7.200000,-19.800001
1782300052365,gyro,-0.195753,-0.034889,0.117147
1782300052365,accel,0.323031,1.162912,9.663317
1782300052370,mag,-18.300001,-7.200000,-19.800001
1782300052374,gyro,-0.190255,-0.075817,0.122645
1782300052375,accel,0.301496,1.127020,9.854744
1782300052379,mag,-16.443750,-4.443750,-19.162500
1782300052382,gyro,-0.168875,-0.092921,0.129364
1782300052383,accel,0.282353,1.095913,10.050954
1782300052389,mag,-16.443750,-4.443750,-19.162500
1782300052391,gyro,-0.139553,-0.081314,0.132419
1782300052391,accel,0.315853,1.103091,10.003098
1782300052399,mag,-18.450001,-5.137500,-21.750000
1782300052399,gyro,-0.118173,-0.073373,0.137306
1782300052400,accel,0.325424,1.083949,9.893029
1782300052410,accel,0.282353,1.115055,9.761423
1782300052410,gyro,-0.113286,-0.074595,0.139138
1782300052411,mag,-16.200001,-6.487500,-20.100000
1782300052417,accel,0.284746,1.179662,9.735102
1782300052417,gyro,-0.118784,-0.083758,0.141582
1782300052428,mag,-16.481251,-6.037500,-20.850000
1782300052428,gyro,-0.131001,-0.084980,0.143414
1782300052428,accel,0.287139,1.162912,9.744673
1782300052428,mag,-15.450001,-5.475000,-20.531250
1782300052434,gyro,-0.141997,-0.073984,0.145858
1782300052434,accel,0.272782,1.155733,9.732709
1782300052439,mag,-17.118752,-5.906250,-19.931252
