ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782300052340,0.457029,1.318445,9.558033,-0.128558,-0.045273,0.078052,-16.25625,-4.725,-19.762501
1782300052349,0.440279,1.265803,9.653746,-0.164599,-0.012287,0.094545,-18.168751,-5.86875,-20.700001
1782300052357,0.354138,1.213161,9.60589,-0.184757,-0.001291,0.107984,-18.168751,-5.86875,-20.700001
1782300052359,0.354138,1.213161,9.60589,-0.184757,-0.001291,0.107984,-18.300001,-7.2,-19.800001
1782300052365,0.323031,1.162912,9.663317,-0.195753,-0.034889,0.117147,-18.300001,-7.2,-19.800001
1782300052370,0.323031,1.162912,9.663317,-0.195753,-0.034889,0.117147,-18.300001,-7.2,-19.800001
1782300052374,0.323031,1.162912,9.663317,-0.190255,-0.075817,0.122645,-18.300001,-7.2,-19.800001
1782300052375,0.301496,1.12702,9.854744,-0.190255,-0.075817,0.122645,-18.300001,-7.2,-19.800001
1782300052379,0.301496,1.12702,9.854744,-0.190255,-0.075817,0.122645,-16.44375,-4.44375,-19.1625
1782300052382,0.301496,1.12702,9.854744,-0.168875,-0.092921,0.129364,-16.44375,-4.44375,-19.1625
1782300052383,0.282353,1.095913,10.050954,-0.168875,-0.092921,0.129364,-16.44375,-4.44375,-19.1625
1782300052389,0.282353,1.095913,10.050954,-0.168875,-0.092921,0.129364,-16.44375,-4.44375,-19.1625
1782300052391,0.315853,1.103091,10.003098,-0.139553,-0.081314,0.132419,-16.44375,-4.44375,-19.1625
1782300052399,0.315853,1.103091,10.003098,-0.118173,-0.073373,0.137306,-18.450001,-5.1375,-21.75
1782300052400,0.325424,1.083949,9.893029,-0.118173,-0.073373,0.137306,-18.450001,-5.1375,-21.75
1782300052410,0.282353,1.115055,9.761423,-0.113286,-0.074595,0.139138,-18.450001,-5.1375,-21.75
1782300052411,0.282353,1.115055,9.761423,-0.113286,-0.074595,0.139138,-16.200001,-6.4875,-20.1
1782300052417,0.284746,1.179662,9.735102,-0.118784,-0.083758,0.141582,-16.200001,-6.4875,-20.1
1782300052428,0.287139,1.162912,9.744673,-0.131001,-0.08498,0.143414,-15.450001,-5.475,-20.53125
1782300052434,0.272782,1.155733,9.732709,-0.141997,-0.073984,0.145858,-15.450001,-5.475,-20.53125
1782300052439,0.272782,1.155733,9.732709,-0.141997,-0.073984,0.145858,-17.118752,-5.90625,-19.931252
1782300052442,0.272782,1.155733,9.732709,-0.147494,-0.062378,0.14708,-17.118752,-5.90625,-19.931252
1782300052443,0.272782,1.119841,9.785351,-0.147494,-0.062378,0.14708,-17.118752,-5.90625,-19.931252
1782300052448,0.272782,1.119841,9.785351,-0.147494,-0.062378,0.14708,-17.606251,-6.0375,-19.03125
1782300052451,0.282353,1.098306,9.845171,-0.146883,-0.047106,0.150134,-17.606251,-6.0375,-19.03125
1782300052459,0.282353,1.098306,9.845171,-0.146883,-0.047106,0.150134,-17.94375,-4.85625,-18.862501
1782300052461,0.332602,1.081556,9.926528,-0.138331,-0.02145,0.152577,-17.94375,-4.85625,-18.862501
1782300052470,0.332602,1.081556,9.926528,-0.124281,0.001763,0.153188,-18.056252,-5.00625,-20.081251
1782300052471,0.334995,1.081556,9.988741,-0.124281,0.001763,0.153188,-18.056252,-5.00625,-20.081251
1782300052480,0.303888,1.098306,9.988741,-0.10901,0.019478,0.155021,-16.743752,-3.09375,-20.6625
1782300052487,0.303888,1.098306,9.988741,-0.085797,0.015813,0.158075,-16.743752,-3.09375,-20.6625
1782300052488,0.284746,1.124627,9.969598,-0.085797,0.015813,0.158075,-16.743752,-3.09375,-20.6625
1782300052489,0.284746,1.124627,9.969598,-0.085797,0.015813,0.158075,-17.456251,-5.90625,-19.181252
1782300052494,0.246461,1.172483,9.983956,-0.051589,0.007872,0.159908,-17.456251,-5.90625,-19.181252
1782300052499,0.246461,1.172483,9.983956,-0.051589,0.007872,0.159908,-18.543751,-4.40625,-19.462502
