ts,x,y,heading
1782300052416,0.108000,0.000000,east
1782300052516,0.216000,0.000000,east
1782300052616,0.323000,0.000000,east
1782300052716,0.431000,0.000000,east
1782300052816,0.539000,0.000000,east
1782300052916,0.647000,0.000000,east
1782300053016,0.755000,0.000000,east
1782300053116,0.863000,0.000000,east
1782300053216,0.970000,0.000000,east
1782300053316,1.078000,0.000000,east
1782300053416,1.186000,0.000000,east
1782300053516,1.294000,0.000000,east
1782300053616,1.402000,0.000000,east
1782300053716,1.510000,0.000000,east
1782300053816,1.617000,0.000000,east
1782300053916,1.725000,0.000000,east
1782300054016,1.833000,0.000000,east
1782300054116,1.941000,0.000000,east
1782300054216,2.049000,0.000000,east
1782300054316,2.157000,0.000000,east
1782300054416,2.264000,0.000000,east
1782300054516,2.372000,0.000000,east
1782300054616,2.480000,0.000000,east
1782300054716,2.588000,0.000000,east
1782300054816,2.696000,0.000000,east
1782300054916,2.804000,0.000000,east
1782300055016,2.911000,0.000000,east
1782300055116,3.019000,0.000000,east
1782300055216,3.127000,0.000000,east
1782300055316,3.235000,0.000000,east
1782300055416,3.343000,0.000000,east
1782300055516,3.450000,0.000000,east
1782300055616,3.558000,0.000000,east
1782300055716,3.666000,0.000000,east
1782300055816,3.774000,0.000000,east
1782300055916,3.882000,0.000000,east
1782300056016,3.990000,0.000000,east
1782300056116,4.097000,0.000000,east
1782300056216,4.205000,0.000000,east
1782300056316,4.313000,0.000000,east
1782300056416,4.421000,0.000000,east
1782300056516,4.529000,0.000000,east
1782300056616,4.637000,0.000000,east
1782300056716,4.744000,0.000000,east
1782300056816,4.852000,0.000000,east
1782300056916,4.960000,0.000000,east
1782300057016,5.068000,0.000000,east
1782300057116,5.176000,0.000000,east
1782300057216,5.284000,0.000000,east
1782300057316,5.391000,0.000000,east
1782300057416,5.499000,0.000000,east
1782300057516,5.607000,0.000000,east
1782300057616,5.715000,0.000000,east
1782300057716,5.823000,0.000000,east
1782300057816,5.931000,0.000000,east
1782300057916,6.038000,0.000000,east
1782300058016,6.146000,0.000000,east
1782300058116,6.254000,0.000000,east
1782300058216,6.362000,0.000000,east
1782300058316,6.470000,0.000000,east
1782300058416,6.577000,0.000000,east
1782300058516,6.685000,0.000000,east
1782300058616,6.793000,0.000000,east
1782300058716,6.901000,0.000000,east
1782300058816,7.009000,0.000000,east
1782300058916,7.117000,0.000000,east
1782300059016,7.224000,0.000000,east
1782300059116,7.332000,0.000000,east
1782300059216,7.440000,0.000000,east
1782300059316,7.548000,0.000000,east
1782300059416,7.656000,0.000000,east
1782300059516,7.764000,0.000000,east
1782300059616,7.871000,0.000000,east
1782300059716,7.979000,0.000000,east
1782300059816,8.087000,0.000000,east
1782300059916,8.195000,0.000000,east
1782300060016,8.303000,0.000000,east
1782300060116,8.411000,0.000000,east
1782300060216,8.518000,0.000000,east
1782300060260,8.566000,0.000000,east
1782300060260,8.566000,0.000000,north
1782300060360,8.566000,0.119000,north
1782300060460,8.566000,0.238000,north
1782300060560,8.566000,0.356000,north
1782300060660,8.566000,0.475000,north
1782300060760,8.566000,0.594000,north
1782300060860,8.566000,0.713000,north
1782300060960,8.566000,0.832000,north
1782300061060,8.566000,0.950000,north
1782300061160,8.566000,1.069000,north
1782300061260,8.566000,1.188000,north
1782300061360,8.566000,1.307000,north
1782300061460,8.566000,1.426000,north
1782300061560,8.566000,1.544000,north
1782300061660,8.566000,1.663000,north
1782300061760,8.566000,1.782000,north
1782300061860,8.566000,1.901000,north
1782300061960,8.566000,2.020000,north
1782300062060,8.566000,2.138000,north
1782300062160,8.566000,2.257000,north
1782300062260,8.566000,2.376000,north
1782300062360,8.566000,2.495000,north
1782300062460,8.566000,2.614000,north
1782300062560,8.566000,2.732000,north
1782300062660,8.566000,2.851000,north
1782300062760,8.566000,2.970000,north
1782300062860,8.566000,3.089000,north
1782300062960,8.566000,3.208000,north
1782300063060,8.566000,3.326000,north
1782300063160,8.566000,3.445000,north
1782300063260,8.566000,3.564000,north
1782300063360,8.566000,3.683000,north
1782300063460,8.566000,3.802000,north
1782300063560,8.566000,3.920000,north
1782300063660,8.566000,4.039000,north
1782300063760,8.566000,4.158000,north
1782300063860,8.566000,4.277000,north
1782300063960,8.566000,4.396000,north
1782300064060,8.566000,4.514000,north
1782300064160,8.566000,4.633000,north
1782300064260,8.566000,4.752000,north
1782300064360,8.566000,4.871000,north
1782300064460,8.566000,4.990000,north
1782300064560,8.566000,5.108000,north
1782300064660,8.566000,5.227000,north
1782300064760,8.566000,5.346000,north
1782300064860,8.566000,5.465000,north
1782300064960,8.566000,5.584000,north
1782300065060,8.566000,5.703000,north
1782300065160,8.566000,5.821000,north
1782300065260,8.566000,5.940000,north
1782300065360,8.566000,6.059000,north
1782300065460,8.566000,6.178000,north
1782300065560,8.566000,6.297000,north
1782300065660,8.566000,6.415000,north
1782300065760,8.566000,6.534000,north
1782300065860,8.566000,6.653000,north
1782300065960,8.566000,6.772000,north
1782300066060,8.566000,6.891000,north
1782300066160,8.566000,7.009000,north
1782300066260,8.566000,7.128000,north
1782300066360,8.566000,7.247000,north
1782300066460,8.566000,7.366000,north
1782300066560,8.566000,7.485000,north
1782300066660,8.566000,7.603000,north
1782300066760,8.566000,7.722000,north
1782300066860,8.566000,7.841000,north
1782300066960,8.566000,7.960000,north
1782300067060,8.566000,8.079000,north
1782300067160,8.566000,8.197000,north
1782300067260,8.566000,8.316000,north
1782300067360,8.566000,8.435000,north
1782300067460,8.566000,8.554000,north
1782300067560,8.566000,8.673000,north
1782300067660,8.566000,8.791000,north
1782300067760,8.566000,8.910000,north
1782300067860,8.566000,9.029000,north
1782300067960,8.566000,9.148000,north
1782300068060,8.566000,9.267000,north
1782300068160,8.566000,9.385000,north
1782300068260,8.566000,9.504000,north
1782300068360,8.566000,9.623000,north
1782300068460,8.566000,9.742000,north
1782300068560,8.566000,9.861000,north
1782300068660,8.566000,9.979000,north
1782300068760,8.566000,10.098000,north
1782300068860,8.566000,10.217000,north
1782300068960,8.566000,10.336000,north
1782300069060,8.566000,10.455000,north
1782300069160,8.566000,10.573000,north
1782300069260,8.566000,10.692000,north
1782300069360,8.566000,10.811000,north
1782300069460,8.566000,10.930000,north
1782300069560,8.566000,11.049000,north
1782300069660,8.566000,11.167000,north
1782300069760,8.566000,11.286000,north
1782300069860,8.566000,11.405000,north
1782300069960,8.566000,11.524000,north
1782300070060,8.566000,11.643000,north
1782300070160,8.566000,11.761000,north
1782300070260,8.566000,11.880000,north
1782300070360,8.566000,11.999000,north
1782300070460,8.566000,12.118000,north
1782300070560,8.566000,12.237000,north
1782300070660,8.566000,12.355000,north
1782300070760,8.566000,12.474000,north
1782300070860,8.566000,12.593000,north
1782300070960,8.566000,12.712000,north
1782300071060,8.566000,12.831000,north
1782300071160,8.566000,12.949000,north
1782300071260,8.566000,13.068000,north
1782300071360,8.566000,13.187000,north
1782300071460,8.566000,13.306000,north
1782300071560,8.566000,13.425000,north
1782300071660,8.566000,13.543000,north
1782300071760,8.566000,13.662000,north
1782300071860,8.566000,13.781000,north
1782300071960,8.566000,13.900000,north
1782300072060,8.566000,14.019000,north
