ts,sensor,x,y,z
1782300237862,gyro,-0.049909,0.052923,0.106457
1782300237862,accel,0.282353,1.234697,9.500605
1782300237862,mag,-8.606251,13.837501,-16.518751
1782300237879,gyro,-0.039524,0.087742,0.108290
1782300237879,accel,0.210568,1.275374,9.182360
1782300237879,mag,-9.412500,13.556251,-15.018750
1782300237879,gyro,-0.046244,0.079801,0.106457
1782300237879,accel,0.229711,1.330409,9.199110
1782300237879,mag,-7.931250,15.000001,-15.300000
1782300237884,gyro,-0.057239,0.055367,0.105846
1782300237884,accel,0.251246,1.344766,9.409678
1782300237889,mag,-8.381250,15.300000,-15.750001
1782300237892,gyro,-0.057850,0.063308,0.107068
1782300237892,accel,0.272782,1.378266,9.553248
1782300237898,mag,-9.450001,15.318750,-15.750001
1782300237901,gyro,-0.051130,0.065751,0.108901
1782300237901,accel,0.303888,1.368695,9.514963
1782300237908,mag,-6.712500,16.181252,-16.650002
1782300237909,gyro,-0.048687,0.058421,0.109511
1782300237909,accel,0.291924,1.371087,9.500605
1782300237919,gyro,-0.048076,0.055977,0.110122
1782300237919,accel,0.260818,1.366302,9.507783
1782300237919,mag,-8.175000,14.718751,-16.668751
1782300237927,accel,0.294317,1.371087,9.565212
1782300237927,gyro,-0.047465,0.025434,0.115009
1782300237928,mag,-7.593750,14.568750,-16.068750
1782300237935,gyro,-0.042578,-0.002666,0.118063
1782300237935,accel,0.368495,1.373480,9.656139
1782300237938,mag,-8.643750,14.587501,-16.518751
1782300237944,gyro,-0.029139,-0.010607,0.119285
1782300237944,accel,0.356531,1.359123,9.711174
1782300237949,mag,-7.687500,13.987500,-17.437500
1782300237952,gyro,-0.009592,-0.009385,0.122340
1782300237952,accel,0.313460,1.339981,9.742281
1782300237960,mag,-7.612500,15.300000,-16.050001
1782300237961,gyro,0.002626,-0.004498,0.127226
1782300237961,accel,0.318245,1.339981,9.689639
1782300237969,mag,-7.500000,15.150001,-15.150001
1782300237969,gyro,0.005069,-0.006331,0.131503
1782300237969,accel,0.301496,1.320838,9.605890
1782300237979,gyro,-0.004094,-0.017326,0.135168
1782300237979,accel,0.296710,1.289731,9.603497
1782300237979,mag,-7.950000,15.000001,-15.000001
1782300237987,accel,0.299103,1.241875,9.692031
1782300237987,gyro,-0.019976,-0.032598,0.138833
1782300237988,mag,-9.056251,14.587501,-17.587502
1782300237995,accel,0.294317,1.182054,9.735102
1782300237995,gyro,-0.045022,-0.039317,0.144331
1782300237998,mag,-8.306251,13.837501,-16.518751
1782300238004,gyro,-0.067013,-0.039928,0.153494
1782300238004,accel,0.287139,1.146162,9.775780
1782300238010,mag,-9.187500,14.006250,-17.437500
1782300238013,gyro,-0.080452,-0.041150,0.163267
1782300238013,accel,0.253639,1.112663,9.821244
1782300238026,mag,-7.331250,16.331251,-16.800001
1782300238026,gyro,-0.075565,-0.044204,0.173652
1782300238026,accel,0.200997,1.074377,9.904993
1782300238029,mag,-7.668750,15.581250,-15.000001
1782300238030,gyro,-0.052352,-0.039928,0.181593
1782300238031,accel,0.143569,1.036092,9.974384
1782300238040,accel,0.133998,1.069592,9.916956
1782300238040,mag,-8.493751,14.437501,-15.918751
1782300238040,gyro,-0.013257,-0.022213,0.191978
1782300238047,gyro,0.028282,0.013828,0.201141
1782300238047,accel,0.133998,1.129412,9.794922
1782300238049,mag,-7.575000,14.268750,-16.518751
1782300238056,gyro,0.065545,0.054145,0.214580
1782300238056,accel,0.069392,1.220340,9.601104
1782300238059,mag,-8.493751,13.987500,-15.618751
1782300238064,gyro,0.091201,0.077969,0.229241
1782300238066,accel,-0.031107,1.289731,9.440785
1782300238070,mag,-9.281250,15.168751,-15.900001
1782300238073,gyro,0.105251,0.084688,0.240847
1782300238073,accel,-0.143569,1.380659,9.337893
1782300238079,mag,-9.262501,14.737500,-15.918751
1782300238083,gyro,0.107694,0.075525,0.251843
1782300238083,accel,-0.205783,1.462015,9.285251
1782300238089,mag,-9.562500,14.737500,-16.218750
1782300238092,gyro,0.097921,0.072471,0.265893
1782300238092,accel,-0.220140,1.545763,9.201502
1782300238100,gyro,0.075319,0.082245,0.281775
1782300238100,accel,-0.229711,1.639084,9.144075
1782300238100,mag,-5.643750,15.431251,-16.200001
1782300238109,gyro,0.042943,0.095073,0.295825
1782300238109,accel,-0.277567,1.691726,9.136897
1782300238109,mag,-7.893750,15.018750,-16.518751
1782300238118,gyro,-0.000429,0.097516,0.310486
1782300238118,accel,-0.332602,1.718047,9.179967
1782300238119,mag,-7.612500,13.518750,-14.250001
1782300238134,gyro,-0.051741,0.095073,0.325758
1782300238134,accel,-0.334995,1.768296,9.223038
1782300238134,mag,-6.975000,13.668751,-15.618751
1782300238134,gyro,-0.106108,0.088353,0.340418
1782300238134,accel,-0.349352,1.773082,9.302002
1782300238139,mag,-9.131250,15.018750,-15.750001
1782300238141,gyro,-0.155588,0.088353,0.350192
1782300238141,accel,-0.342174,1.710868,9.483856
1782300238149,mag,-7.593750,14.268750,-15.768750
1782300238150,gyro,-0.191629,0.089575,0.356301
1782300238150,accel,-0.392423,1.665405,9.677674
1782300238160,gyro,-0.217286,0.099960,0.359966
1782300238160,mag,-6.843750,15.000001,-16.068750
1782300238160,accel,-0.409173,1.598405,9.826029
1782300238167,gyro,-0.243553,0.109123,0.357522
1782300238167,accel,-0.399601,1.502693,9.888242
1782300238169,mag,-7.612500,15.300000,-16.050001
1782300238176,gyro,-0.273485,0.096295,0.352025
1782300238176,accel,-0.392423,1.409373,9.948063
1782300238179,mag,-6.225000,14.400001,-16.218750
1782300238184,gyro,-0.304639,0.068806,0.341029
1782300238184,accel,-0.373280,1.328017,10.065312
1782300238191,mag,-7.275000,14.568750,-16.818750
1782300238193,gyro,-0.328463,0.040095,0.328812
1782300238193,accel,-0.320638,1.253839,10.228023
1782300238199,mag,-7.106250,16.162500,-14.081250
1782300238201,gyro,-0.343124,0.021158,0.313540
1782300238202,accel,-0.275175,1.189233,10.352450
1782300238209,mag,-7.650000,15.300000,-15.000001
1782300238210,gyro,-0.338237,0.010163,0.293993
1782300238210,accel,-0.227318,1.143769,10.467306
