ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782300237862,0.282353,1.234697,9.500605,-0.049909,0.052923,0.106457,-8.606251,13.837501,-16.518751
1782300237879,0.229711,1.330409,9.19911,-0.046244,0.079801,0.106457,-7.93125,15.000001,-15.3
1782300237884,0.251246,1.344766,9.409678,-0.057239,0.055367,0.105846,-7.93125,15.000001,-15.3
1782300237889,0.251246,1.344766,9.409678,-0.057239,0.055367,0.105846,-8.38125,15.3,-15.750001
1782300237892,0.272782,1.378266,9.553248,-0.05785,0.063308,0.107068,-8.38125,15.3,-15.750001
1782300237898,0.272782,1.378266,9.553248,-0.05785,0.063308,0.107068,-9.450001,15.31875,-15.750001
1782300237901,0.303888,1.368695,9.514963,-0.05113,0.065751,0.108901,-9.450001,15.31875,-15.750001
1782300237908,0.303888,1.368695,9.514963,-0.05113,0.065751,0.108901,-6.7125,16.181252,-16.650002
1782300237909,0.291924,1.371087,9.500605,-0.048687,0.058421,0.109511,-6.7125,16.181252,-16.650002
1782300237919,0.260818,1.366302,9.507783,-0.048076,0.055977,0.110122,-8.175,14.718751,-16.668751
1782300237927,0.294317,1.371087,9.565212,-0.047465,0.025434,0.115009,-8.175,14.718751,-16.668751
1782300237928,0.294317,1.371087,9.565212,-0.047465,0.025434,0.115009,-7.59375,14.56875,-16.06875
1782300237935,0.368495,1.37348,9.656139,-0.042578,-0.002666,0.118063,-7.59375,14.56875,-16.06875
1782300237938,0.368495,1.37348,9.656139,-0.042578,-0.002666,0.118063,-8.64375,14.587501,-16.518751
1782300237944,0.356531,1.359123,9.711174,-0.029139,-0.010607,0.119285,-8.64375,14.587501,-16.518751
1782300237949,0.356531,1.359123,9.711174,-0.029139,-0.010607,0.119285,-7.6875,13.9875,-17.4375
1782300237952,0.31346,1.339981,9.742281,-0.009592,-0.009385,0.12234,-7.6875,13.9875,-17.4375
1782300237960,0.31346,1.339981,9.742281,-0.009592,-0.009385,0.12234,-7.6125,15.3,-16.050001
1782300237961,0.318245,1.339981,9.689639,0.002626,-0.004498,0.127226,-7.6125,15.3,-16.050001
1782300237969,0.301496,1.320838,9.60589,0.005069,-0.006331,0.131503,-7.5,15.150001,-15.150001
1782300237979,0.29671,1.289731,9.603497,-0.004094,-0.017326,0.135168,-7.95,15.000001,-15.000001
1782300237987,0.299103,1.241875,9.692031,-0.019976,-0.032598,0.138833,-7.95,15.000001,-15.000001
1782300237988,0.299103,1.241875,9.692031,-0.019976,-0.032598,0.138833,-9.056251,14.587501,-17.587502
1782300237995,0.294317,1.182054,9.735102,-0.045022,-0.039317,0.144331,-9.056251,14.587501,-17.587502
1782300237998,0.294317,1.182054,9.735102,-0.045022,-0.039317,0.144331,-8.306251,13.837501,-16.518751
1782300238004,0.287139,1.146162,9.77578,-0.067013,-0.039928,0.153494,-8.306251,13.837501,-16.518751
1782300238010,0.287139,1.146162,9.77578,-0.067013,-0.039928,0.153494,-9.1875,14.00625,-17.4375
1782300238013,0.253639,1.112663,9.821244,-0.080452,-0.04115,0.163267,-9.1875,14.00625,-17.4375
1782300238026,0.200997,1.074377,9.904993,-0.075565,-0.044204,0.173652,-7.33125,16.331251,-16.800001
1782300238029,0.200997,1.074377,9.904993,-0.075565,-0.044204,0.173652,-7.66875,15.58125,-15.000001
1782300238030,0.200997,1.074377,9.904993,-0.052352,-0.039928,0.181593,-7.66875,15.58125,-15.000001
1782300238031,0.143569,1.036092,9.974384,-0.052352,-0.039928,0.181593,-7.66875,15.58125,-15.000001
1782300238040,0.133998,1.069592,9.916956,-0.013257,-0.022213,0.191978,-8.493751,14.437501,-15.918751
1782300238047,0.133998,1.129412,9.794922,0.028282,0.013828,0.201141,-8.493751,14.437501,-15.918751
1782300238049,0.133998,1.129412,9.794922,0.028282,0.013828,0.201141,-7.575,14.26875,-16.518751
1782300238056,0.069392,1.22034,9.601104,0.065545,0.054145,0.21458,-7.575,14.26875,-16.518751
1782300238059,0.069392,1.22034,9.601104,0.065545,0.054145,0.21458,-8.493751,13.9875,-15.618751
1782300238064,0.069392,1.22034,9.601104,0.091201,0.077969,0.229241,-8.493751,13.9875,-15.618751
1782300238066,-0.031107,1.289731,9.440785,0.091201,0.077969,0.229241,-8.493751,13.9875,-15.618751
1782300238070,-0.031107,1.289731,9.440785,0.091201,0.077969,0.229241,-9.28125,15.168751,-15.900001
1782300238073,-0.143569,1.380659,9.337893,0.105251,0.084688,0.240847,-9.28125,15.168751,-15.900001
1782300238079,-0.143569,1.380659,9.337893,0.105251,0.084688,0.240847,-9.262501,14.7375,-15.918751
1782300238083,-0.205783,1.462015,9.285251,0.107694,0.075525,0.251843,-9.262501,14.7375,-15.918751
1782300238089,-0.205783,1.462015,9.285251,0.107694,0.075525,0.251843,-9.5625,14.7375,-16.21875
1782300238092,-0.22014,1.545763,9.201502,0.097921,0.072471,0.265893,-9.5625,14.7375,-16.21875
1782300238100,-0.229711,1.639084,9.144075,0.075319,0.082245,0.281775,-5.64375,15.431251,-16.200001
1782300238109,-0.277567,1.691726,9.136897,0.042943,0.095073,0.295825,-7.89375,15.01875,-16.518751
1782300238118,-0.332602,1.718047,9.179967,-0.000429,0.097516,0.310486,-7.89375,15.01875,-16.518751
1782300238119,-0.332602,1.718047,9.179967,-0.000429,0.097516,0.310486,-7.6125,13.51875,-14.250001
1782300238134,-0.349352,1.773082,9.302002,-0.106108,0.088353,0.340418,-6.975,13.668751,-15.618751
1782300238139,-0.349352,1.773082,9.302002,-0.106108,0.088353,0.340418,-9.13125,15.01875,-15.750001
1782300238141,-0.342174,1.710868,9.483856,-0.155588,0.088353,0.350192,-9.13125,15.01875,-15.750001
1782300238149,-0.342174,1.710868,9.483856,-0.155588,0.088353,0.350192,-7.59375,14.26875,-15.76875
1782300238150,-0.392423,1.665405,9.677674,-0.191629,0.089575,0.356301,-7.59375,14.26875,-15.76875
1782300238160,-0.409173,1.598405,9.826029,-0.217286,0.09996,0.359966,-6.84375,15.000001,-16.06875
1782300238167,-0.399601,1.502693,9.888242,-0.243553,0.109123,0.357522,-6.84375,15.000001,-16.06875
1782300238169,-0.399601,1.502693,9.888242,-0.243553,0.109123,0.357522,-7.6125,15.3,-16.050001
1782300238176,-0.392423,1.409373,9.948063,-0.273485,0.096295,0.352025,-7.6125,15.3,-16.050001
1782300238179,-0.392423,1.409373,9.948063,-0.273485,0.096295,0.352025,-6.225,14.400001,-16.21875
1782300238184,-0.37328,1.328017,10.065312,-0.304639,0.068806,0.341029,-6.225,14.400001,-16.21875
1782300238191,-0.37328,1.328017,10.065312,-0.304639,0.068806,0.341029,-7.275,14.56875,-16.81875
1782300238193,-0.320638,1.253839,10.228023,-0.328463,0.040095,0.328812,-7.275,14.56875,-16.81875
1782300238199,-0.320638,1.253839,10.228023,-0.328463,0.040095,0.328812,-7.10625,16.1625,-14.08125
1782300238201,-0.320638,1.253839,10.228023,-0.343124,0.021158,0.31354,-7.10625,16.1625,-14.08125
1782300238202,-0.275175,1.189233,10.35245,-0.343124,0.021158,0.31354,-7.10625,16.1625,-14.08125
1782300238209,-0.275175,1.189233,10.35245,-0.343124,0.021158,0.31354,-7.65,15.3,-15.000001
1782300238210,-0.227318,1.143769,10.467306,-0.338237,0.010163,0.293993,-7.65,15.3,-15.000001
1782300238220,-0.198604,1.143769,10.500805,-0.310137,0.001,0.272001,-5.64375,15.88125,-16.96875
1782300238227,-0.148355,1.177269,10.4027,-0.259435,0.001,0.25001,-5.64375,15.88125,-16.96875
1782300238228,-0.148355,1.177269,10.4027,-0.259435,0.001,0.25001,-5.98125,16.462502,-16.650002
1782300238235,-0.083749,1.268196,10.201703,-0.191018,0.019936,0.229852,-5.98125,16.462502,-16.650002
1782300238238,-0.083749,1.268196,10.201703,-0.191018,0.019936,0.229852,-6.16875,16.012501,-14.681251
1782300238244,-0.043071,1.361516,9.950456,-0.111606,0.03643,0.210304,-6.16875,16.012501,-14.681251
1782300238249,-0.043071,1.361516,9.950456,-0.111606,0.03643,0.210304,-7.9875,16.331251,-14.981251
1782300238252,-0.028714,1.497907,9.677674,-0.02975,0.078579,0.192589,-7.9875,16.331251,-14.981251
1782300238260,-0.028714,1.497907,9.677674,-0.02975,0.078579,0.192589,-7.0875,16.462502,-15.13125
1782300238261,-0.021535,1.648655,9.345072,0.034391,0.116453,0.176707,-7.0875,16.462502,-15.13125
1782300238268,-0.021535,1.648655,9.345072,0.034391,0.116453,0.176707,-6.375,16.893751,-14.062501
1782300238270,-0.014357,1.775474,8.955041,0.070432,0.130503,0.165711,-6.375,16.893751,-14.062501
1782300238281,-0.007178,1.887937,8.600904,0.069821,0.126838,0.158381,-6.3,16.462502,-15.58125
1782300238287,-0.028714,1.974079,8.423835,0.036223,0.099349,0.156548,-6.3,16.462502,-15.58125
1782300238288,-0.028714,1.974079,8.423835,0.036223,0.099349,0.156548,-7.05,15.431251,-15.150001
1782300238296,0.004786,1.976472,8.576976,-0.021809,0.093851,0.159602,-7.05,15.431251,-15.150001
1782300238298,0.004786,1.976472,8.576976,-0.021809,0.093851,0.159602,-7.05,15.431251,-15.150001
1782300238304,0.055035,1.969293,8.754045,-0.078008,0.116453,0.166322,-7.05,15.431251,-15.150001
1782300238309,0.055035,1.969293,8.754045,-0.078008,0.116453,0.166322,-5.86875,17.043751,-16.03125
1782300238313,0.062213,1.962115,8.897614,-0.130543,0.131725,0.177317,-5.86875,17.043751,-16.03125
1782300238318,0.062213,1.962115,8.897614,-0.130543,0.131725,0.177317,-7.06875,15.88125,-15.13125
1782300238321,0.023928,1.962115,9.048362,-0.169638,0.138444,0.189535,-7.06875,15.88125,-15.13125
1782300238328,0.023928,1.962115,9.048362,-0.169638,0.138444,0.189535,-6.69375,15.88125,-16.96875
1782300238330,-0.0335,1.892723,9.297216,-0.187964,0.134779,0.203585,-6.69375,15.88125,-16.96875
1782300238340,-0.117248,1.835295,9.541283,-0.184299,0.129281,0.217634,-5.4375,17.775002,-15.731251
1782300238347,-0.162712,1.818545,9.708781,-0.16414,0.124394,0.230463,-5.4375,17.775002,-15.731251
1782300238348,-0.162712,1.818545,9.708781,-0.16414,0.124394,0.230463,-6.2625,18.075001,-14.212501
1782300238356,-0.205783,1.770689,9.794922,-0.136041,0.136612,0.245123,-6.2625,18.075001,-14.212501
1782300238358,-0.205783,1.770689,9.794922,-0.136041,0.136612,0.245123,-5.34375,17.175001,-13.6125
1782300238364,-0.265603,1.708475,9.823637,-0.104276,0.145775,0.259784,-5.34375,17.175001,-13.6125
1782300238369,-0.265603,1.708475,9.823637,-0.104276,0.145775,0.259784,-6.7875,16.462502,-14.83125
1782300238373,-0.337388,1.696511,9.849958,-0.076787,0.14944,0.275667,-6.7875,16.462502,-14.83125
1782300238378,-0.337388,1.696511,9.849958,-0.076787,0.14944,0.275667,-5.08125,16.293751,-15.750001
1782300238381,-0.387637,1.684547,9.871493,-0.054185,0.161046,0.286662,-5.08125,16.293751,-15.750001
1782300238388,-0.387637,1.684547,9.871493,-0.054185,0.161046,0.286662,-4.7625,15.262501,-15.3
1782300238390,-0.457029,1.634298,9.897814,-0.0438,0.151883,0.291549,-4.7625,15.262501,-15.3
1782300238399,-0.521635,1.627119,9.945671,-0.046244,0.131114,0.290327,-4.8,15.993751,-14.981251
1782300238407,-0.55992,1.648655,9.919349,-0.056628,0.097516,0.28483,-4.8,15.993751,-14.981251
1782300238408,-0.55992,1.648655,9.919349,-0.056628,0.097516,0.28483,-4.21875,17.175001,-15.58125
1782300238416,-0.562313,1.651048,9.890635,-0.068846,0.045593,0.276888,-4.21875,17.175001,-15.58125
1782300238418,-0.562313,1.651048,9.890635,-0.068846,0.045593,0.276888,-4.8375,17.775002,-15.731251
1782300238424,-0.567099,1.641476,9.893029,-0.078619,-0.005109,0.264671,-4.8375,17.775002,-15.731251
1782300238429,-0.567099,1.641476,9.893029,-0.078619,-0.005109,0.264671,-5.4375,17.043751,-15.281251
1782300238436,-0.567099,1.641476,9.893029,-0.073122,-0.026489,0.249399,-5.4375,17.043751,-15.281251
1782300238437,-0.586242,1.607977,9.883457,-0.073122,-0.026489,0.249399,-5.4375,17.043751,-15.281251
1782300238438,-0.586242,1.607977,9.883457,-0.073122,-0.026489,0.249399,-4.2,16.44375,-15.58125
1782300238441,-0.598206,1.600798,9.857136,-0.056628,-0.042372,0.232906,-4.2,16.44375,-15.58125
1782300238448,-0.598206,1.600798,9.857136,-0.056628,-0.042372,0.232906,-5.00625,18.356251,-15.88125
1782300238450,-0.607777,1.591227,9.818851,-0.027918,-0.050313,0.215191,-5.00625,18.356251,-15.88125
1782300238459,-0.59342,1.605584,9.754244,0.006902,-0.042983,0.196865,-4.575,17.15625,-13.6125
1782300238467,-0.588634,1.646262,9.672888,0.044775,-0.031987,0.17915,-4.575,17.15625,-13.6125
1782300238468,-0.588634,1.646262,9.672888,0.044775,-0.031987,0.17915,-3.45,17.175001,-16.181252
1782300238476,-0.581456,1.674976,9.558033,0.077762,-0.033209,0.161435,-3.45,17.175001,-16.181252
1782300238478,-0.581456,1.674976,9.558033,0.077762,-0.033209,0.161435,-5.26875,19.518751,-13.44375
1782300238484,-0.581456,1.674976,9.558033,0.104029,-0.028322,0.146774,-5.26875,19.518751,-13.44375
1782300238485,-0.557528,1.727618,9.433607,0.104029,-0.028322,0.146774,-5.26875,19.518751,-13.44375
1782300238489,-0.557528,1.727618,9.433607,0.104029,-0.028322,0.146774,-4.29375,18.9375,-14.812501
1782300238493,-0.528814,1.775474,9.316358,0.119912,-0.014272,0.134557,-4.29375,18.9375,-14.812501
1782300238498,-0.528814,1.775474,9.316358,0.119912,-0.014272,0.134557,-4.06875,17.325001,-15.731251
1782300238501,-0.524028,1.828117,9.246966,0.127242,-0.002055,0.124172,-4.06875,17.325001,-15.731251
1782300238508,-0.524028,1.828117,9.246966,0.127242,-0.002055,0.124172,-5.83125,18.65625,-14.043751
1782300238510,-0.512064,1.885544,9.196717,0.127853,0.00833,0.114398,-5.83125,18.65625,-14.043751
1782300238519,-0.464208,1.914258,9.175182,0.116247,-0.000833,0.102792,-5.0625,19.387501,-15.1125
1782300238527,-0.409173,1.940579,9.117754,0.098531,-0.024046,0.092407,-5.0625,19.387501,-15.1125
1782300238528,-0.409173,1.940579,9.117754,0.098531,-0.024046,0.092407,-5.775,17.625,-14.812501
1782300238540,-0.363709,1.978864,9.139289,0.078984,-0.050924,0.082633,-4.81875,16.293751,-14.681251
1782300238545,-0.337388,2.007578,9.18236,0.067988,-0.068028,0.07286,-4.81875,16.293751,-14.681251
1782300238549,-0.337388,2.007578,9.18236,0.067988,-0.068028,0.07286,-4.5,16.143751,-15.13125
1782300238553,-0.31346,2.014757,9.19911,0.06921,-0.083911,0.063697,-4.5,16.143751,-15.13125
1782300238558,-0.31346,2.014757,9.19911,0.06921,-0.083911,0.063697,-4.275,17.15625,-14.062501
1782300238562,-0.265603,2.009971,9.261323,0.075929,-0.084521,0.056366,-4.275,17.15625,-14.062501
1782300238569,-0.265603,2.009971,9.261323,0.075929,-0.084521,0.056366,-4.89375,18.056252,-13.9125
1782300238570,-0.265603,2.009971,9.261323,0.089368,-0.078413,0.050868,-4.89375,18.056252,-13.9125
1782300238571,-0.189033,2.033899,9.349858,0.089368,-0.078413,0.050868,-4.89375,18.056252,-13.9125
1782300238580,-0.189033,2.033899,9.349858,0.101586,-0.069861,0.04476,-4.89375,18.056252,-13.9125
1782300238581,-0.107677,2.038685,9.450356,0.101586,-0.069861,0.04476,-4.95,17.19375,-16.181252
1782300238589,-0.062213,2.074577,9.519748,0.115025,-0.058865,0.039262,-4.95,17.19375,-16.181252
1782300238591,-0.062213,2.074577,9.519748,0.115025,-0.058865,0.039262,-6.975,18.825001,-15.712501
1782300238596,-0.043071,2.088934,9.596319,0.127853,-0.052146,0.031932,-6.975,18.825001,-15.712501
1782300238599,-0.043071,2.088934,9.596319,0.127853,-0.052146,0.031932,-4.275,17.90625,-14.3625
1782300238605,-0.052642,2.09372,9.732709,0.138849,-0.028933,0.025823,-4.275,17.90625,-14.3625
