ts,sensor,x,y,z
1782300373727,gyro,0.020035,-0.049702,-0.022894
1782300373727,mag,6.525000,-3.900000,-61.893753
1782300373727,accel,0.421137,1.172483,9.158432
1782300373727,gyro,0.010261,-0.016105,-0.016174
1782300373727,mag,7.406250,-4.068750,-60.975002
1782300373727,accel,0.413958,1.203590,9.187146
1782300373727,gyro,-0.001345,0.014439,-0.007011
1782300373727,accel,0.442672,1.253839,9.313965
1782300373728,mag,6.018750,-3.168750,-61.425003
1782300373735,gyro,-0.022114,0.042538,0.003374
1782300373735,accel,0.416351,1.292124,9.409678
1782300373739,mag,7.743750,-4.068750,-62.043751
1782300373743,accel,0.378066,1.287339,9.462320
1782300373743,gyro,-0.050214,0.039484,0.014980
1782300373749,mag,6.468750,-3.618750,-60.375004
1782300373752,accel,0.397209,1.270589,9.555641
1782300373752,gyro,-0.075260,0.017493,0.025365
1782300373759,mag,8.306251,-3.937500,-60.825001
1782300373761,gyro,-0.088088,0.006497,0.030863
1782300373761,accel,0.342174,1.268196,9.680068
1782300373770,gyro,-0.075260,0.010163,0.032084
1782300373770,mag,7.106250,-4.068750,-60.975002
1782300373770,accel,0.330210,1.208375,9.625032
1782300373782,gyro,-0.053879,0.005887,0.031473
1782300373782,accel,0.421137,1.165305,9.531712
1782300373782,mag,7.218750,-3.187500,-61.125004
1782300373786,accel,0.404387,1.232304,9.457534
1782300373786,gyro,-0.039829,0.017493,0.032084
1782300373789,mag,6.281250,-2.737500,-60.506252
1782300373795,gyro,-0.030056,0.038262,0.037582
1782300373795,accel,0.416351,1.270589,9.383358
1782300373801,mag,7.331250,-2.306250,-60.506252
1782300373804,accel,0.413958,1.239482,9.361822
1782300373804,gyro,-0.035553,0.059643,0.049188
1782300373812,mag,7.068750,-2.737500,-61.275002
1782300373812,gyro,-0.055101,0.087742,0.060184
1782300373812,accel,0.425922,1.241875,9.452749
1782300373819,mag,8.156250,-3.787500,-60.975002
1782300373820,gyro,-0.080146,0.123173,0.069958
1782300373820,accel,0.363709,1.249053,9.646568
1782300373829,gyro,-0.092364,0.161046,0.081564
1782300373830,accel,0.303888,1.249053,9.799708
1782300373830,mag,6.825000,-4.650000,-61.143753
1782300373839,accel,0.246461,1.234697,9.837993
1782300373839,gyro,-0.094807,0.182426,0.093171
1782300373839,mag,8.737500,-2.906250,-61.125004
1782300373846,gyro,-0.094196,0.178150,0.105388
1782300373847,accel,0.210568,1.225125,9.828422
1782300373848,mag,8.100000,-3.787500,-59.456253
1782300373855,accel,0.167498,1.205983,9.814065
1782300373855,gyro,-0.089920,0.153716,0.115162
1782300373860,mag,8.156250,-3.337500,-61.725002
1782300373864,gyro,-0.079536,0.122562,0.120660
1782300373864,accel,0.148355,1.203590,9.842779
1782300373869,mag,8.437500,-4.087500,-60.525002
1782300373872,gyro,-0.067318,0.095684,0.123714
1782300373872,accel,0.114855,1.182054,9.842779
1782300373883,mag,8.437500,-4.087500,-60.525002
1782300373883,gyro,-0.063653,0.074914,0.127379
1782300373883,accel,0.112463,1.201197,9.802101
1782300373889,gyro,-0.073427,0.046814,0.130434
1782300373890,accel,0.117248,1.208375,9.732709
1782300373890,mag,7.031250,-1.556250,-61.256252
1782300373901,gyro,-0.082590,0.022380,0.132877
1782300373901,accel,0.093320,1.237089,9.727924
1782300373901,mag,9.150001,-3.075000,-59.906254
1782300373907,accel,0.088534,1.241875,9.735102
1782300373907,gyro,-0.088699,0.002221,0.136542
1782300373909,mag,8.268750,-3.206250,-60.825001
1782300373915,gyro,-0.087477,-0.003276,0.139596
1782300373915,accel,0.112463,1.249053,9.701602
1782300373919,mag,6.562500,-2.737500,-59.906254
1782300373923,gyro,-0.081368,-0.005109,0.139596
1782300373924,accel,0.124427,1.239482,9.648961
1782300373929,mag,8.175000,-1.893750,-59.287502
1782300373934,gyro,-0.067929,-0.005720,0.140207
1782300373934,accel,0.162712,1.256232,9.610675
1782300373939,mag,7.931250,-2.906250,-59.606251
1782300373941,gyro,-0.053879,0.000389,0.140818
1782300373941,accel,0.186640,1.284946,9.581961
1782300373951,gyro,-0.038608,0.002832,0.141429
1782300373951,mag,8.831250,-2.025000,-60.506252
1782300373951,accel,0.184247,1.311267,9.553248
1782300373959,gyro,-0.030666,0.004054,0.142651
1782300373959,mag,7.931250,-2.456250,-60.356251
1782300373959,accel,0.220140,1.299303,9.498212
1782300373968,gyro,-0.030666,-0.005720,0.143873
1782300373968,accel,0.222533,1.325624,9.476677
1782300373969,mag,7.331250,-2.756250,-60.206253
1782300373976,gyro,-0.033721,-0.022824,0.142651
1782300373976,accel,0.205783,1.332802,9.464713
1782300373980,mag,8.681251,-2.475000,-60.356251
1782300373987,gyro,-0.036775,-0.038707,0.142040
1782300373987,accel,0.198604,1.351945,9.462320
1782300373989,mag,5.793750,-2.287500,-59.437504
1782300373994,gyro,-0.040440,-0.047870,0.141429
1782300373994,accel,0.191426,1.385444,9.438392
1782300373998,mag,5.943750,-2.137500,-60.056252
1782300374001,accel,0.222533,1.406980,9.491034
1782300374001,gyro,-0.047771,-0.063141,0.142040
1782300374009,gyro,-0.057545,-0.075359,0.144483
1782300374010,accel,0.236889,1.452443,9.505391
1782300374010,mag,7.481250,-3.206250,-59.606251
1782300374019,gyro,-0.064875,-0.079024,0.143262
1782300374019,mag,7.331250,-2.756250,-60.206253
1782300374019,accel,0.232104,1.433301,9.510177
1782300374027,gyro,-0.065486,-0.066196,0.144483
1782300374027,accel,0.361316,1.378266,9.579568
1782300374028,mag,8.025001,-1.593750,-59.437504
1782300374035,gyro,-0.066097,-0.032598,0.146316
1782300374035,accel,0.375673,1.397408,9.567605
1782300374038,mag,8.062500,-2.025000,-60.206253
1782300374044,gyro,-0.069762,0.002221,0.152425
1782300374044,accel,0.390030,1.416551,9.541283
1782300374049,mag,8.062500,-1.275000,-60.956253
1782300374052,accel,0.380459,1.363909,9.591532
1782300374052,gyro,-0.079536,0.024823,0.154868
1782300374060,mag,7.931250,-2.456250,-60.356251
1782300374061,gyro,-0.089920,0.030932,0.155479
1782300374061,accel,0.351745,1.308874,9.730317
1782300374068,mag,8.700001,-3.206250,-60.056252
1782300374070,gyro,-0.089920,0.023602,0.154257
1782300374070,accel,0.306281,1.258625,9.893029
1782300374079,gyro,-0.068540,0.007719,0.151814
1782300374079,accel,0.270389,1.265803,10.084454
1782300374079,mag,7.968750,-2.456250,-61.106251
1782300374090,gyro,-0.025780,0.001610,0.147538
1782300374090,accel,0.253639,1.299303,10.237595
1782300374090,mag,8.118751,-2.306250,-61.256252
1782300374095,gyro,0.033474,0.007108,0.142040
1782300374095,accel,0.227318,1.390230,10.239988
1782300374098,mag,8.118751,-3.056250,-60.975002
1782300374104,accel,0.189033,1.517050,10.074883
1782300374104,gyro,0.092728,0.021158,0.138375
1782300374109,mag,6.543750,-2.006250,-59.887501
1782300374112,gyro,0.132434,0.039484,0.136542
1782300374112,accel,0.172283,1.641476,9.794922
1782300374118,mag,7.612500,-3.056250,-59.456253
1782300374121,gyro,0.143430,0.057199,0.135320
1782300374121,accel,0.165105,1.763510,9.495820
1782300374128,mag,7.293750,-2.756250,-58.687504
1782300374129,gyro,0.127548,0.063919,0.137153
1782300374130,accel,0.102891,1.852045,9.285251
1782300374139,gyro,0.091507,0.074914,0.141429
1782300374140,accel,0.047856,1.926222,9.251751
1782300374141,mag,8.437500,-4.087500,-60.525002
1782300374147,accel,0.002393,1.990828,9.318751
1782300374147,gyro,0.045081,0.077358,0.143873
1782300374148,mag,9.187500,-2.325000,-62.025002
1782300374156,gyro,0.000488,0.081023,0.146316
1782300374156,accel,-0.038285,2.012364,9.388143
1782300374159,mag,7.200000,-3.187500,-60.056252
1782300374164,gyro,-0.039829,0.079190,0.149370
1782300374164,accel,-0.078963,2.019542,9.424035
1782300374169,mag,7.462500,-2.906250,-59.306252
1782300374172,gyro,-0.072205,0.060253,0.151814
1782300374172,accel,-0.181855,1.974079,9.569997
1782300374178,mag,7.893750,-1.425000,-60.337502
1782300374181,gyro,-0.095418,0.042538,0.158533
1782300374181,accel,-0.200997,1.942972,9.689639
1782300374190,mag,7.500000,-2.156250,-61.406254
1782300374190,gyro,-0.120464,0.021769,0.163420
1782300374190,accel,-0.215354,1.844866,9.818851
1782300374199,gyro,-0.144287,0.006497,0.167696
1782300374200,mag,8.325001,-1.293750,-59.437504
1782300374200,accel,-0.167498,1.706083,9.912171
1782300374207,gyro,-0.167500,0.000389,0.173194
1782300374207,accel,-0.122034,1.612762,10.024634
1782300374208,mag,9.318750,-4.256250,-59.606251
1782300374216,accel,-0.055035,1.536192,10.134703
1782300374216,gyro,-0.188270,0.007719,0.179303
1782300374218,mag,7.087500,-3.768750,-60.975002
1782300374224,gyro,-0.201098,0.023602,0.187244
1782300374224,accel,0.011964,1.500300,10.177774
1782300374230,mag,7.462500,-1.875000,-60.356251
1782300374233,gyro,-0.205374,0.046204,0.195796
1782300374233,accel,0.050249,1.485943,10.172988
1782300374239,mag,8.868751,-2.756250,-60.956253
1782300374241,gyro,-0.202930,0.063919,0.203737
1782300374241,accel,0.066999,1.466800,10.079669
1782300374249,mag,9.581250,-2.043750,-60.506252
1782300374250,accel,0.090927,1.457229,9.971991
1782300374250,gyro,-0.194378,0.068806,0.209846
1782300374259,gyro,-0.185215,0.067584,0.210457
1782300374259,accel,0.119641,1.478764,9.859529
1782300374259,mag,8.812500,-2.043750,-59.887501
1782300374267,gyro,-0.165057,0.056588,0.204959
1782300374267,accel,0.093320,1.562513,9.766209
1782300374268,mag,8.062500,-1.275000,-60.956253
1782300374275,gyro,-0.131459,0.040095,0.195185
1782300374276,accel,0.064606,1.646262,9.639390
1782300374278,mag,8.643750,-2.193750,-59.287502
1782300374284,gyro,-0.085644,0.021158,0.182357
1782300374284,accel,0.038285,1.749153,9.435999
1782300374289,mag,8.850000,-3.356250,-59.906254
1782300374299,gyro,-0.047160,-0.012439,0.165864
1782300374299,accel,-0.009571,1.820938,9.179967
1782300374300,mag,8.231251,-2.456250,-60.356251
1782300374301,accel,-0.016750,1.907080,9.007684
1782300374301,gyro,-0.020893,-0.057643,0.146316
1782300374308,mag,8.137501,-1.143750,-58.818752
1782300374310,gyro,-0.009286,-0.099182,0.127990
1782300374310,accel,0.019143,1.998007,8.938292
1782300374319,gyro,-0.004399,-0.119341,0.113940
1782300374319,mag,9.637501,-3.075000,-60.975002
1782300374319,accel,0.090927,2.072184,8.907185
1782300374327,gyro,-0.008675,-0.123006,0.101723
1782300374327,accel,0.189033,2.074577,8.919150
1782300374328,mag,9.637501,-3.075000,-60.975002
1782300374336,gyro,-0.015395,-0.131558,0.091338
1782300374336,accel,0.236889,2.067399,9.053148
1782300374338,mag,8.437500,-3.056250,-61.275002
1782300374344,gyro,-0.020282,-0.143164,0.085840
1782300374344,accel,0.267996,2.050649,9.227824
1782300374349,mag,9.112500,-1.293750,-60.487503
1782300374353,gyro,-0.017838,-0.145608,0.084008
1782300374353,accel,0.325424,2.065006,9.397714
1782300374359,mag,7.162500,-2.456250,-59.587502
1782300374361,gyro,-0.005621,-0.129115,0.085230
1782300374361,accel,0.344566,2.065006,9.447963
1782300374368,mag,7.143750,-1.856250,-60.037502
1782300374370,gyro,0.009651,-0.093074,0.089506
1782300374370,accel,0.332602,2.065006,9.447963
1782300374379,gyro,0.022479,-0.052146,0.094392
1782300374380,mag,6.712500,-2.906250,-59.306252
1782300374380,accel,0.311067,2.065006,9.383358
1782300374387,gyro,0.026144,-0.016105,0.101112
1782300374387,accel,0.272782,2.057827,9.313965
1782300374388,mag,9.150001,-2.775000,-60.506252
1782300374399,gyro,0.020035,0.013217,0.107832
1782300374399,mag,8.831250,-2.325000,-60.206253
1782300374399,accel,0.239282,2.060220,9.270895
1782300374404,gyro,0.005985,0.046204,0.114551
1782300374404,accel,0.210568,2.057827,9.335500
1782300374409,mag,8.700001,-3.206250,-60.056252
1782300374413,gyro,-0.012951,0.076136,0.120660
1782300374413,accel,0.189033,2.026721,9.459927
1782300374419,mag,7.912500,-1.875000,-60.356251
1782300374421,gyro,-0.035553,0.104847,0.123103
1782300374422,accel,0.143569,2.009971,9.634603
1782300374428,mag,8.212501,-2.475000,-59.587502
1782300374430,accel,0.043071,1.998007,9.792530
1782300374430,gyro,-0.056934,0.126227,0.122492
1782300374440,gyro,-0.075870,0.128670,0.121881
1782300374440,accel,-0.019143,2.009971,9.890635
1782300374440,mag,8.231251,-2.175000,-60.356251
1782300374447,gyro,-0.085644,0.119507,0.120660
1782300374447,accel,-0.064606,2.005185,9.919349
1782300374449,mag,9.881250,-1.593750,-60.506252
1782300374456,gyro,-0.082590,0.104847,0.120049
1782300374456,accel,-0.057428,2.012364,9.921742
1782300374459,mag,8.081250,-0.543750,-62.006252
1782300374464,gyro,-0.063042,0.096905,0.115162
1782300374465,accel,-0.112463,2.026721,9.876278
1782300374470,mag,9.281250,-2.925000,-59.606251
1782300374473,accel,-0.148355,2.053042,9.768602
1782300374473,gyro,-0.030666,0.090186,0.110886
1782300374479,mag,5.943750,-1.856250,-60.037502
1782300374481,gyro,0.009651,0.079801,0.104777
1782300374482,accel,-0.174676,2.081756,9.620246
1782300374489,mag,9.731251,-2.493750,-60.056252
1782300374491,gyro,0.046303,0.064530,0.095614
1782300374491,accel,-0.165105,2.110470,9.455142
1782300374500,accel,-0.153141,2.160719,9.287644
1782300374500,gyro,0.078067,0.044982,0.085230
1782300374500,mag,8.812500,-1.593750,-60.187504
1782300374508,gyro,0.102502,0.032765,0.071790
1782300374508,accel,-0.141177,2.210968,9.194324
1782300374508,mag,8.062500,-1.575000,-60.506252
1782300374516,gyro,0.117163,0.027267,0.057130
1782300374516,accel,-0.126820,2.227718,9.132111
1782300374518,mag,7.612500,-3.056250,-59.156254
1782300374525,gyro,0.119606,0.027267,0.038804
1782300374525,accel,-0.098106,2.275574,9.093826
1782300374529,mag,10.837501,-2.193750,-61.406254
1782300374533,gyro,0.111665,0.014439,0.021089
1782300374533,accel,-0.076570,2.311467,9.098611
1782300374539,mag,9.018750,-3.206250,-60.356251
1782300374541,gyro,0.097615,-0.002666,0.003374
1782300374541,accel,-0.047856,2.388037,9.165610
1782300374548,mag,8.906250,-1.893750,-58.218754
1782300374550,gyro,0.088452,-0.027100,-0.011287
1782300374550,accel,0.000000,2.435894,9.249359
1782300374559,gyro,0.086009,-0.046648,-0.022283
1782300374559,accel,0.055035,2.452643,9.294822
1782300374559,mag,9.206250,-2.756250,-61.725002
1782300374567,gyro,0.090896,-0.063752,-0.032667
1782300374568,accel,0.133998,2.438286,9.392929
1782300374568,mag,9.131250,-2.775000,-59.456253
1782300374576,gyro,0.100669,-0.075359,-0.041219
1782300374576,accel,0.193819,2.445465,9.479070
1782300374578,mag,9.956250,-3.056250,-61.725002
1782300374585,gyro,0.111665,-0.076580,-0.047939
1782300374585,accel,0.227318,2.450250,9.596319
1782300374589,mag,9.731251,-3.225000,-59.306252
1782300374593,gyro,0.116552,-0.076580,-0.050382
1782300374593,accel,0.222533,2.481357,9.725531
1782300374599,mag,8.887501,-4.087500,-60.225002
1782300374608,gyro,0.109832,-0.066806,-0.050382
