ts,ax,ay,az,gx,gy,gz,mx,my,mz
1782300373727,0.442672,1.253839,9.313965,-0.001345,0.014439,-0.007011,7.40625,-4.06875,-60.975002
1782300373728,0.442672,1.253839,9.313965,-0.001345,0.014439,-0.007011,6.01875,-3.16875,-61.425003
1782300373735,0.416351,1.292124,9.409678,-0.022114,0.042538,0.003374,6.01875,-3.16875,-61.425003
1782300373739,0.416351,1.292124,9.409678,-0.022114,0.042538,0.003374,7.74375,-4.06875,-62.043751
1782300373743,0.378066,1.287339,9.46232,-0.050214,0.039484,0.01498,7.74375,-4.06875,-62.043751
1782300373749,0.378066,1.287339,9.46232,-0.050214,0.039484,0.01498,6.46875,-3.61875,-60.375004
1782300373752,0.397209,1.270589,9.555641,-0.07526,0.017493,0.025365,6.46875,-3.61875,-60.375004
1782300373759,0.397209,1.270589,9.555641,-0.07526,0.017493,0.025365,8.306251,-3.9375,-60.825001
1782300373761,0.342174,1.268196,9.680068,-0.088088,0.006497,0.030863,8.306251,-3.9375,-60.825001
1782300373770,0.33021,1.208375,9.625032,-0.07526,0.010163,0.032084,7.10625,-4.06875,-60.975002
1782300373782,0.421137,1.165305,9.531712,-0.053879,0.005887,0.031473,7.21875,-3.1875,-61.125004
1782300373786,0.404387,1.232304,9.457534,-0.039829,0.017493,0.032084,7.21875,-3.1875,-61.125004
1782300373789,0.404387,1.232304,9.457534,-0.039829,0.017493,0.032084,6.28125,-2.7375,-60.506252
1782300373795,0.416351,1.270589,9.383358,-0.030056,0.038262,0.037582,6.28125,-2.7375,-60.506252
1782300373801,0.416351,1.270589,9.383358,-0.030056,0.038262,0.037582,7.33125,-2.30625,-60.506252
1782300373804,0.413958,1.239482,9.361822,-0.035553,0.059643,0.049188,7.33125,-2.30625,-60.506252
1782300373812,0.425922,1.241875,9.452749,-0.055101,0.087742,0.060184,7.06875,-2.7375,-61.275002
1782300373819,0.425922,1.241875,9.452749,-0.055101,0.087742,0.060184,8.15625,-3.7875,-60.975002
1782300373820,0.363709,1.249053,9.646568,-0.080146,0.123173,0.069958,8.15625,-3.7875,-60.975002
1782300373829,0.363709,1.249053,9.646568,-0.092364,0.161046,0.081564,8.15625,-3.7875,-60.975002
1782300373830,0.303888,1.249053,9.799708,-0.092364,0.161046,0.081564,6.825,-4.65,-61.143753
1782300373839,0.246461,1.234697,9.837993,-0.094807,0.182426,0.093171,8.7375,-2.90625,-61.125004
1782300373846,0.246461,1.234697,9.837993,-0.094196,0.17815,0.105388,8.7375,-2.90625,-61.125004
1782300373847,0.210568,1.225125,9.828422,-0.094196,0.17815,0.105388,8.7375,-2.90625,-61.125004
1782300373848,0.210568,1.225125,9.828422,-0.094196,0.17815,0.105388,8.1,-3.7875,-59.456253
1782300373855,0.167498,1.205983,9.814065,-0.08992,0.153716,0.115162,8.1,-3.7875,-59.456253
1782300373860,0.167498,1.205983,9.814065,-0.08992,0.153716,0.115162,8.15625,-3.3375,-61.725002
1782300373864,0.148355,1.20359,9.842779,-0.079536,0.122562,0.12066,8.15625,-3.3375,-61.725002
1782300373869,0.148355,1.20359,9.842779,-0.079536,0.122562,0.12066,8.4375,-4.0875,-60.525002
1782300373872,0.114855,1.182054,9.842779,-0.067318,0.095684,0.123714,8.4375,-4.0875,-60.525002
1782300373883,0.112463,1.201197,9.802101,-0.063653,0.074914,0.127379,8.4375,-4.0875,-60.525002
1782300373889,0.112463,1.201197,9.802101,-0.073427,0.046814,0.130434,8.4375,-4.0875,-60.525002
1782300373890,0.117248,1.208375,9.732709,-0.073427,0.046814,0.130434,7.03125,-1.55625,-61.256252
1782300373901,0.09332,1.237089,9.727924,-0.08259,0.02238,0.132877,9.150001,-3.075,-59.906254
1782300373907,0.088534,1.241875,9.735102,-0.088699,0.002221,0.136542,9.150001,-3.075,-59.906254
1782300373909,0.088534,1.241875,9.735102,-0.088699,0.002221,0.136542,8.26875,-3.20625,-60.825001
1782300373915,0.112463,1.249053,9.701602,-0.087477,-0.003276,0.139596,8.26875,-3.20625,-60.825001
1782300373919,0.112463,1.249053,9.701602,-0.087477,-0.003276,0.139596,6.5625,-2.7375,-59.906254
1782300373923,0.112463,1.249053,9.701602,-0.081368,-0.005109,0.139596,6.5625,-2.7375,-59.906254
1782300373924,0.124427,1.239482,9.648961,-0.081368,-0.005109,0.139596,6.5625,-2.7375,-59.906254
1782300373929,0.124427,1.239482,9.648961,-0.081368,-0.005109,0.139596,8.175,-1.89375,-59.287502
1782300373934,0.162712,1.256232,9.610675,-0.067929,-0.00572,0.140207,8.175,-1.89375,-59.287502
1782300373939,0.162712,1.256232,9.610675,-0.067929,-0.00572,0.140207,7.93125,-2.90625,-59.606251
1782300373941,0.18664,1.284946,9.581961,-0.053879,0.000389,0.140818,7.93125,-2.90625,-59.606251
1782300373951,0.184247,1.311267,9.553248,-0.038608,0.002832,0.141429,8.83125,-2.025,-60.506252
1782300373959,0.22014,1.299303,9.498212,-0.030666,0.004054,0.142651,7.93125,-2.45625,-60.356251
1782300373968,0.222533,1.325624,9.476677,-0.030666,-0.00572,0.143873,7.93125,-2.45625,-60.356251
1782300373969,0.222533,1.325624,9.476677,-0.030666,-0.00572,0.143873,7.33125,-2.75625,-60.206253
1782300373976,0.205783,1.332802,9.464713,-0.033721,-0.022824,0.142651,7.33125,-2.75625,-60.206253
1782300373980,0.205783,1.332802,9.464713,-0.033721,-0.022824,0.142651,8.681251,-2.475,-60.356251
1782300373987,0.198604,1.351945,9.46232,-0.036775,-0.038707,0.14204,8.681251,-2.475,-60.356251
1782300373989,0.198604,1.351945,9.46232,-0.036775,-0.038707,0.14204,5.79375,-2.2875,-59.437504
1782300373994,0.191426,1.385444,9.438392,-0.04044,-0.04787,0.141429,5.79375,-2.2875,-59.437504
1782300373998,0.191426,1.385444,9.438392,-0.04044,-0.04787,0.141429,5.94375,-2.1375,-60.056252
1782300374001,0.222533,1.40698,9.491034,-0.047771,-0.063141,0.14204,5.94375,-2.1375,-60.056252
1782300374009,0.222533,1.40698,9.491034,-0.057545,-0.075359,0.144483,5.94375,-2.1375,-60.056252
1782300374010,0.236889,1.452443,9.505391,-0.057545,-0.075359,0.144483,7.48125,-3.20625,-59.606251
1782300374019,0.232104,1.433301,9.510177,-0.064875,-0.079024,0.143262,7.33125,-2.75625,-60.206253
1782300374027,0.361316,1.378266,9.579568,-0.065486,-0.066196,0.144483,7.33125,-2.75625,-60.206253
1782300374028,0.361316,1.378266,9.579568,-0.065486,-0.066196,0.144483,8.025001,-1.59375,-59.437504
1782300374035,0.375673,1.397408,9.567605,-0.066097,-0.032598,0.146316,8.025001,-1.59375,-59.437504
1782300374038,0.375673,1.397408,9.567605,-0.066097,-0.032598,0.146316,8.0625,-2.025,-60.206253
1782300374044,0.39003,1.416551,9.541283,-0.069762,0.002221,0.152425,8.0625,-2.025,-60.206253
1782300374049,0.39003,1.416551,9.541283,-0.069762,0.002221,0.152425,8.0625,-1.275,-60.956253
1782300374052,0.380459,1.363909,9.591532,-0.079536,0.024823,0.154868,8.0625,-1.275,-60.956253
1782300374060,0.380459,1.363909,9.591532,-0.079536,0.024823,0.154868,7.93125,-2.45625,-60.356251
1782300374061,0.351745,1.308874,9.730317,-0.08992,0.030932,0.155479,7.93125,-2.45625,-60.356251
1782300374068,0.351745,1.308874,9.730317,-0.08992,0.030932,0.155479,8.700001,-3.20625,-60.056252
1782300374070,0.306281,1.258625,9.893029,-0.08992,0.023602,0.154257,8.700001,-3.20625,-60.056252
1782300374079,0.270389,1.265803,10.084454,-0.06854,0.007719,0.151814,7.96875,-2.45625,-61.106251
1782300374090,0.253639,1.299303,10.237595,-0.02578,0.00161,0.147538,8.118751,-2.30625,-61.256252
1782300374095,0.227318,1.39023,10.239988,0.033474,0.007108,0.14204,8.118751,-2.30625,-61.256252
1782300374098,0.227318,1.39023,10.239988,0.033474,0.007108,0.14204,8.118751,-3.05625,-60.975002
1782300374104,0.189033,1.51705,10.074883,0.092728,0.021158,0.138375,8.118751,-3.05625,-60.975002
1782300374109,0.189033,1.51705,10.074883,0.092728,0.021158,0.138375,6.54375,-2.00625,-59.887501
1782300374112,0.172283,1.641476,9.794922,0.132434,0.039484,0.136542,6.54375,-2.00625,-59.887501
1782300374118,0.172283,1.641476,9.794922,0.132434,0.039484,0.136542,7.6125,-3.05625,-59.456253
1782300374121,0.165105,1.76351,9.49582,0.14343,0.057199,0.13532,7.6125,-3.05625,-59.456253
1782300374128,0.165105,1.76351,9.49582,0.14343,0.057199,0.13532,7.29375,-2.75625,-58.687504
1782300374129,0.165105,1.76351,9.49582,0.127548,0.063919,0.137153,7.29375,-2.75625,-58.687504
1782300374130,0.102891,1.852045,9.285251,0.127548,0.063919,0.137153,7.29375,-2.75625,-58.687504
1782300374139,0.102891,1.852045,9.285251,0.091507,0.074914,0.141429,7.29375,-2.75625,-58.687504
1782300374140,0.047856,1.926222,9.251751,0.091507,0.074914,0.141429,7.29375,-2.75625,-58.687504
1782300374141,0.047856,1.926222,9.251751,0.091507,0.074914,0.141429,8.4375,-4.0875,-60.525002
1782300374147,0.002393,1.990828,9.318751,0.045081,0.077358,0.143873,8.4375,-4.0875,-60.525002
1782300374148,0.002393,1.990828,9.318751,0.045081,0.077358,0.143873,9.1875,-2.325,-62.025002
1782300374156,-0.038285,2.012364,9.388143,0.000488,0.081023,0.146316,9.1875,-2.325,-62.025002
1782300374159,-0.038285,2.012364,9.388143,0.000488,0.081023,0.146316,7.2,-3.1875,-60.056252
1782300374164,-0.078963,2.019542,9.424035,-0.039829,0.07919,0.14937,7.2,-3.1875,-60.056252
1782300374169,-0.078963,2.019542,9.424035,-0.039829,0.07919,0.14937,7.4625,-2.90625,-59.306252
1782300374172,-0.181855,1.974079,9.569997,-0.072205,0.060253,0.151814,7.4625,-2.90625,-59.306252
1782300374178,-0.181855,1.974079,9.569997,-0.072205,0.060253,0.151814,7.89375,-1.425,-60.337502
1782300374181,-0.200997,1.942972,9.689639,-0.095418,0.042538,0.158533,7.89375,-1.425,-60.337502
1782300374190,-0.215354,1.844866,9.818851,-0.120464,0.021769,0.16342,7.5,-2.15625,-61.406254
1782300374199,-0.215354,1.844866,9.818851,-0.144287,0.006497,0.167696,7.5,-2.15625,-61.406254
1782300374200,-0.167498,1.706083,9.912171,-0.144287,0.006497,0.167696,8.325001,-1.29375,-59.437504
1782300374207,-0.122034,1.612762,10.024634,-0.1675,0.000389,0.173194,8.325001,-1.29375,-59.437504
1782300374208,-0.122034,1.612762,10.024634,-0.1675,0.000389,0.173194,9.31875,-4.25625,-59.606251
1782300374216,-0.055035,1.536192,10.134703,-0.18827,0.007719,0.179303,9.31875,-4.25625,-59.606251
1782300374218,-0.055035,1.536192,10.134703,-0.18827,0.007719,0.179303,7.0875,-3.76875,-60.975002
1782300374224,0.011964,1.5003,10.177774,-0.201098,0.023602,0.187244,7.0875,-3.76875,-60.975002
1782300374230,0.011964,1.5003,10.177774,-0.201098,0.023602,0.187244,7.4625,-1.875,-60.356251
1782300374233,0.050249,1.485943,10.172988,-0.205374,0.046204,0.195796,7.4625,-1.875,-60.356251
1782300374239,0.050249,1.485943,10.172988,-0.205374,0.046204,0.195796,8.868751,-2.75625,-60.956253
1782300374241,0.066999,1.4668,10.079669,-0.20293,0.063919,0.203737,8.868751,-2.75625,-60.956253
1782300374249,0.066999,1.4668,10.079669,-0.20293,0.063919,0.203737,9.58125,-2.04375,-60.506252
1782300374250,0.090927,1.457229,9.971991,-0.194378,0.068806,0.209846,9.58125,-2.04375,-60.506252
1782300374259,0.119641,1.478764,9.859529,-0.185215,0.067584,0.210457,8.8125,-2.04375,-59.887501
1782300374267,0.09332,1.562513,9.766209,-0.165057,0.056588,0.204959,8.8125,-2.04375,-59.887501
1782300374268,0.09332,1.562513,9.766209,-0.165057,0.056588,0.204959,8.0625,-1.275,-60.956253
1782300374275,0.09332,1.562513,9.766209,-0.131459,0.040095,0.195185,8.0625,-1.275,-60.956253
1782300374276,0.064606,1.646262,9.63939,-0.131459,0.040095,0.195185,8.0625,-1.275,-60.956253
1782300374278,0.064606,1.646262,9.63939,-0.131459,0.040095,0.195185,8.64375,-2.19375,-59.287502
1782300374284,0.038285,1.749153,9.435999,-0.085644,0.021158,0.182357,8.64375,-2.19375,-59.287502
1782300374289,0.038285,1.749153,9.435999,-0.085644,0.021158,0.182357,8.85,-3.35625,-59.906254
1782300374299,-0.009571,1.820938,9.179967,-0.04716,-0.012439,0.165864,8.85,-3.35625,-59.906254
1782300374300,-0.009571,1.820938,9.179967,-0.04716,-0.012439,0.165864,8.231251,-2.45625,-60.356251
1782300374301,-0.01675,1.90708,9.007684,-0.020893,-0.057643,0.146316,8.231251,-2.45625,-60.356251
1782300374308,-0.01675,1.90708,9.007684,-0.020893,-0.057643,0.146316,8.137501,-1.14375,-58.818752
1782300374310,0.019143,1.998007,8.938292,-0.009286,-0.099182,0.12799,8.137501,-1.14375,-58.818752
