ts,x,y,heading
1782300373805,8.460000,46.476000,west
1782300373905,8.354000,46.476000,west
1782300374005,8.249000,46.476000,west
1782300374105,8.143000,46.476000,west
1782300374205,8.037000,46.476000,west
1782300374305,7.932000,46.476000,west
1782300374405,7.826000,46.476000,west
1782300374505,7.720000,46.476000,west
1782300374605,7.615000,46.476000,west
1782300374705,7.509000,46.476000,west
1782300374805,7.403000,46.476000,west
1782300374905,7.297000,46.476000,west
1782300375005,7.192000,46.476000,west
1782300375105,7.086000,46.476000,west
1782300375205,6.980000,46.476000,west
1782300375305,6.875000,46.476000,west
1782300375405,6.769000,46.476000,west
1782300375505,6.663000,46.476000,west
1782300375605,6.558000,46.476000,west
1782300375705,6.452000,46.476000,west
1782300375805,6.346000,46.476000,west
1782300375905,6.240000,46.476000,west
1782300376005,6.135000,46.476000,west
1782300376105,6.029000,46.476000,west
1782300376205,5.923000,46.476000,west
1782300376305,5.818000,46.476000,west
1782300376405,5.712000,46.476000,west
1782300376505,5.606000,46.476000,west
1782300376605,5.501000,46.476000,west
1782300376705,5.395000,46.476000,west
1782300376805,5.289000,46.476000,west
1782300376905,5.183000,46.476000,west
1782300377005,5.078000,46.476000,west
1782300377105,4.972000,46.476000,west
1782300377205,4.866000,46.476000,west
1782300377305,4.761000,46.476000,west
1782300377405,4.655000,46.476000,west
1782300377505,4.549000,46.476000,west
1782300377605,4.444000,46.476000,west
1782300377705,4.338000,46.476000,west
1782300377805,4.232000,46.476000,west
1782300377905,4.126000,46.476000,west
1782300378005,4.021000,46.476000,west
1782300378105,3.915000,46.476000,west
1782300378205,3.809000,46.476000,west
1782300378305,3.704000,46.476000,west
1782300378405,3.598000,46.476000,west
1782300378505,3.492000,46.476000,west
1782300378605,3.387000,46.476000,west
1782300378705,3.281000,46.476000,west
1782300378805,3.175000,46.476000,west
1782300378905,3.069000,46.476000,west
1782300379005,2.964000,46.476000,west
1782300379105,2.858000,46.476000,west
1782300379205,2.752000,46.476000,west
1782300379305,2.647000,46.476000,west
1782300379405,2.541000,46.476000,west
1782300379505,2.435000,46.476000,west
1782300379605,2.330000,46.476000,west
1782300379705,2.224000,46.476000,west
1782300379805,2.118000,46.476000,west
1782300379905,2.012000,46.476000,west
1782300380005,1.907000,46.476000,west
1782300380105,1.801000,46.476000,west
1782300380205,1.695000,46.476000,west
1782300380305,1.590000,46.476000,west
1782300380405,1.484000,46.476000,west
1782300380505,1.378000,46.476000,west
1782300380605,1.273000,46.476000,west
1782300380705,1.167000,46.476000,west
1782300380805,1.061000,46.476000,west
1782300380905,0.956000,46.476000,west
1782300381005,0.850000,46.476000,west
1782300381105,0.744000,46.476000,west
1782300381205,0.638000,46.476000,west
1782300381305,0.533000,46.476000,west
1782300381405,0.427000,46.476000,west
1782300381505,0.321000,46.476000,west
1782300381605,0.216000,46.476000,west
1782300381705,0.110000,46.476000,west
1782300381805,0.004000,46.476000,west
1782300381809,0.000000,46.476000,west
1782300381809,0.000000,46.476000,south
1782300381909,0.000000,46.364000,south
1782300382009,0.000000,46.251000,south
1782300382109,0.000000,46.139000,south
1782300382209,0.000000,46.026000,south
1782300382309,0.000000,45.914000,south
1782300382409,0.000000,45.802000,south
1782300382509,0.000000,45.689000,south
1782300382609,0.000000,45.577000,south
1782300382709,0.000000,45.465000,south
1782300382809,0.000000,45.352000,south
1782300382909,0.000000,45.240000,south
1782300383009,0.000000,45.128000,south
1782300383109,0.000000,45.015000,south
1782300383209,0.000000,44.903000,south
1782300383309,0.000000,44.790000,south
1782300383409,0.000000,44.678000,south
1782300383509,0.000000,44.566000,south
