scanTs,bssid,ssid,rssi,freq
1782300373727,00:08:2f:b1:ea:9d,Hidden Network,-90,5180
1782300373727,00:08:2f:b1:89:20,NU,-79,2412
1782300373727,00:08:2f:b1:89:21,NUGuest,-80,2412
1782300373727,1c:de:a7:1a:e6:0f,NU,-84,5180
1782300373727,1c:de:a7:1a:e6:0e,NUGuest,-84,5180
1782300373727,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-84,5180
1782300373727,1c:de:a7:1a:e6:0c,NU_Devices,-84,5180
1782300373727,00:08:2f:b1:89:23,NU_Devices,-82,2412
1782300373727,00:08:2f:b1:89:25,NU_Campus_WiFi,-80,2412
1782300373727,00:08:2f:b1:ea:9e,NUGuest,-92,5180
1782300373727,1c:de:a7:1a:e6:0d,Hidden Network,-85,5180
1782300373727,00:08:2f:b1:90:0f,NU,-82,5200
1782300373727,00:08:2f:b1:90:0e,NUGuest,-83,5200
1782300373727,7c:8b:ca:53:43:08,TP-LINK_4308,-77,2417
1782300373727,00:08:2f:c3:36:cf,NU,-92,5200
1782300373727,00:08:2f:b1:89:2f,NU,-84,5200
1782300373727,00:08:2f:b1:89:2c,NU_Devices,-81,5200
1782300373727,00:08:2f:b1:89:2e,NUGuest,-81,5200
1782300373727,00:08:2f:b1:89:2a,NU_Campus_WiFi,-81,5200
1782300373727,00:08:2f:b1:90:0c,NU_Devices,-84,5200
1782300373727,00:08:2f:c3:36:cd,Hidden Network,-91,5200
1782300373727,00:08:2f:b1:90:0a,NU_Campus_WiFi,-83,5200
1782300373727,00:08:2f:c3:3b:8d,Hidden Network,-90,5220
1782300373727,00:08:2f:c3:3b:8e,NUGuest,-92,5220
1782300373727,00:08:2f:c3:3f:5c,NU_Devices,-92,5240
1782300373727,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-90,5240
1782300373727,f8:1a:67:8f:f6:36,Bridge,-59,2427
1782300373727,00:08:2f:c3:3b:81,NUGuest,-74,2437
1782300373727,d4:c9:3c:db:62:80,NU_Devices,-68,2462
1782300373727,d4:c9:3c:db:62:81,NU,-70,2462
1782300373727,d4:c9:3c:db:62:83,NU_Campus_WiFi,-70,2462
1782300373727,d4:c9:3c:db:62:8e,NU,-90,5320
1782300373727,d4:c9:3c:db:62:8d,Hidden Network,-91,5320
1782300373727,d4:c9:3c:db:62:8f,NU_Devices,-91,5320
1782300378717,00:08:2f:b1:89:20,NU,-63,2412
1782300378717,00:08:2f:b1:ea:90,NU,-51,2412
1782300378717,00:08:2f:b1:ea:91,NUGuest,-49,2412
1782300378717,00:08:2f:b1:ea:92,Hidden Network,-48,2412
1782300378717,00:08:2f:b1:89:21,NUGuest,-62,2412
1782300378717,00:08:2f:b1:89:23,NU_Devices,-63,2412
1782300378717,1c:de:a7:1a:e6:0f,NU,-90,5180
1782300378717,00:08:2f:b1:ea:93,NU_Devices,-51,2412
1782300378717,00:08:2f:b1:ea:9d,Hidden Network,-60,5180
1782300378717,00:08:2f:b1:ea:9f,NU,-58,5180
1782300378717,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-59,5180
1782300378717,00:08:2f:b1:ea:9c,NU_Devices,-59,5180
1782300378717,00:08:2f:b1:ea:9e,NUGuest,-59,5180
1782300378717,00:08:2f:b1:89:8f,NU,-71,5200
1782300378717,00:08:2f:b1:89:2e,NUGuest,-68,5200
1782300378717,00:08:2f:b1:89:8e,NUGuest,-71,5200
1782300378717,00:08:2f:b1:89:2c,NU_Devices,-69,5200
1782300378717,00:08:2f:b1:89:2a,NU_Campus_WiFi,-69,5200
1782300378717,00:08:2f:b1:89:8c,NU_Devices,-71,5200
1782300378717,00:08:2f:b1:89:8a,NU_Campus_WiFi,-70,5200
1782300378717,00:08:2f:b1:89:2f,NU,-69,5200
1782300378717,00:08:2f:c3:3b:8f,NU,-62,5220
1782300378717,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-61,5220
1782300378717,00:08:2f:c3:3b:8e,NUGuest,-61,5220
1782300378717,00:08:2f:c3:3b:8c,NU_Devices,-61,5220
1782300378717,00:08:2f:c3:3b:8d,Hidden Network,-62,5220
1782300378717,00:08:2f:c3:9c:fd,Hidden Network,-84,5240
1782300378717,00:08:2f:c3:3f:5e,NUGuest,-73,5240
1782300378717,00:08:2f:c3:3f:5f,NU,-73,5240
1782300378717,00:08:2f:c3:9c:fe,NUGuest,-84,5240
1782300378717,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-84,5240
1782300378717,00:08:2f:c3:9c:fc,NU_Devices,-84,5240
1782300378717,00:08:2f:c3:3f:5c,NU_Devices,-74,5240
1782300378717,00:08:2f:c3:3f:5a,NU_Campus_WiFi,-72,5240
1782300378717,1c:de:a7:1a:e6:00,NU,-80,2437
1782300378717,00:08:2f:c3:3b:80,NU,-57,2437
1782300378717,00:08:2f:c3:3b:81,NUGuest,-57,2437
1782300378717,00:08:2f:c3:3b:83,NU_Devices,-57,2437
1782300378717,00:08:2f:c3:3b:85,NU_Campus_WiFi,-57,2437
1782300378717,00:08:2f:c3:3f:50,NU,-72,2462
1782300378717,00:08:2f:c3:3f:51,NUGuest,-71,2462
1782300378717,00:08:2f:c3:3f:53,NU_Devices,-71,2462
1782300378717,00:08:2f:c3:3f:55,NU_Campus_WiFi,-72,2462
1782300378717,00:08:2f:b1:89:80,NU,-68,2462
1782300378717,00:08:2f:c3:96:2f,NU,-91,5300
1782300378717,00:08:2f:c3:96:2c,NU_Devices,-90,5300
1782300378717,00:08:2f:c3:96:2a,NU_Campus_WiFi,-89,5300
1782300378717,00:08:2f:c3:96:2d,Hidden Network,-90,5300
1782300378717,00:08:2f:c3:96:2e,NUGuest,-90,5300
1782300378717,34:b8:83:b6:c6:ae,NU,-94,5320
1782300383716,00:08:2f:c3:9c:f0,NU,-70,2412
1782300383716,00:08:2f:c3:9c:f1,NUGuest,-71,2412
1782300383716,00:08:2f:b1:ea:9c,NU_Devices,-75,5180
1782300383716,00:08:2f:b1:ea:9e,NUGuest,-75,5180
1782300383716,00:08:2f:b1:ea:9f,NU,-75,5180
1782300383716,00:08:2f:b1:ea:9a,NU_Campus_WiFi,-75,5180
1782300383716,1c:de:a7:1a:e6:0c,NU_Devices,-83,5180
1782300383716,1c:de:a7:1a:e6:0a,NU_Campus_WiFi,-82,5180
1782300383716,1c:de:a7:1a:e6:0e,NUGuest,-83,5180
1782300383716,00:08:2f:b1:89:8c,NU_Devices,-89,5200
1782300383716,00:08:2f:b1:89:2f,NU,-78,5200
1782300383716,00:08:2f:b1:89:8a,NU_Campus_WiFi,-90,5200
1782300383716,bc:67:1c:e4:fd:ce,NUGuest,-88,5200
1782300383716,00:08:2f:c3:36:cc,NU_Devices,-90,5200
1782300383716,00:08:2f:b1:89:2e,NUGuest,-77,5200
1782300383716,00:08:2f:b1:89:2c,NU_Devices,-76,5200
1782300383716,00:08:2f:c3:36:ca,NU_Campus_WiFi,-92,5200
1782300383716,00:08:2f:b1:89:2a,NU_Campus_WiFi,-77,5200
1782300383716,00:08:2f:b1:89:8f,NU,-91,5200
1782300383716,00:08:2f:c3:3b:8e,NUGuest,-57,5220
1782300383716,00:08:2f:c3:3b:8f,NU,-57,5220
1782300383716,00:08:2f:c3:3b:8a,NU_Campus_WiFi,-57,5220
1782300383716,00:08:2f:c3:3b:8c,NU_Devices,-57,5220
1782300383716,00:08:2f:c3:3b:8d,Hidden Network,-59,5220
1782300383716,00:08:2f:c3:9c:fd,Hidden Network,-78,5240
1782300383716,00:08:2f:c3:9c:ff,NU,-79,5240
1782300383716,00:08:2f:c3:9c:fc,NU_Devices,-79,5240
1782300383716,00:08:2f:c3:9c:fa,NU_Campus_WiFi,-79,5240
1782300383716,00:08:2f:c3:9c:fe,NUGuest,-80,5240
1782300383716,00:08:2f:c3:3b:82,Hidden Network,-54,2437
1782300383716,00:08:2f:c3:3b:83,NU_Devices,-55,2437
1782300383716,00:08:2f:c3:3b:85,NU_Campus_WiFi,-54,2437
