ts_ms,x,y,heading
1774593377595,0,0,S
1774593382542,1,0,E
1774593383992,2,0,E
1774593385344,3,0,E
1774593386858,4,0,E
1774593388213,5,0,E
1774593389716,6,0,E
1774593391141,7,0,E
1774593392665,8,0,E
1774593394330,9,0,E
1774593395973,10,0,E
1774593397615,11,0,E
1774593399314,12,0,E
1774593400831,13,0,E
1774593402463,14,0,E
1774593404070,15,0,E
1774593405698,16,0,E
1774593407395,17,0,E
1774593408873,18,0,E
1774593410393,19,0,E
1774593411979,20,0,E
1774593413545,21,0,E
1774593415104,22,0,E
1774593416611,23,0,E
1774593420085,24,0,E
1774593421560,25,0,E
1774593423119,26,0,E
1774593424829,27,0,E
1774593426485,28,0,E
1774593427812,29,0,E
1774593429585,30,0,E
1774593431176,31,0,E
1774593432685,32,0,E
1774593434225,33,0,E
1774593435800,34,0,E
1774593437459,35,0,E
1774593439059,36,0,E
1774593440549,37,0,E
1774593442124,38,0,E
1774593443924,39,0,E
1774593445729,40,0,E
1774593447397,41,0,E
1774593449156,42,0,E
1774593450645,43,0,E
1774593452129,44,0,E
1774593453771,45,0,E
1774593455322,46,0,E
1774593456913,47,0,E
1774593458494,48,0,E
1774593460111,49,0,E
1774593461729,50,0,E
1774593463454,51,0,E
1774593465085,52,0,E
1774593466694,53,0,E
1774593468261,54,0,E
1774593469951,55,0,E
1774593471703,56,0,E
1774593473250,57,0,E
1774593474958,58,0,E
1774593476651,59,0,E
1774593478350,60,0,E
1774593480022,61,0,E
1774593481810,62,0,E
1774593483398,63,0,E
1774593485013,64,0,E
1774593486531,65,0,E
1774593488197,66,0,E
1774593490366,67,0,E
1774593492380,68,0,E
1774593493871,69,0,E
1774593496205,70,0,E
1774593497664,71,0,E
1774593499446,72,0,E
1774593501180,73,0,E
1774593502596,74,0,E
1774593504161,75,0,E
1774593505937,76,0,E
1774593507669,77,0,E
1774593509388,78,0,E
1774593510829,79,0,E
1774593512336,80,0,E
1774593513885,81,0,E
1774593515459,82,0,E
1774593517093,83,0,E
1774593518760,84,0,E
1774593520452,85,0,E
1774593522079,86,0,E
1774593523986,87,0,E
1774593525642,88,0,E
1774593527253,89,0,E
1774593528942,90,0,E
1774593530550,91,0,E
1774593532066,92,0,E
1774593533750,93,0,E
1774593535622,94,0,E
1774593537272,95,0,E
1774593538897,96,0,E
1774593540472,97,0,E
1774593542063,98,0,E
1774593543763,99,0,E
1774593545487,100,0,E
1774593546995,101,0,E
1774593548788,102,0,E
1774593550776,103,0,E
1774593568393,103,1,S
1774593570707,103,2,S
1774593572050,103,3,S
1774593573391,103,4,S
1774593575141,103,5,S
1774593576648,103,6,S
1774593578298,103,7,S
1774593579831,103,8,S
1774593581280,103,9,S
1774593583107,103,10,S
1774593584695,103,11,S
1774593586133,103,12,S
1774593587738,103,13,S
1774593589397,103,14,S
1774593591038,103,15,S
1774593592715,103,16,S
1774593594237,103,17,S
1774593595830,103,18,S
1774593597604,103,19,S
1774593599362,103,20,S
1774593600972,103,21,S
1774593602719,103,22,S
1774593604410,103,23,S
1774593606137,103,24,S
1774593607869,103,25,S
1774593609653,103,26,S
1774593611219,103,27,S
1774593612868,103,28,S
1774593614468,103,29,S
1774593616078,103,30,S
1774593617642,103,31,S
1774593619391,103,32,S
1774593621101,103,33,S
1774593622909,103,34,S
1774593624766,103,35,S
1774593626483,103,36,S
1774593628133,103,37,S
1774593629933,103,38,S
1774593633597,103,39,S
1774593635515,103,40,S
1774593637389,103,41,S
1774593639281,103,42,S
1774593640847,103,43,S
1774593642797,103,44,S
1774593644811,103,45,S
1774593646538,103,46,S
1774593651069,103,47,S
1774593652226,103,48,S
1774593658784,102,48,W
1774593662332,101,48,W
1774593664575,100,48,W
1774593681928,99,48,W
1774593683371,98,48,W
1774593684912,97,48,W
1774593686335,96,48,W
1774593687910,95,48,W
1774593689269,94,48,W
1774593690791,93,48,W
1774593692201,92,48,W
1774593693617,91,48,W
1774593695223,90,48,W
1774593696724,89,48,W
1774593698141,88,48,W
1774593699641,87,48,W
1774593701265,86,48,W
1774593702680,85,48,W
1774593704173,84,48,W
1774593705554,83,48,W
1774593707136,82,48,W
1774593708536,81,48,W
1774593710088,80,48,W
1774593711561,79,48,W
1774593713121,78,48,W
1774593714469,77,48,W
1774593716027,76,48,W
1774593717635,75,48,W
1774593719218,74,48,W
1774593720901,73,48,W
1774593722408,72,48,W
1774593723941,71,48,W
1774593725485,70,48,W
1774593727092,69,48,W
1774593733292,69,47,N
1774593735015,69,46,N
1774593736826,69,45,N
1774593738374,69,44,N
1774593739829,69,43,N
1774593741288,69,42,N
1774593742814,69,41,N
1774593744720,69,40,N
1774593746312,69,39,N
1774593747963,69,38,N
1774593749528,69,37,N
1774593751086,69,36,N
1774593752602,69,35,N
1774593754069,69,34,N
1774593755701,69,33,N
1774593757127,69,32,N
1774593758584,69,31,N
1774593760108,69,30,N
1774593761692,69,29,N
1774593763139,69,28,N
1774593764816,69,27,N
1774593766232,69,26,N
1774593767692,69,25,N
1774593769248,69,24,N
1774593770608,69,23,N
1774593772107,69,22,N
1774593773490,69,21,N
1774593775099,69,20,N
1774593776633,69,19,N
1774593778105,69,18,N
1774593779872,69,17,N
1774593781397,69,16,N
1774593783031,69,15,N
1774593784564,69,14,N
1774593786106,69,13,N
1774593787622,69,12,N
1774593789357,69,11,N
1774593790962,69,10,N
1774593792654,69,9,N
1774593794320,69,8,N
1774593795879,69,7,N
1774593797372,69,6,N
1774593799020,69,5,N
1774593800761,69,4,N
1774593802494,69,3,N
1774593804437,69,2,N
1774593806426,69,1,N
1774593807922,69,0,N
1774593812758,68,0,W
1774593814407,67,0,W
1774593815908,66,0,W
1774593817483,65,0,W
1774593819064,64,0,W
1774593820657,63,0,W
1774593822291,62,0,W
1774593824313,61,0,W
1774593825871,60,0,W
1774593827498,59,0,W
1774593828986,58,0,W
1774593830445,57,0,W
1774593832029,56,0,W
1774593833679,55,0,W
1774593835219,54,0,W
1774593837068,53,0,W
1774593838518,52,0,W
1774593840300,51,0,W
1774593841742,50,0,W
1774593843425,49,0,W
1774593845074,48,0,W
1774593846584,47,0,W
1774593848174,46,0,W
1774593849706,45,0,W
1774593851263,44,0,W
1774593852871,43,0,W
1774593854414,42,0,W
1774593856237,41,0,W
