ts_ns,ax,ay,az,gx,gy,gz,mx,my,mz
1774594644342,1.0821792,3.8115692,8.66701,-0.26389378,0.36041048,-0.05009095,-23.64,-15.12,-16.44
1774594644356,1.1204864,3.7349546,8.724471,-0.27366763,0.35063666,-0.0720821,-24.539999,-15.599999,-16.859999
1774594644366,1.2737153,3.7493198,8.791509,-0.25289822,0.31398472,-0.09407325,-24.72,-15.66,-16.619999
1774594644377,1.1923125,3.787627,8.829816,-0.22357668,0.2761111,-0.11362094,-25.5,-17.22,-16.98
1774594644389,0.9720459,3.6774938,8.662222,-0.1685988,0.23457226,-0.14660765,-24.9,-16.199999,-17.1
1774594644400,0.94331545,3.5817258,8.710106,-0.17715092,0.20891592,-0.14172074,-24.42,-16.08,-17.4
1774594644410,0.91458505,3.5529952,8.834604,-0.18692477,0.20647246,-0.12950343,-23.82,-15.179999,-17.46
1774594644422,0.89064306,3.5865142,8.920795,-0.20769419,0.21502456,-0.10629055,-22.68,-15.78,-17.22
1774594644432,0.91458505,3.6056678,8.935161,-0.20647246,0.20280726,-0.10262536,-22.32,-15.78,-16.859999
1774594644442,0.94331545,3.596091,8.987833,-0.20525073,0.18692477,-0.103847094,-21.96,-15.839999,-16.92
1774594644456,0.91937345,3.6248214,8.99741,-0.20891592,0.1966986,-0.10140363,-22.02,-15.48,-17.279999
1774594644466,0.90979666,3.596091,8.963891,-0.2125811,0.1966986,-0.10629055,-22.199999,-15.24,-17.88
1774594644475,0.8810662,3.5769374,8.839393,-0.23701571,0.17592919,-0.11362094,-22.439999,-14.759999,-18.779999
1774594644489,0.91458505,3.6343982,8.772355,-0.24801129,0.16126843,-0.11728613,-22.38,-14.7,-18.119999
1774594644499,1.1731589,3.8546648,8.604761,-0.26145032,0.13316862,-0.13805555,-22.26,-14.04,-17.46
1774594644509,1.3263878,4.0318356,8.485051,-0.31031954,0.04886922,-0.24190263,-21.9,-13.799999,-17.22
1774594644520,1.4460979,4.209007,8.365341,-0.34330627,0.021991149,-0.30543262,-21.539999,-13.559999,-17.88
1774594644531,1.5514427,4.2999864,8.259995,-0.39706242,-0.017104227,-0.40683624,-21.48,-13.32,-18.24
1774594644541,1.4748282,3.98874,8.197746,-0.535118,-0.073303826,-0.5852089,-20.4,-12.599999,-17.94
1774594644551,1.2449849,3.6631286,8.212111,-0.6230826,-0.080634214,-0.65484756,-20.52,-12.54,-17.58
1774594644561,1.0342951,3.3566709,8.259995,-0.7171558,-0.09040806,-0.69027776,-20.46,-12.48,-17.279999
1774594644571,0.8283938,3.0454245,8.556877,-0.79168135,-0.0720821,-0.68661255,-21.24,-13.2,-17.699999
1774594644581,0.5315128,2.3989902,9.006987,-0.86009824,0.013439035,-0.6072,-21.6,-12.9,-18.9
1774594644591,0.39264908,2.111686,9.208099,-0.8527679,0.05375614,-0.54367006,-21.779999,-13.0199995,-19.68
1774594644601,0.2873042,1.8962077,9.471462,-0.8258898,0.0842994,-0.49480084,-21.72,-13.2,-19.14
1774594644612,0.39743748,2.054225,9.9550905,-0.7648033,0.1160644,-0.4361578,-21.48,-12.84,-18.84
1774594644622,0.4357447,2.231396,9.9790325,-0.57910025,0.15271631,-0.3726278,-21.84,-13.32,-18.779999
1774594644633,0.45968673,2.3319526,9.830592,-0.50579643,0.15515977,-0.3652974,-21.84,-12.84,-19.08
1774594644643,0.47884035,2.4372973,9.504981,-0.42394048,0.12217305,-0.35918877,-21.9,-13.0199995,-19.32
1774594644654,0.37349546,2.3463178,9.02614,-0.3408628,-0.012217305,-0.36041048,-21.66,-12.54,-18.48
1774594644664,0.30645782,2.480393,8.671799,-0.32375857,-0.096516706,-0.36774087,-21.72,-12.36,-18.119999
1774594644675,0.40701428,2.2840683,9.107543,-0.3200934,-0.19303341,-0.38606682,-22.439999,-12.42,-18.0
1774594644685,0.7278373,1.8962077,9.361329,-0.3200934,-0.15271631,-0.3921755,-22.56,-12.42,-18.06
1774594644695,1.2354081,1.6232687,9.083601,-0.35918877,-0.15271631,-0.50335294,-22.199999,-12.12,-18.6
1774594644705,0.7038953,1.958457,9.193734,-0.39095375,-0.09407325,-0.5900958,-22.08,-12.0,-18.84
1774594644715,0.19153613,2.1883004,9.006987,-0.4092797,-0.058643065,-0.5571091,-22.26,-12.059999,-19.5
1774594644725,-0.05746084,2.2026656,8.7292595,-0.43982297,-0.06719518,-0.40439278,-21.9,-11.88,-20.58
1774594644735,0.05267244,2.0350714,8.815451,-0.44348818,-0.087964594,-0.32742378,-21.6,-12.059999,-20.4
1774594644745,0.20111294,1.9057846,8.930372,-0.44226643,-0.08552113,-0.28588495,-21.539999,-12.12,-20.16
1774594644755,0.41180268,1.9776106,9.006987,-0.42149702,-0.06352998,-0.24801129,-21.72,-11.94,-19.74
1774594644765,0.6799533,2.2744915,8.987833,-0.37995818,-0.02443461,-0.26389378,-21.24,-11.82,-19.38
1774594644776,0.770933,2.3223755,9.030929,-0.37140608,-0.02565634,-0.29565877,-20.4,-10.679999,-19.859999
1774594644787,0.8331822,2.303222,9.150639,-0.3567453,-0.030543262,-0.3494149,-19.8,-10.38,-19.859999
1774594644798,0.7134721,1.7860745,8.892065,-0.37873647,-0.0061086523,-0.39461896,-20.039999,-9.84,-20.22
1774594644808,0.545878,1.6519991,8.561666,-0.43371433,-0.02076942,-0.3811799,-20.279999,-10.32,-20.22
1774594644820,0.41180268,1.5753847,8.48984,-0.5021312,-0.058643065,-0.35063666,-20.46,-10.559999,-20.1
1774594644830,0.47405192,1.5179238,8.676587,-0.6096435,-0.10995574,-0.32620203,-20.1,-10.679999,-19.56
1774594644841,0.5506664,1.4077905,8.748413,-0.65118235,-0.13194689,-0.3371976,-20.22,-10.44,-19.38
1774594644852,0.5602432,1.3072342,8.863335,-0.6768387,-0.14538592,-0.35796702,-20.699999,-10.559999,-19.74
1774594644862,0.6895301,1.091756,9.131485,-0.6792821,-0.119729586,-0.38606682,-21.119999,-10.08,-20.22
1774594644875,0.61291564,1.1109096,9.083601,-0.67073005,-0.09896017,-0.38240165,-21.48,-10.26,-20.039999
1774594644885,0.45968673,1.0151415,9.093178,-0.66706485,-0.07452556,-0.3555236,-21.66,-9.84,-20.16
1774594644896,0.45010993,0.82360536,8.959103,-0.68661255,-0.014660766,-0.3042109,-21.6,-9.66,-19.859999
1774594644907,0.33518824,0.8283938,8.834604,-0.70249504,-0.012217305,-0.27488935,-21.24,-8.88,-20.22
1774594644917,0.34476504,0.79966336,8.566454,-0.7318166,-0.017104227,-0.23457226,-21.24,-9.3,-20.039999
1774594644928,0.34476504,0.7230489,8.432379,-0.752586,-0.035430185,-0.21991149,-21.48,-9.0,-20.1
1774594644939,0.37828386,0.7038953,8.303091,-0.77946407,-0.09162979,-0.2125811,-21.9,-9.42,-20.039999
1774594644950,0.34955344,0.5363012,8.298303,-0.829555,-0.22968534,-0.18936823,-22.439999,-9.179999,-20.16
1774594644961,0.38307226,0.45489833,8.394072,-0.86498517,-0.30176744,-0.17592919,-21.84,-8.5199995,-20.46
1774594644972,0.35434186,0.38307226,8.5473,-0.8857546,-0.35918877,-0.16982053,-21.96,-8.4,-19.74
1774594644982,0.32561144,0.25378537,9.050082,-0.91996306,-0.47769663,-0.13683382,-21.779999,-7.3199997,-19.14
1774594644992,0.24899697,0.110133275,9.442732,-0.9089675,-0.4813618,-0.12095132,-22.14,-7.2599998,-18.66
1774594645002,0.2825158,-0.019153614,9.701305,-0.8881981,-0.45448375,-0.096516706,-22.199999,-6.8999996,-18.9
1774594645012,0.34955344,-0.110133275,9.911995,-0.8552113,-0.40439278,-0.06352998,-22.38,-7.08,-18.9
1774594645022,0.45489833,-0.22984336,9.969456,-0.8026769,-0.28344148,-0.013439035,-22.68,-6.48,-18.779999
1774594645033,0.5506664,-0.2777274,9.835381,-0.7867944,-0.2125811,-0.0036651916,-22.8,-6.12,-19.08
1774594645043,0.49799395,-0.2777274,9.701305,-0.7867944,-0.15760323,-0.014660766,-22.74,-5.4,-19.56
1774594645053,0.59376204,-0.35434186,9.572019,-0.8136725,-0.13927728,-0.052534413,-23.46,-6.6,-22.98
1774594645063,0.40701428,-0.46447513,9.595961,-0.816116,-0.13439035,-0.06963864,-23.58,-6.54,-22.859999
1774594645073,0.33039984,-0.8714894,9.720459,-0.8222246,-0.10140363,-0.04642576,-24.06,-6.54,-22.38
1774594645084,0.1436521,-1.5035586,9.89763,-0.8881981,0.039095376,0.064751714,-23.82,-6.6,-21.48
1774594645094,0.21068975,-1.7525556,10.199299,-1.078788,0.40561453,0.44593164,-23.64,-5.7599998,-20.46
