ts,bssid,ssid,rssi,freq
1774594649133,00:2c:c8:ed:bf:7e,"NUGuest",-71,5180
1774594649133,70:bd:96:bd:20:61,"NUGuest",-74,2412
1774594649133,70:bd:96:b9:16:0e,"NUGuest",-79,5280
1774594649133,00:2c:c8:ed:bf:7d,"NUEAP",-71,5180
1774594649133,70:bd:96:bd:20:60,"NU",-74,2412
1774594649133,ac:1f:09:0f:cd:c3,"RAK7289V2_CDC3",-80,2427
1774594649133,4a:22:54:d8:93:b0,,-85,5220
1774594649133,34:b8:83:33:7d:4d,"NUEAP",-89,5660
1774594649133,70:bd:96:bd:20:62,"NUEAP",-74,2412
1774594649133,70:bd:96:b9:16:0f,"NU",-80,5280
1774594649133,34:b8:83:33:7d:4e,"NUGuest",-89,5660
1774594649133,70:bd:96:bd:37:0f,"NU",-88,5320
1774594649133,70:bd:96:bd:37:0d,"NUEAP",-86,5320
1774594649133,70:bd:96:bd:37:0e,"NUGuest",-87,5320
1774594649133,48:22:54:f8:95:4b,"ROB_322",-71,2432
1774594649133,70:bd:96:bd:30:0f,"NU",-67,5660
1774594649133,70:bd:96:bd:30:0e,"NUGuest",-67,5660
1774594649133,c0:25:06:78:c4:9e,"<~~~skynet~~~>",-80,2462
1774594649133,70:bd:96:bd:2f:61,"NUGuest",-43,2462
1774594649133,70:bd:96:bd:2f:60,"NU",-43,2462
1774594649133,70:bd:96:bd:2f:6e,"NUGuest",-59,5320
1774594649133,70:bd:96:bd:2f:6d,"NUEAP",-59,5320
1774594649133,70:bd:96:bd:2f:6f,"NU",-58,5320
1774594649133,9c:53:22:a3:65:a4,"TPLink_VT",-81,2422
1774594649133,70:bd:96:bc:c8:22,"NUEAP",-79,2412
1774594649133,48:22:54:f8:93:b2,"TP-Link_93B0_5G",-86,5220
1774594649133,48:22:54:f8:93:b0,"TP-Link_93B0",-79,2442
1774594649133,70:bd:96:bd:30:0d,"NUEAP",-66,5660
1774594649133,00:2c:c8:ed:bf:71,"NUGuest",-61,2437
1774594649133,00:2c:c8:ed:bf:70,"NU",-62,2437
1774594649133,70:bd:96:bd:20:8e,"NUGuest",-86,5280
1774594649133,70:bd:96:bd:20:8d,"NUEAP",-89,5280
1774594649133,00:2c:c8:ed:bf:72,"NUEAP",-62,2437
1774594649133,70:bd:96:bd:07:42,"NUEAP",-72,2437
1774594649133,70:bd:96:bd:20:6e,"NUGuest",-73,5660
1774594649133,70:bd:96:bd:20:8f,"NU",-86,5280
1774594649133,70:bd:96:bd:07:4d,"NUEAP",-90,5280
1774594649133,70:bd:96:bd:20:6d,"NUEAP",-70,5660
1774594649133,70:bd:96:bd:07:4e,"NUGuest",-89,5280
1774594649133,00:2c:c8:ed:bf:7f,"NU",-71,5180
1774594649133,70:bd:96:bd:20:6f,"NU",-72,5660
1774594654241,06:31:92:ce:da:d2,,-81,2437
1774594654241,00:2c:c8:ed:bf:7e,"NUGuest",-66,5180
1774594654241,70:bd:96:b9:16:0e,"NUGuest",-75,5280
1774594654241,00:2c:c8:ed:bf:7d,"NUEAP",-65,5180
1774594654241,70:bd:96:b9:16:0d,"NUEAP",-74,5280
1774594654241,ac:1f:09:0f:cd:c3,"RAK7289V2_CDC3",-78,2427
1774594654241,4a:22:54:d8:93:b0,,-83,5220
1774594654241,70:bd:96:bd:33:6d,"NUEAP",-85,5320
1774594654241,d4:a1:48:46:8c:d0,"HUAWEI-B315-8CD0",-78,2412
1774594654241,70:bd:96:b9:16:0f,"NU",-79,5280
1774594654241,70:bd:96:bd:2f:62,"NUEAP",-54,2462
1774594654241,70:bd:96:bd:30:0f,"NU",-71,5660
1774594654241,70:bd:96:bd:30:0e,"NUGuest",-70,5660
1774594654241,68:71:61:19:16:4f,"NU",-80,5660
1774594654241,c0:25:06:78:c4:9e,"<~~~skynet~~~>",-80,2462
1774594654241,32:13:8b:5e:b0:84,"DIRECT-84-HP Laser 137fnw",-83,2462
1774594654241,68:71:61:19:16:4d,"NUEAP",-79,5660
1774594654241,70:bd:96:bd:2f:61,"NUGuest",-54,2462
1774594654241,68:71:61:19:16:4e,"NUGuest",-80,5660
1774594654241,70:bd:96:bd:2f:60,"NU",-54,2462
1774594654241,70:bd:96:bd:2f:6e,"NUGuest",-63,5320
1774594654241,70:bd:96:bd:2f:6d,"NUEAP",-63,5320
1774594654241,70:bd:96:bd:21:0d,"NUEAP",-80,5220
1774594654241,70:bd:96:bd:2f:6f,"NU",-66,5320
1774594654241,70:bd:96:bd:21:0f,"NU",-80,5220
1774594654241,8c:86:dd:03:7e:68,"NU_6321",-82,2452
1774594654241,58:df:59:30:22:01,"NUGuest",-85,2412
