ts,bssid,ssid,rssi,freq
1771922306409,00:2c:c8:ed:bf:7e,NUGuest,-43,5220
1771922306409,00:2c:c8:ed:bf:b0,NU,-83,2412
1771922306409,00:2c:c8:ed:bf:7d,NUEAP,-42,5220
1771922306409,40:01:7a:c1:80:b0,NU,-68,2462
1771922306409,40:01:7a:c1:80:b1,NUGuest,-67,2462
1771922306409,34:b8:83:33:7d:4d,NUEAP,-78,5660
1771922306409,40:01:7a:c1:80:b2,NUEAP,-67,2462
1771922306409,34:b8:83:33:7d:4e,NUGuest,-79,5660
1771922306409,34:b8:83:33:7d:4f,NU,-78,5660
1771922306409,70:bd:96:bd:2f:62,NUEAP,-72,2462
1771922306409,48:22:54:f8:95:4b,ROB_322,-77,2432
1771922306409,40:01:7a:c1:80:bd,NUEAP,-83,5320
1771922306409,c0:25:06:78:c4:9e,<~~~skynet~~~>,-67,2412
1771922306409,40:01:7a:c1:80:bf,NU,-82,5320
1771922306409,00:2c:c8:8b:8f:9e,NUGuest,-68,5180
1771922306409,b8:27:eb:c5:da:7e,rpizero,-73,2437
1771922306409,00:2c:c8:8b:8f:9f,NU,-68,5180
1771922306409,70:bd:96:bd:2f:61,NUGuest,-72,2462
1771922306409,00:2c:c8:8b:8f:9d,NUEAP,-68,5180
1771922306409,70:bd:96:bd:2f:60,NU,-71,2462
1771922306409,58:df:59:30:1b:8d,NUEAP,-86,5320
1771922306409,70:bd:96:bd:2f:6e,NUGuest,-70,5320
1771922306409,58:df:59:30:1b:8e,NUGuest,-86,5320
1771922306409,70:bd:96:bd:2f:6d,NUEAP,-70,5320
1771922306409,58:df:59:30:1b:8f,NU,-86,5320
1771922306409,70:bd:96:bd:2f:6f,NU,-71,5320
1771922306409,00:2c:c8:8b:8f:91,NUGuest,-69,2437
1771922306409,00:2c:c8:8b:8f:92,NUEAP,-69,2437
1771922306409,00:31:92:cf:d2:fd,TP-Link_345,-75,2447
1771922306409,40:01:7a:3d:cb:8e,NUGuest,-74,5260
1771922306409,40:01:7a:3d:cb:8f,NU,-75,5260
1771922306409,00:2c:c8:8b:8f:90,NU,-69,2437
1771922306409,40:01:7a:3d:cb:8d,NUEAP,-74,5260
1771922306409,a6:d7:3c:93:62:24,DIRECT-1C3WsEB468086GOBL,-77,2412
1771922306409,00:2c:c8:f1:29:a1,NUGuest,-80,2412
1771922306409,00:2c:c8:f1:29:a2,NUEAP,-82,2412
1771922306409,00:2c:c8:ed:bf:71,NUGuest,-43,2437
1771922306409,00:2c:c8:ed:bf:70,NU,-43,2437
1771922306409,00:2c:c8:ed:bf:72,NUEAP,-43,2437
1771922306409,70:bd:96:bd:20:6e,NUGuest,-80,5660
1771922306409,00:2c:c8:ed:bf:7f,NU,-43,5220
1771922311522,40:01:7a:c1:80:b0,NU,-69,2462
1771922311522,40:01:7a:c1:80:b1,NUGuest,-69,2462
1771922311522,34:b8:83:33:7d:4d,NUEAP,-81,5660
1771922311522,40:01:7a:c1:80:b2,NUEAP,-69,2462
1771922311522,34:b8:83:33:7d:4e,NUGuest,-82,5660
1771922311522,34:b8:83:33:7d:4f,NU,-82,5660
1771922311522,48:22:54:f8:95:4b,ROB_322,-77,2432
1771922311522,68:71:61:19:16:4f,NU,-81,5660
1771922311522,c0:25:06:78:c4:9e,<~~~skynet~~~>,-68,2412
1771922311522,68:71:61:19:16:4d,NUEAP,-82,5660
1771922311522,68:71:61:19:16:4e,NUGuest,-82,5660
1771922311522,58:df:59:30:1b:8d,NUEAP,-84,5320
1771922311522,70:bd:96:bd:2f:6e,NUGuest,-74,5320
1771922311522,58:df:59:30:1b:8e,NUGuest,-83,5320
1771922311522,70:bd:96:bd:2f:6d,NUEAP,-74,5320
1771922311522,58:df:59:30:1b:8f,NU,-84,5320
1771922311522,70:bd:96:bd:2f:6f,NU,-74,5320
1771922311522,00:2c:c8:8b:8f:91,NUGuest,-68,2437
1771922311522,00:2c:c8:8b:8f:92,NUEAP,-69,2437
1771922311522,00:2c:c8:8b:8f:90,NU,-68,2437
1771922311522,48:22:54:f8:91:61,Events1,-83,2427
1771922311522,00:2c:c8:ed:bf:7f,NU,-45,5220
1771922311522,00:2c:c8:ed:bf:7e,NUGuest,-40,5220
1771922311522,70:bd:96:bd:20:61,NUGuest,-73,2412
1771922311522,00:2c:c8:ed:bf:7d,NUEAP,-40,5220
1771922311522,70:bd:96:bd:20:62,NUEAP,-71,2412
1771922311522,40:01:7a:c1:80:bd,NUEAP,-83,5320
1771922311522,40:01:7a:c1:80:be,NUGuest,-83,5320
1771922311522,40:01:7a:c1:80:bf,NU,-83,5320
1771922311522,00:2c:c8:8b:8f:9e,NUGuest,-69,5180
1771922311522,b8:27:eb:c5:da:7e,rpizero,-78,2437
1771922311522,00:2c:c8:8b:8f:9f,NU,-69,5180
1771922311522,70:bd:96:bd:2f:61,NUGuest,-67,2462
1771922311522,00:2c:c8:8b:8f:9d,NUEAP,-69,5180
1771922311522,00:31:92:cf:d2:fd,TP-Link_345,-77,2447
1771922311522,40:01:7a:3d:cb:8e,NUGuest,-75,5260
1771922311522,40:01:7a:3d:cb:8f,NU,-75,5260
1771922311522,40:01:7a:3d:cb:8d,NUEAP,-77,5260
1771922311522,a6:d7:3c:93:62:24,DIRECT-1C3WsEB468086GOBL,-75,2412
1771922311522,00:2c:c8:f1:29:a1,NUGuest,-79,2412
1771922311522,00:2c:c8:f1:29:a2,NUEAP,-79,2412
1771922311522,00:2c:c8:f1:29:a0,NU,-81,2412
1771922311522,00:2c:c8:ed:bf:71,NUGuest,-46,2437
1771922311522,00:2c:c8:77:e6:e1,NUGuest,-78,2437
1771922311522,00:2c:c8:ed:bf:70,NU,-46,2437
1771922311522,00:2c:c8:77:e6:e2,NUEAP,-79,2437
1771922311522,00:2c:c8:ed:bf:72,NUEAP,-46,2437
1771922311522,70:bd:96:bd:20:6e,NUGuest,-80,5660
1771922311522,70:bd:96:bd:20:6d,NUEAP,-81,5660
1771922311522,00:2c:c8:8b:92:4e,NUGuest,-90,5260
1771922311522,70:bd:96:bd:20:6f,NU,-80,5660
1771922316641,00:2c:c8:ed:bf:7e,NUGuest,-46,5220
1771922316641,00:2c:c8:ed:bf:7d,NUEAP,-47,5220
1771922316641,40:01:7a:c1:80:b0,NU,-68,2462
1771922316641,40:01:7a:c1:80:b1,NUGuest,-68,2462
1771922316641,34:b8:83:33:7d:4d,NUEAP,-82,5660
1771922316641,70:bd:96:bd:20:62,NUEAP,-75,2412
1771922316641,40:01:7a:c1:80:b2,NUEAP,-68,2462
1771922316641,34:b8:83:33:7d:4e,NUGuest,-80,5660
1771922316641,34:b8:83:33:7d:4f,NU,-82,5660
1771922316641,70:bd:96:bd:2f:62,NUEAP,-66,2462
1771922316641,68:71:61:19:16:4f,NU,-83,5660
1771922316641,40:01:7a:c1:80:bd,NUEAP,-87,5320
1771922316641,c0:25:06:78:c4:9e,<~~~skynet~~~>,-63,2412
1771922316641,40:01:7a:c1:80:be,NUGuest,-87,5320
1771922316641,40:01:7a:c1:80:bf,NU,-88,5320
1771922316641,00:2c:c8:8b:8f:9e,NUGuest,-68,5180
1771922316641,b8:27:eb:c5:da:7e,rpizero,-80,2437
1771922316641,00:2c:c8:8b:8f:9f,NU,-68,5180
1771922316641,02:46:85:4b:5c:23,i have wifi  clown  poor u,-85,2462
1771922316641,68:71:61:19:16:4d,NUEAP,-82,5660
1771922316641,70:bd:96:bd:2f:61,NUGuest,-66,2462
1771922316641,68:71:61:19:16:4e,NUGuest,-83,5660
1771922316641,70:bd:96:bd:2f:60,NU,-65,2462
1771922316641,00:2c:c8:8b:8f:9d,NUEAP,-68,5180
1771922316641,70:bd:96:bd:2f:6e,NUGuest,-71,5320
1771922316641,70:bd:96:bd:2f:6d,NUEAP,-71,5320
1771922316641,00:2c:c8:8b:8f:91,NUGuest,-61,2437
