ts,ax,ay,az,gx,gy,gz,mx,my,mz
1774511845474,-2.777274,3.1172507,9.155427,-0.27122417,-0.0061086523,-0.095294975,-3.12,-17.699999,-40.559998
1774511845501,-2.3654714,3.1124623,10.218452,-0.028099801,-0.376293,-0.02443461,-2.82,-17.16,-40.32
1774511845527,-2.1978772,3.2034419,9.677363,0.15027285,-0.042760566,-0.065973446,-3.24,-17.22,-40.2
1774511845551,-2.231396,3.4045548,8.8777,0.22235495,0.26511553,-0.010995574,-4.5,-17.22,-39.54
1774511845576,-2.4037786,3.3039982,8.350976,0.1685988,0.37140608,-0.062308256,-4.44,-17.1,-39.36
1774511845601,-3.1364043,3.1172507,7.8386164,-0.119729586,0.042760566,0.07819075,-4.2599998,-16.8,-39.18
1774511845626,-2.5953147,3.2273839,7.8769236,-0.28710666,-0.70005155,0.14782938,-3.78,-16.859999,-38.94
1774511845650,-2.2409728,3.083732,8.868123,-0.3359759,-1.2864822,0.09162979,-3.78,-16.92,-39.78
1774511845669,-2.2888567,2.767697,8.8777,-0.30543262,-1.1594223,0.07941248,-3.78,-16.92,-39.78
1774511845689,-2.0207062,2.6240451,8.130709,-0.3567453,-0.9468411,0.19181168,-4.2,-16.74,-40.02
1774511845709,-1.7046716,2.753332,8.226477,-0.47891834,-0.91751957,0.3042109,-4.56,-16.08,-39.78
1774511845730,-1.2497733,2.7006595,8.901642,-0.55833083,-1.0238101,0.35308012,-6.7799997,-15.9,-39.719997
1774511845750,-0.94810385,2.303222,9.390059,-0.5290093,-1.105666,0.35308012,-8.099999,-16.02,-39.6
1774511845770,-0.29209262,2.327164,9.255983,-0.47891834,-0.98837996,0.33353242,-8.099999,-16.02,-39.6
1774511845790,0.019153614,2.336741,9.232041,-0.453262,-0.9370673,0.26511553,-10.44,-14.94,-40.26
1774511845811,0.37349546,2.3080103,9.854534,-0.41416663,-0.88453287,0.21991149,-11.639999,-14.94,-39.84
1774511845831,1.0103531,1.9153614,10.247183,-0.36774087,-0.79779,0.07819075,-13.559999,-14.46,-39.899998
1774511845851,0.21547815,2.4947581,9.672575,-0.36041048,-0.46181414,-0.015882496,-14.639999,-14.7,-39.12
1774511845871,0.05746084,1.8243817,9.02614,-0.50335294,-0.43004912,0.029321533,-15.059999,-14.16,-39.12
1774511845892,-0.34955344,2.1547816,9.605537,-0.6426302,-0.4605924,0.061086524,-14.5199995,-12.96,-39.239998
1774511845911,-0.038307227,1.7286136,10.654198,-0.66339964,-0.63163465,0.13439035,-14.16,-12.84,-39.12
1774511845931,0.18195933,1.4939818,11.51611,-0.45204028,-0.56077427,0.15393804,-14.82,-12.719999,-39.899998
1774511845952,0.4357447,1.3694834,10.491392,-0.20158553,-0.25534168,0.16493362,-15.48,-12.84,-39.84
1774511845972,0.7613561,1.541866,9.950302,-0.06963864,-0.14782938,0.15882497,-16.5,-13.139999,-39.54
1774511845993,0.92416185,1.6903064,10.089166,-0.029321533,-0.058643065,0.10873401,-16.56,-12.84,-39.48
1774511846014,0.24899697,1.661576,10.160992,0.058643065,0.095294975,0.05131268,-16.8,-12.9,-39.239998
1774511846034,0.12928689,1.484405,9.878476,0.15515977,0.09040806,0.087964594,-16.98,-13.259999,-39.48
1774511846054,0.36870706,1.4939818,9.844957,0.26633725,0.081855945,0.14049901,-16.98,-12.96,-39.719997
1774511846075,0.58897364,1.6184803,9.385271,0.3494149,0.12950343,0.12461651,-16.68,-13.08,-40.02
1774511846096,0.521936,1.757344,8.973468,0.33841935,0.096516706,0.087964594,-16.44,-12.66,-40.14
1774511846118,0.34955344,1.6807296,8.848969,0.2284636,0.05375614,0.06719518,-16.26,-12.599999,-40.32
1774511846138,0.37349546,1.7142484,8.954314,0.009773844,0.09162979,0.12217305,-16.44,-13.259999,-40.02
1774511846158,0.22505496,1.5945383,9.141062,-0.057421334,0.10262536,0.16982053,-16.44,-13.2,-39.42
1774511846178,0.1388637,1.6998832,9.155427,-0.13072516,0.08674286,0.2003638,-16.26,-13.0199995,-39.18
1774511846198,0.45968673,1.7286136,8.99741,-0.19914207,0.089186326,0.19058995,-15.78,-13.08,-38.82
1774511846218,0.4261679,1.6807296,8.983045,-0.38728857,0.0012217305,0.17837265,-15.42,-12.42,-39.059998
1774511846239,0.5793968,1.5993267,8.6574335,-0.6585127,-0.12705997,0.15027285,-15.66,-12.059999,-39.42
1774511846260,0.6368576,1.7238252,9.284714,-0.70249504,0.10873401,0.08307768,-15.78,-12.0,-39.3
1774511846281,0.6799533,1.6280571,9.260772,-0.79412484,0.04153884,0.056199603,-16.5,-11.639999,-39.18
1774511846301,0.4405331,1.2689269,8.954314,-0.87964594,0.039095376,0.08674286,-16.8,-11.34,-39.66
1774511846321,0.45010993,0.9864111,9.217676,-0.9993755,0.057421334,0.12583824,-16.68,-10.92,-39.899998
1774511846342,0.45489833,0.6703765,9.56723,-0.8723156,0.23335053,0.16615535,-16.68,-10.2,-40.379997
1774511846362,0.45968673,0.79487497,11.123461,-0.4728097,0.63285637,0.21991149,-17.039999,-9.719999,-40.739998
1774511846382,0.15801731,0.7661445,9.739613,-0.28955013,0.5155703,0.31520647,-17.039999,-9.0,-40.62
1774511846403,-0.10534488,0.6703765,10.170568,-0.20647246,0.41172317,0.2846632,-17.22,-8.34,-40.98
1774511846424,0.11971009,0.7661445,9.787497,-0.06963864,0.3726278,0.2003638,-17.4,-8.099999,-41.04
1774511846445,-0.110133275,0.79487497,9.303867,0.008552114,0.19303341,0.20158553,-16.5,-7.02,-41.46
1774511846466,-0.047884032,0.7422025,9.3661175,-0.02565634,0.015882496,0.24312437,-16.74,-7.2,-41.94
1774511846487,-0.01436521,0.7134721,10.228029,0.008552114,-0.16126843,0.2761111,-16.08,-6.8399997,-41.76
1774511846508,0.22984336,0.80924016,10.141838,0.18448131,0.02687807,0.2321288,-15.719999,-6.6,-41.94
1774511846529,-0.02873042,0.7757214,9.739613,0.204029,0.2919936,0.08674286,-15.78,-6.7799997,-41.64
1774511846550,0.2681506,0.5315128,8.7292595,0.1282817,0.27855456,-0.14538592,-15.48,-6.72,-41.34
1774511846571,-0.51714754,0.29688102,9.208099,0.20891592,-0.50335294,-0.16982053,-15.96,-6.8999996,-41.76
1774511846593,-0.47884035,1.1875241,10.022128,0.25411993,-0.8014552,0.013439035,-16.199999,-6.8399997,-41.94
