ts,x,y,heading
1772011067851,0,0,S
1772011071938,0,1,S
1772011075373,0,2,S
1772011077182,0,3,S
1772011079472,0,4,S
1772011080981,0,5,S
1772011082581,0,6,S
1772011084082,0,7,S
1772011085631,0,8,S
1772011087205,0,9,S
1772011088804,0,10,S
1772011090421,0,11,S
1772011092037,0,12,S
1772011093761,0,13,S
1772011095435,0,14,S
1772011097110,0,15,S
1772011098976,0,16,S
1772011100709,0,17,S
1772011102309,0,18,S
1772011103958,0,19,S
1772011105474,0,20,S
1772011107091,0,21,S
1772011108590,0,22,S
1772011110348,0,23,S
1772011111972,0,24,S
1772011113582,0,25,S
1772011115101,0,26,S
1772011116857,0,27,S
1772011118299,0,28,S
1772011119881,0,29,S
1772011121564,0,30,S
1772011123107,0,31,S
1772011124696,0,32,S
1772011126281,0,33,S
1772011127912,0,34,S
1772011129422,0,35,S
1772011130929,0,36,S
1772011132528,0,37,S
1772011134205,0,38,S
1772011135837,0,39,S
1772011137453,0,40,S
1772011139046,0,41,S
1772011140702,0,42,S
1772011142444,0,43,S
1772011144152,0,44,S
1772011145773,0,45,S
1772011147552,0,46,S
1772011149259,0,47,S
1772011151059,0,48,S
1772011152935,0,49,S
1772011172398,1,49,E
1772011174529,2,49,E
1772011176056,3,49,E
1772011177669,4,49,E
1772011179344,5,49,E
1772011180911,6,49,E
1772011182360,7,49,E
1772011183952,8,49,E
1772011185844,9,49,E
1772011187893,10,49,E
1772011189844,11,49,E
1772011191561,12,49,E
1772011193426,13,49,E
1772011195186,14,49,E
1772011196875,15,49,E
1772011198643,16,49,E
1772011200516,17,49,E
1772011202238,18,49,E
1772011203981,19,49,E
1772011205821,20,49,E
1772011207480,21,49,E
1772011209164,22,49,E
1772011210806,23,49,E
1772011212421,24,49,E
1772011213996,25,49,E
1772011215612,26,49,E
1772011217478,27,49,E
1772011219154,28,49,E
1772011220787,29,49,E
1772011222528,30,49,E
1772011224220,31,49,E
1772011225877,32,49,E
1772011228143,33,49,E
1772011229842,34,49,E
1772011231826,35,49,E
1772011233601,36,49,E
1772011235542,37,49,E
1772011237574,38,49,E
1772011239435,39,49,E
1772011241424,40,49,E
1772011262053,40,48,N
1772011264402,40,47,N
1772011266038,40,46,N
1772011267851,40,45,N
1772011269486,40,44,N
1772011271283,40,43,N
1772011273211,40,42,N
1772011274910,40,41,N
1772011276636,40,40,N
1772011278533,40,39,N
1772011280334,40,38,N
1772011282191,40,37,N
1772011284082,40,36,N
1772011289573,40,35,N
1772011291323,40,34,N
1772011293073,40,33,N
1772011294981,40,32,N
1772011296788,40,31,N
1772011298463,40,30,N
1772011300905,40,29,N
1772011302630,40,28,N
1772011304964,40,27,N
1772011306845,40,26,N
1772011308720,40,25,N
1772011310413,40,24,N
1772011312220,40,23,N
1772011313970,40,22,N
1772011315711,40,21,N
1772011317503,40,20,N
1772011319252,40,19,N
1772011320986,40,18,N
1772011322894,40,17,N
1772011324619,40,16,N
1772011326359,40,15,N
1772011328383,40,14,N
1772011330275,40,13,N
1772011332183,40,12,N
1772011333949,40,11,N
1772011335815,40,10,N
1772011337698,40,9,N
1772011339414,40,8,N
1772011341305,40,7,N
1772011343313,40,6,N
1772011345871,40,5,N
1772011347712,40,4,N
1772011349761,40,3,N
1772011351610,40,2,N
1772011353677,40,1,N
1772011357719,40,0,N
1772011370436,41,0,E
1772011372318,42,0,E
1772011374169,43,0,E
1772011376093,44,0,E
1772011377809,45,0,E
1772011379574,46,0,E
1772011381358,47,0,E
1772011383348,48,0,E
1772011385123,49,0,E
1772011387080,50,0,E
1772011389130,51,0,E
1772011390813,52,0,E
1772011392632,53,0,E
1772011394472,54,0,E
1772011396279,55,0,E
1772011398013,56,0,E
1772011399762,57,0,E
1772011401686,58,0,E
1772011403469,59,0,E
1772011405503,60,0,E
1772011407268,61,0,E
1772011409094,62,0,E
1772011411034,63,0,E
1772011412767,64,0,E
1772011414585,65,0,E
1772011416457,66,0,E
1772011421356,67,0,E
1772011431947,67,1,S
1772011433694,67,2,S
1772011435504,67,3,S
1772011437443,67,4,S
1772011438945,67,5,S
1772011441243,67,6,S
1772011443220,67,7,S
1772011444951,67,8,S
1772011446759,67,9,S
1772011448684,67,10,S
1772011450586,67,11,S
1772011452409,67,12,S
1772011454283,67,13,S
1772011455993,67,14,S
1772011457768,67,15,S
1772011459473,67,16,S
1772011461351,67,17,S
1772011463132,67,18,S
1772011464973,67,19,S
1772011466600,67,20,S
1772011468449,67,21,S
1772011470132,67,22,S
1772011472197,67,23,S
1772011473963,67,24,S
1772011475904,67,25,S
1772011477756,67,26,S
1772011479496,67,27,S
1772011481288,67,28,S
1772011483219,67,29,S
1772011484943,67,30,S
1772011486695,67,31,S
1772011488668,67,32,S
1772011490352,67,33,S
1772011492043,67,34,S
1772011493729,67,35,S
1772011495571,67,36,S
1772011497108,67,37,S
1772011498827,67,38,S
1772011500492,67,39,S
1772011502082,67,40,S
1772011504066,67,41,S
1772011506049,67,42,S
1772011507800,67,43,S
1772011509772,67,44,S
1772011511633,67,45,S
1772011513641,67,46,S
1772011517589,67,47,S
1772011519813,67,48,S
1772011522162,67,49,S
1772011536491,68,49,E
1772011538334,69,49,E
1772011540300,70,49,E
1772011542099,71,49,E
1772011543699,72,49,E
1772011545348,73,49,E
1772011547041,74,49,E
1772011548698,75,49,E
1772011550432,76,49,E
1772011552023,77,49,E
1772011553880,78,49,E
1772011555490,79,49,E
